"cell_type","pathway","NES","pval","padj","size","ES","leading_edge_n"
"FoB","represed",1.2109296295517,0.190825688073395,0.381651376146789,41,0.443408824504287,11
"FoB","activated",0.959172265306204,0.56963249516441,0.56963249516441,74,0.326577229175964,6
"Immature B","activated",-1.69873809389818,0.00127204434739239,0.00254408869478477,74,-0.447655513810118,33
"Immature B","represed",1.51852688067088,0.0252912759306621,0.0252912759306621,39,0.509585638602035,11
"MzB","activated",-1.87322128325002,0.000212262911250074,0.000424525822500148,73,-0.560726536241882,26
"MzB","represed",-0.828338956258244,0.756462106558818,0.756462106558818,44,-0.270169356892923,12
"PreB","represed",2.39860333985874,1.23808384065318e-10,2.47616768130636e-10,48,0.77147786461387,25
"PreB","activated",-1.8048402632783,0.000140398669877244,0.000140398669877244,79,-0.50178226946833,28
"ProB","activated",-1.94475855969434,5.62246483691558e-06,1.12449296738312e-05,81,-0.603540830174234,43
"ProB","represed",1.79418683346926,0.000795898588676047,0.000795898588676047,56,0.48472231208009,24
