"cell_type","pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"FoB","represed",1.21210894604817,0.187578778503495,0.37515755700699,41,0.443408824504287,11,"Fcer1g Myo1f Flt3 Serpinb6b Daam1 Prss16 Myl4 Kcnn4 Notch1 Ramp1 Emb"
"FoB","activated",0.960227967025525,0.565694608845367,0.565694608845367,74,0.326577229175964,6,"Lcp2 Dlg3 Tnfrsf19 Iqsec2 Tgfb3 Ttll11"
"Immature B","activated",-1.69816485178338,0.00190001092143641,0.00380002184287282,74,-0.447655513810118,33,"Klf2 Cplx2 Atp1b1 Mgst1 Bach2 Mylip Uchl1 Ccnd3 Ptger4 Dlg3 Rpia Eps8 Siglecg Fcrla Id3 H2-Ob Tnfrsf13c Tpst1 Tcf7l2 Cd55 Crip1 Capn2 Rapgef5 Bcl2l1 Cebpg Tnfrsf19 Cd19 Dnajc21 Cd79a Plekha2 Oasl1 Prkd2 Irf8"
"Immature B","represed",1.52538626296848,0.0219811590065658,0.0219811590065658,39,0.509585638602035,11,"Ramp1 Flt3 Myo1f Myl4 Fcer1g Emb Kcnn4 Serpinb6b Vav3 Daam1 Notch1"
"MzB","activated",-1.87134439228571,0.000118482232759636,0.000236964465519271,73,-0.560726536241882,26,"Tcf7l2 Mybl2 Bach2 Eps8 Cplx2 Pde2a Akap12 Cd55 Dlg3 Ptgr1 Ptger4 Tnfrsf19 Atp1b1 Klf2 Oasl1 Mgst1 Ccnd3 Aldh1b1 Vpreb3 Gsn Irf8 Bcl2l1 Dnajc21 Crip1 Alpl Smarca4"
"MzB","represed",-0.824546726447974,0.761071241029232,0.761071241029232,44,-0.270169356892923,12,"P2rx7 Ppp1r12b Grap2 Satb1 Ramp1 Vav3 Il17ra Capn5 Stat2 Flt3 Myl4 Ppp3ca"
"PreB","represed",2.40360963877589,2.98216266961042e-10,5.96432533922085e-10,48,0.77147786461387,25,"Dlx1 Emp1 Tnfsf11 Myo1f Prss16 Ctla2a Fxyd5 Akr1c13 Fcer1g Ramp1 Atp2b4 Cst7 Slc5a9 Emb Kcnn4 Lck Itgal Flt3 Vav3 Ppm1f Lat2 Tnni2 Cmtm7 Myl4 Adamts10"
"PreB","activated",-1.81035768497196,0.000611149063566241,0.000611149063566241,79,-0.50178226946833,28,"Enpep Uchl1 Ifi30 Mgst1 Klf2 Cd44 Ikzf3 Fcrla Mylip Atp1b1 Siglecg Tnfrsf13c Cd55 Bcl2l1 Irf4 Bach2 Aldh1b1 Rb1 Btg1 Tpst1 Plekha2 Irf8 Epha2 Eps8 Ptger4 Slc15a4 Rpia Cd19"
"PreproB","activated",-1.52221111280243,0.00929739908202895,0.0185947981640579,70,-0.520840735977161,23,"Mybl2 Cd36 Cd79a Lcp2 Tnfrsf13c Vpreb3 Cd19 Eps8 Ebf1 Pard3 Ttll11 Bcl2l1 Bcar3 Ccnd3 H2-Ob Cd55 Bst1 Oasl1 Mylip Bfsp2 Akap12 Dlg3 Tpst1"
"PreproB","represed",-1.03609972769905,0.421547987616099,0.421547987616099,49,-0.373424749528042,5,"Ccl3 Myl4 Lck Prss16 Serpinb6b"
"ProB","activated",-1.93513144927503,2.43205508652773e-06,4.86411017305547e-06,81,-0.603540830174234,43,"Enpep Dkk3 Dtx1 Fcrla Cd44 Lcp2 Klf2 Bcar3 Tcf7l2 Mgst1 Pea15a Id3 Aldh1b1 Arntl Irf8 Uchl1 Rpia Dusp7 Ptgr1 Irf4 H2-Ob Lef1 Prkd2 Bach2 Ifi30 Ptger4 Atp1b1 Ttll11 Bfsp2 Smarca4 Epha2 Fosl2 Crip1 Otub2 Eps8 Slamf7 Sdc4 Ikzf3 Sit1 Bst1 Dlg3 Rb1 Cd19"
"ProB","represed",1.79793322976354,0.00115310789063469,0.00115310789063469,56,0.48472231208009,24,"Tnfsf11 Ccl9 Ctla2a Myl4 Ramp1 Ifitm1 Lat2 Lck Slc5a9 Atp2b4 Emp1 Prss16 Adamts10 Ly6d Notch1 P2rx7 Cd47 Vav3 Grap2 Ncf4 Cst7 Satb1 Lsp1 Emb"
