"cell_type","gene","avg_log2FC","p_val","p_val_adj","pct.1","pct.2"
"FoB","Myo1f",2.20138853007013,5.22598508152566e-08,0.00168720928357056,0.269,0.061
"FoB","Fcer1g",4.25596540868982,1.18913647539819e-06,0.0383912711082305,0.164,0.012
"FoB","Dlg3",3.58255685572847,3.69281456188458e-06,0.119222518130444,0.09,0.01
"FoB","Lcp2",3.58857654656553,0.00414209982710243,1,0.045,0.003
"FoB","Ttll11",2.63041462507215,0.00924549145679815,1,0.045,0.009
"FoB","Flt3",2.20131204884267,0.0458035593989781,1,0.015,0.008
"FoB","Myl4",1.54710960843013,0.0947126438165085,1,0.119,0.031
"FoB","Kcnn4",1.49209567536494,0.0974909701879404,1,0.09,0.037
"FoB","Tnfrsf19",3.50472571710893,0.105451567402494,1,0.015,0.002
"FoB","Tgfb3",2.90584946302182,0.118358772003848,1,0.03,0.007
"FoB","Iqsec2",3.372393512863,0.14742216582752,1,0.015,0.003
"FoB","Prss16",1.94209093371398,0.14831355596385,1,0.03,0.008
"FoB","Daam1",2.11216591649621,0.163656641063133,1,0.045,0.011
"FoB","Serpinb6b",2.14963867254608,0.444505865574231,1,0.015,0.007
"FoB","Emb",1.03810254698023,0.526749722061477,1,0.015,0.01
"FoB","Notch1",1.28694319504218,0.673856463203525,1,0.06,0.045
"FoB","Ramp1",1.05141147768908,0.996000235575349,1,0,0.004
"Immature B","Klf2",-1.59510639689144,3.01934893091952e-14,9.74796802347367e-10,0.586,0.866
"Immature B","Cd79a",-0.673881619684057,1.10293248327634e-10,3.56081752225767e-06,1,0.996
"Immature B","Siglecg",-1.03350925022863,3.67112732952668e-08,0.00118522345833769,0.638,0.852
"Immature B","Bach2",-1.40646659483344,3.45178933218227e-07,0.0111441018589505,0.414,0.738
"Immature B","Ramp1",4.71903585794186,1.81362949601821e-06,0.058553028278948,0.138,0.004
"Immature B","Fcrla",-1.01870664702742,3.2047052700557e-06,0.103463909643748,0.655,0.807
"Immature B","Tnfrsf13c",-0.936005313427218,8.08306620427572e-06,0.260961792405042,0.828,0.9
"Immature B","Id3",-1.00180007418736,3.18239130951693e-05,1,0.431,0.67
"Immature B","Myl4",2.35264358126742,8.05036504784359e-05,1,0.345,0.171
"Immature B","Cd55",-0.881753483592618,8.36282488996138e-05,1,0.379,0.636
"Immature B","H2-Ob",-0.950681584291362,8.99066431922117e-05,1,0.586,0.831
"Immature B","Myo1f",2.38014472531943,0.00022410630616674,1,0.121,0.024
"Immature B","Cd19",-0.70456938649294,0.000266709653485486,1,0.914,0.952
"Immature B","Ccnd3",-1.12548047673501,0.000290798152692713,1,0.448,0.605
"Immature B","Crip1",-0.881651057947936,0.00046550122946661,1,0.707,0.822
"Immature B","Mylip",-1.29447163289005,0.000937851628448634,1,0.259,0.479
"Immature B","Plekha2",-0.659486866597608,0.0027530410581987,1,0.569,0.709
"Immature B","Atp1b1",-1.45916508184785,0.00343768779121897,1,0.138,0.286
"Immature B","Rpia",-1.05375968175492,0.0101083253806957,1,0.414,0.529
"Immature B","Irf8",-0.566522778561051,0.0141157671149623,1,0.776,0.905
"Immature B","Fcer1g",2.23001755021209,0.0290857455000046,1,0.172,0.024
"Immature B","Mgst1",-1.42338303924029,0.0556014016437226,1,0.052,0.141
"Immature B","Cplx2",-1.48052147529907,0.0570122457005016,1,0.034,0.104
"Immature B","Eps8",-1.04774210488796,0.0611420561401949,1,0.052,0.145
"Immature B","Cebpg",-0.759752467355903,0.0802383514134675,1,0.224,0.338
"Immature B","Flt3",2.71895076699385,0.0815366896220546,1,0.017,0.007
"Immature B","Kcnn4",1.76167858527927,0.0827201863658108,1,0.138,0.05
"Immature B","Tpst1",-0.89267696890232,0.0904227443462007,1,0.19,0.252
"Immature B","Emb",1.76327365580436,0.111120036918739,1,0.034,0.009
"Immature B","Oasl1",-0.65686911219805,0.151157638766693,1,0.086,0.134
"Immature B","Vav3",1.08034072591896,0.188559640005017,1,0.293,0.145
"Immature B","Serpinb6b",1.32382897148929,0.258496030567228,1,0.052,0.015
"Immature B","Ptger4",-1.07294202353179,0.275706417840393,1,0.034,0.091
"Immature B","Uchl1",-1.25507087693766,0.27847106774562,1,0.017,0.046
"Immature B","Rapgef5",-0.857434552652073,0.293435215802024,1,0.069,0.106
"Immature B","Capn2",-0.863691923493293,0.369506782198879,1,0.069,0.093
"Immature B","Notch1",0.910228899135618,0.444820709927118,1,0.086,0.074
