"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_B_CELL_MEDIATED_IMMUNITY",-2.52275973310595,1.7477024147319e-19,7.12363504244721e-16,192,-0.553854236623767,70,"Ighv1-72 Ighv1-75 Ighv7-3 Ighv1-69 Ighv8-12 Ighv6-6 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv6-3 Ighv1-9 Ighv1-74 Ighv10-1 Ighv1-58 Ighv10-3 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv13-2 Ighv3-1 Ighv9-4 Ighv7-1 Ighv1-77 Ighv2-6-8 Ighv1-47 Ighv3-8 Ighv1-54 Ighv9-2 Ighv12-3 Ighv1-34 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighg2b Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Shld3 Paxip1 Ighv5-17 Cd55 Ighv1-52 Ighv1-82 Pcyt1a Ighv1-80 Traf3ip2 Ighv2-9 Ighv5-15 Shld2 Ighv1-22 Ighv14-1 Pirb Ighv5-9-1 Ighv1-67 Ighv5-9 Ighv1-71 Ighv1-7 Ighv1-4"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",-2.06139689998608,3.13923426845376e-15,6.39775943910876e-12,313,-0.431848758012794,76,"Ighv1-72 Ighv1-75 Ighv7-3 Ighv1-69 Ighv8-12 Ighv6-6 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv6-3 Ighv1-9 Ighv1-74 Ighv10-1 Ighv1-58 Ighv10-3 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv13-2 Ighv3-1 Ighv9-4 Ighv7-1 Ighv1-77 Ighv2-6-8 Rasgrp1 Ighv1-47 Ighv3-8 Ighv1-54 Ighv9-2 Ighv12-3 Ighv1-34 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighg2b Fcgr2b Ighv1-36 Il18 Ighv15-2 Ighv8-8 Ighv3-5 Cd2 Ighv8-6 Ighv5-16 Slamf1 Shld3 Paxip1 Stx11 Mapk3 Ighv5-17 Smad7 Cd55 Ighv1-52 Ighv1-82 Pcyt1a Ighv1-80 Traf3ip2 Tyrobp Ighv2-9 Ighv5-15 Shld2 Ighv1-22 Ighv14-1 Pirb Traf2 Ighv5-9-1 Ighv1-67 Ighv5-9"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",-1.9860254037144,6.96927268267789e-14,9.46891848486503e-11,336,-0.40558058991484,80,"Ighv1-72 Ighv1-75 Ighv7-3 Ighv1-69 Ighv8-12 Ighv6-6 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv6-3 Ighv1-9 Ighv1-74 Ighv10-1 Ighv1-58 Ighv10-3 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv13-2 Ighv3-1 Lgals1 Ighv9-4 Ighv7-1 Ighv1-77 Ighv2-6-8 Ighv1-47 Ighv3-8 Ighv1-54 Ighv9-2 Ighv12-3 Ighv1-34 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighg2b Fcgr2b Ighv1-36 Il18 Ighv15-2 Ighv8-8 Anxa1 Ighv3-5 Ighv8-6 Ighv5-16 Slamf1 Shld3 Paxip1 Stx11 Mapk3 Ighv5-17 Smad7 Cd55 Ighv1-52 Ighv1-82 Pcyt1a Ighv1-80 Traf3ip2 Ighv2-9 Ighv5-15 Shld2 Ighv1-22 Ighv14-1 Bach2 Pirb Traf2 Ighv5-9-1 Ighv1-67 Ighv5-9 Ccr7 Ighv1-71 Ighv1-7 Ighv1-4"
"GOBP_TAXIS",1.59772454929197,3.41687702126283e-06,0.00348179768466683,207,0.506042183156782,60,"Sema6d Ackr2 Cxcr3 Eng Fcer1g Ccr5 Cmtm8 Plekhg5 Rab13 Nod2 Smad3 Nrp2 Cxcr6 Tnfsf18 Bmpr2 Hbegf Angpt2 App Sema4a Ager Gstp2 Slamf9 Ccr9 Itgb3 Sema7a Csf1r Angpt1 Vegfa Agrn Saa3 Sema3b Zfp580 Epha2 Ackr3 Rtn4rl1 Dock4 S100a4 Pde4d Trem1 Ffar2 Nox1 Trpm4 Itga9 S100a8 Fes Cxcl16 Ccl27a Ntn1 Ccl25 Ccr1 Bst1 Notch1 Fgf2 Lyst Itgav Pip5k1a Il12a Csf1 Abcc1 Jaml"
"GOBP_CELL_JUNCTION_ASSEMBLY",1.54360158800891,5.79714342167654e-06,0.00472583131735071,257,0.484265894414089,79,"Bsn Srgap3 Nrg2 Lrrc4 Nphs1 Rab13 Gpm6a Iqsec2 Cdh11 Smad3 S1pr2 Cdh24 Adgrl2 App Wnt4 Nectin1 Sema4a Dst Mpp7 Xlr3b Clstn1 Plxnd1 Adgrl1 Cacna1a Colq Wdpcp F11r Mmp14 Itgb3 Numbl Fgf13 Itgb4 Vegfa Cd9 Agrn Fzd5 Nrxn1 Lin7b Arhgap33 Dlg4 Epha2 Dock4 Cdh5 Epb41l3 Magi2 Rhoc Nphp4 Lhfpl4 Itgb1 Myo6 Akap5 Ntn1 Il1rap Srcin1 Efnb1 Acvrl1 Ildr1 Itgav Pkp3 Tbcd Plxnc1 Pip5k1a Abi2 Amigo1 Cdh17 Actn1 Bcr Tnf Dock7 Ctnna1 Amigo3 Mapt Dvl1 Snai1 Ptk2 Cpeb3 Farp1 Zdhhc8 Elmo1"
"GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION",1.89322682321128,1.46091722483346e-05,0.00992449768070198,19,0.792694609070261,6,"S1pr2 Cdkn1a Tgfb3 Gstp2 Apln Efemp2"
"GOBP_SYNAPSE_ASSEMBLY",1.65109366712749,2.04763071625335e-05,0.0119230611420695,134,0.533617235248012,45,"Bsn Srgap3 Nrg2 Lrrc4 Gpm6a Iqsec2 S1pr2 Adgrl2 App Nectin1 Sema4a Xlr3b Clstn1 Plxnd1 Adgrl1 Cacna1a Colq Numbl Fgf13 Agrn Fzd5 Nrxn1 Lin7b Arhgap33 Dlg4 Dock4 Magi2 Lhfpl4 Myo6 Akap5 Ntn1 Il1rap Srcin1 Efnb1 Plxnc1 Amigo1 Dock7 Amigo3 Mapt Dvl1 Ptk2 Cpeb3 Farp1 Zdhhc8 Elmo1"
"GOBP_CELL_JUNCTION_ORGANIZATION",1.38755696554303,3.28536349665721e-05,0.0167389270154685,472,0.428889902350035,137,"Bsn Srgap3 Nrg2 Lrrc4 Nphs1 Rab13 Dlg3 Gpm6a Iqsec2 Cdh11 Smad3 S1pr2 Cacna2d2 Nrp2 Tgfb3 Cdh24 Tjp2 Plekha7 Adgrl2 App Wnt4 Nectin1 Sema4a Dst Mpp7 Cit Xlr3b Clstn1 Plxnd1 Adgrl1 Cacna1a Colq Tenm4 Camk1 Marcks Wdpcp F11r Mmp14 Itgb3 Numbl Sema7a Csf1r Fgf13 Itgb4 Caprin2 Daam1 Vegfa Cd9 Agrn Slc7a11 Unc13b Fzd5 Nrxn1 Lin7b Arhgap33 Dlg4 Chrnb1 Ppfibp2 Ctbp2 Epha2 Efna1 Dock4 Neurl1a Cdh5 Nefh Epb41l3 Itga3 Zfp365 Zc4h2 Magi2 Rhoc Ext1 Nphp4 Lhfpl4 Lrp8 Cask Xlr4a Itgb1 Bhlha15 Myo6 Akap5 Ntn1 Igsf9 Utrn Cdk5r1 Itpka Tanc1 Il1rap Srcin1 Efnb1 Acvrl1 Ildr1 Ppfibp1 Klk8 Itgav Pkp3 Rhob Arhgap39 Tbcd Plxnc1 Pip5k1a Dbn1 Appl1 Abi2 Tmem108 Sorbs2 Amigo1 Cdh17 Actn1 Bcr Tnf Dock7 Ctnna1 Whrn Ppfia4 Amigo3 Mapt Dvl1 Pak1 Erbb3 Ccdc39 Snai1 Pdxp Dip2a Ptk2 Tanc2 Cpeb3 Farp1 Zdhhc8 Elmo1 Prkci Cacnb4 Tjp3 Fbxo45 Lgmn Igf1r Enah"
"GOBP_TRANSLATION_AT_SYNAPSE",-2.00715754327818,6.67930631843744e-05,0.0302498361710567,48,-0.532864787157575,48,"Rpl7 Rpl13a Eef2 Rpl6 Rps12 Rpl35a Rpl10a Rpl35 Rps5 Rps16 Rpl5 Rpl14 Rps15a Rps10 Rps26 Rpl4 Rpl23 Rps27 Rpl15 Rpl8 Rpl12 Uba52 Rpl17 Rps24 Rpl28 Rpl7a Rps28 Rpl27 Rpl13 Rpl22 Rpl10 Rpl37a Rpl38 Rpl32 Rpl9 Rpl36a Rpl29 Rpl34 Rps27a Rpl26 Rpl37 Rpl24 Rps11 Rpl23a Rps14 Rpl36 Rpl27a Rplp2"
"GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",1.77234198316202,0.000172307443186165,0.0540250106482161,17,0.758670335783882,10,"Eng Tmem100 Adam15 Tgfb3 Efna1 Tgfbr3 Spry1 Rbpj Acvrl1 Notch1"
