"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_B_CELL_MEDIATED_IMMUNITY",-2.53798126093299,5.71219523413677e-19,2.32429224077025e-15,192,-0.553350930266859,70,"Ighv1-72 Ighv1-75 Ighv7-3 Ighv1-69 Ighv8-12 Ighv6-6 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv6-3 Ighv1-9 Ighv1-74 Ighv10-1 Ighv1-58 Ighv10-3 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv13-2 Ighv3-1 Ighv9-4 Ighv7-1 Ighv1-77 Ighv2-6-8 Ighv1-47 Ighv3-8 Ighv1-54 Ighv9-2 Ighv12-3 Ighv1-34 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighg2b Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Shld3 Paxip1 Ighv5-17 Cd55 Ighv1-52 Ighv1-82 Pcyt1a Ighv1-80 Traf3ip2 Ighv2-9 Ighv5-15 Shld2 Ighv1-22 Ighv14-1 Pirb Ighv5-9-1 Ighv1-67 Ighv5-9 Ighv1-71 Ighv1-7 Ighv1-4"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",-2.06014789624634,2.9691692230427e-15,6.04077478428037e-12,313,-0.431399749995269,76,"Ighv1-72 Ighv1-75 Ighv7-3 Ighv1-69 Ighv8-12 Ighv6-6 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv6-3 Ighv1-9 Ighv1-74 Ighv10-1 Ighv1-58 Ighv10-3 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv13-2 Ighv3-1 Ighv9-4 Ighv7-1 Ighv1-77 Ighv2-6-8 Rasgrp1 Ighv1-47 Ighv3-8 Ighv1-54 Ighv9-2 Ighv12-3 Ighv1-34 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighg2b Fcgr2b Ighv1-36 Il18 Ighv15-2 Ighv8-8 Ighv3-5 Cd2 Ighv8-6 Ighv5-16 Slamf1 Shld3 Paxip1 Stx11 Mapk3 Ighv5-17 Smad7 Cd55 Ighv1-52 Ighv1-82 Pcyt1a Ighv1-80 Traf3ip2 Tyrobp Ighv2-9 Ighv5-15 Shld2 Ighv1-22 Ighv14-1 Pirb Traf2 Ighv5-9-1 Ighv1-67 Ighv5-9"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",-1.95575187322864,1.34706464269744e-13,1.82706867704529e-10,336,-0.405071648239377,80,"Ighv1-72 Ighv1-75 Ighv7-3 Ighv1-69 Ighv8-12 Ighv6-6 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv6-3 Ighv1-9 Ighv1-74 Ighv10-1 Ighv1-58 Ighv10-3 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv13-2 Ighv3-1 Lgals1 Ighv9-4 Ighv7-1 Ighv1-77 Ighv2-6-8 Ighv1-47 Ighv3-8 Ighv1-54 Ighv9-2 Ighv12-3 Ighv1-34 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighg2b Fcgr2b Ighv1-36 Il18 Ighv15-2 Ighv8-8 Anxa1 Ighv3-5 Ighv8-6 Ighv5-16 Slamf1 Shld3 Paxip1 Stx11 Mapk3 Ighv5-17 Smad7 Cd55 Ighv1-52 Ighv1-82 Pcyt1a Ighv1-80 Traf3ip2 Ighv2-9 Ighv5-15 Shld2 Ighv1-22 Ighv14-1 Bach2 Pirb Traf2 Ighv5-9-1 Ighv1-67 Ighv5-9 Ccr7 Ighv1-71 Ighv1-7 Ighv1-4"
"GOBP_CELL_JUNCTION_ASSEMBLY",1.54901798230025,3.33170773325234e-06,0.00275325774278883,256,0.483074689141409,79,"Bsn Srgap3 Nrg2 Lrrc4 Nphs1 Rab13 Gpm6a Iqsec2 Cdh11 Smad3 S1pr2 Cdh24 Adgrl2 App Wnt4 Nectin1 Sema4a Dst Mpp7 Xlr3b Clstn1 Plxnd1 Adgrl1 Cacna1a Colq Wdpcp F11r Mmp14 Itgb3 Numbl Fgf13 Itgb4 Vegfa Cd9 Agrn Fzd5 Nrxn1 Lin7b Arhgap33 Dlg4 Epha2 Dock4 Cdh5 Epb41l3 Magi2 Rhoc Nphp4 Lhfpl4 Itgb1 Myo6 Akap5 Ntn1 Il1rap Srcin1 Efnb1 Acvrl1 Ildr1 Itgav Pkp3 Tbcd Plxnc1 Pip5k1a Abi2 Amigo1 Cdh17 Actn1 Bcr Tnf Dock7 Ctnna1 Amigo3 Mapt Dvl1 Snai1 Ptk2 Cpeb3 Farp1 Zdhhc8 Elmo1"
"GOBP_TAXIS",1.61391443967109,3.38321177536106e-06,0.00275325774278883,205,0.50730188450913,60,"Sema6d Ackr2 Cxcr3 Eng Fcer1g Ccr5 Cmtm8 Plekhg5 Rab13 Nod2 Smad3 Nrp2 Cxcr6 Tnfsf18 Bmpr2 Hbegf Angpt2 App Sema4a Ager Gstp2 Slamf9 Ccr9 Itgb3 Sema7a Csf1r Angpt1 Vegfa Agrn Saa3 Sema3b Zfp580 Epha2 Ackr3 Rtn4rl1 Dock4 S100a4 Pde4d Trem1 Ffar2 Nox1 Trpm4 Itga9 S100a8 Fes Cxcl16 Ccl27a Ntn1 Ccl25 Ccr1 Bst1 Notch1 Fgf2 Lyst Itgav Pip5k1a Il12a Csf1 Abcc1 Jaml"
"GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION",1.89768872667444,2.1445558120813e-05,0.0124659965705126,19,0.792319091231533,6,"S1pr2 Cdkn1a Tgfb3 Gstp2 Apln Efemp2"
"GOBP_SYNAPSE_ASSEMBLY",1.65749046509884,1.8479247857338e-05,0.0124659965705126,134,0.532110135709881,45,"Bsn Srgap3 Nrg2 Lrrc4 Gpm6a Iqsec2 S1pr2 Adgrl2 App Nectin1 Sema4a Xlr3b Clstn1 Plxnd1 Adgrl1 Cacna1a Colq Numbl Fgf13 Agrn Fzd5 Nrxn1 Lin7b Arhgap33 Dlg4 Dock4 Magi2 Lhfpl4 Myo6 Akap5 Ntn1 Il1rap Srcin1 Efnb1 Plxnc1 Amigo1 Dock7 Amigo3 Mapt Dvl1 Ptk2 Cpeb3 Farp1 Zdhhc8 Elmo1"
"GOBP_CELL_JUNCTION_ORGANIZATION",1.39015203286133,2.63891957419501e-05,0.0134222046842494,470,0.42779355494165,137,"Bsn Srgap3 Nrg2 Lrrc4 Nphs1 Rab13 Dlg3 Gpm6a Iqsec2 Cdh11 Smad3 S1pr2 Cacna2d2 Nrp2 Tgfb3 Cdh24 Tjp2 Plekha7 Adgrl2 App Wnt4 Nectin1 Sema4a Dst Mpp7 Cit Xlr3b Clstn1 Plxnd1 Adgrl1 Cacna1a Colq Tenm4 Camk1 Marcks Wdpcp F11r Mmp14 Itgb3 Numbl Sema7a Csf1r Fgf13 Itgb4 Caprin2 Daam1 Vegfa Cd9 Agrn Slc7a11 Unc13b Fzd5 Nrxn1 Lin7b Arhgap33 Dlg4 Chrnb1 Ppfibp2 Ctbp2 Epha2 Efna1 Dock4 Neurl1a Cdh5 Nefh Epb41l3 Itga3 Zfp365 Zc4h2 Magi2 Rhoc Ext1 Nphp4 Lhfpl4 Lrp8 Cask Xlr4a Itgb1 Bhlha15 Myo6 Akap5 Ntn1 Igsf9 Utrn Cdk5r1 Itpka Tanc1 Il1rap Srcin1 Efnb1 Acvrl1 Ildr1 Ppfibp1 Klk8 Itgav Pkp3 Rhob Arhgap39 Tbcd Plxnc1 Pip5k1a Dbn1 Appl1 Abi2 Tmem108 Sorbs2 Amigo1 Cdh17 Actn1 Bcr Tnf Dock7 Ctnna1 Whrn Ppfia4 Amigo3 Mapt Dvl1 Pak1 Erbb3 Ccdc39 Snai1 Pdxp Dip2a Ptk2 Tanc2 Cpeb3 Farp1 Zdhhc8 Elmo1 Prkci Cacnb4 Tjp3 Fbxo45 Lgmn Igf1r Enah"
"GOBP_SENSORY_ORGAN_DEVELOPMENT",1.44784648307737,4.64060557002683e-05,0.0209806934049324,296,0.449390122708343,125,"Gfi1 Cdkn1c Spry2 Wnt10a Myo3b Gpm6a Tmc1 Smad3 Cabp4 Celf4 Ccna2 Bmpr2 Maf Prdm1 Nectin1 Tbc1d32 Kif3a Ift122 Lrig3 Cebpd Ahr Clcn2 Wdpcp Tmod1 Bbs7 Rcn1 Nr4a3 Hsf4 Samd11 Vegfa Diaph3 Mitf Meis3 Fzd5 Lhfpl5 Impg2 Epha2 Myom1 Stox1 Spry1 Cryba1 Abr Arsg Lgr5 Dll1 Nphp4 Arl6 Rpgrip1l Prom1 Bhlha15 Bbs4 Myo6 Tifab Ntn1 Bbs10 Wdr19 Spred2 Mks1 Cntf Rbpj Cdon Crygn Rxra Acvrl1 Tdrd7 Notch1 Fgf2 Ttc8 Rdh10 Mdm1 Usp45 Abi2 Bcr Tulp3 Pbx4 Mcoln3 Whrn Dvl1 Sod1 Myo7a Ctns Ift140 Fgf20 Bak1 Arhgap35 Prkci Sox12 Aldh1a3 Mterf4 Lef1 Rab37 Psen1 Cited2 Plaat3 Rdh13 Naglu Nf2 Atf6 Ski Ahi1 Bloc1s3 Ift88 Tmem231 Grn Sdc4 Sos1 Lamb2 Rab11fip4 Bfsp2 Scaper Cst3 Rpgr Dicer1 Alms1 Nfix Hdac2 C1qb Vangl2 Rab18 B3glct Gdf11 Ninj1 Sipa1l3 H2-K1 Sox4"
"GOBP_SYNAPSE_ORGANIZATION",1.40644766759187,9.31584053978793e-05,0.0379061551563971,344,0.435109204649779,104,"Bsn Srgap3 Nrg2 Lrrc4 Dlg3 Gpm6a Iqsec2 Smad3 S1pr2 Cacna2d2 Nrp2 Adgrl2 App Nectin1 Sema4a Cit Xlr3b Clstn1 Plxnd1 Adgrl1 Cacna1a Colq Tenm4 Camk1 Marcks Itgb3 Numbl Sema7a Fgf13 Caprin2 Daam1 Agrn Slc7a11 Unc13b Fzd5 Nrxn1 Lin7b Arhgap33 Dlg4 Chrnb1 Ppfibp2 Ctbp2 Efna1 Dock4 Neurl1a Nefh Itga3 Zfp365 Zc4h2 Magi2 Lhfpl4 Lrp8 Cask Xlr4a Itgb1 Myo6 Akap5 Ntn1 Igsf9 Utrn Cdk5r1 Itpka Tanc1 Il1rap Srcin1 Efnb1 Ppfibp1 Klk8 Rhob Arhgap39 Plxnc1 Dbn1 Appl1 Abi2 Tmem108 Sorbs2 Amigo1 Actn1 Tnf Dock7 Ppfia4 Amigo3 Mapt Dvl1 Pak1 Erbb3 Ccdc39 Pdxp Dip2a Ptk2 Tanc2 Cpeb3 Farp1 Zdhhc8 Elmo1 Cacnb4 Fbxo45 Lgmn Igf1r Enah Cyfip1 Gphn Kcnk13 Psen1"
