"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HALLMARK_ALLOGRAFT_REJECTION",1.43264528847445,0.00575362169937327,0.0956526560940446,130,0.463174232566736,21,"Il15 Cxcr3 Zap70 Il2ra Ccr5 Il12rb1 Lcp2 Cd3d Itk C2 Tlr3 Klrd1 Il2 Acvr2a Prf1 Dyrk3 Tlr6 Socs1 Ccnd2 Cfp Sit1"
"HALLMARK_ANGIOGENESIS",1.62111239067611,0.00619072708113804,0.0956526560940446,12,0.740010569054681,8,"Slco2a1 App Tnfrsf21 Vegfa S100a4 Fstl1 Ccnd2 Itgav"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.54871930405388,0.00406593406593407,0.0956526560940446,63,0.534742611513527,26,"Il15 Sntb1 Cdh11 Dst Basp1 Serpine2 Mmp14 Itgb3 Vegfa Efemp2 Col7a1 Ecm1 Tgfbr3 Fstl1 Sgcb Tagln Itgb1 Nt5e Fgf2 Itgav Plod3 Tnfaip3 Fstl3 Rhob Pmepa1 Vcam1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.52041091796845,0.00765221248752357,0.0956526560940446,57,0.530042740746936,22,"Il2ra Il12rb1 Socs3 Il9r Dntt Tnfrsf21 Il15ra Itgb3 Cd9 Socs1 Ebi3 Ccr1 Il3ra Acvrl1 Csf1 Tnf Tnfrsf1b Bak1 Acvr1b Hmox1 Irf1 Csf2ra"
"HALLMARK_INFLAMMATORY_RESPONSE",1.37699758833673,0.0206946755407654,0.206946755407654,110,0.450762419504678,41,"Il15 Lcp2 Nod2 Rgs1 Cxcr6 Cdkn1a Hbegf Axl Tlr3 Il15ra Ahr Sele Mmp14 Itgb3 Kcnj2 Gp1ba Fzd5 Acvr2a Best1 Ffar2 Ebi3 Il7r Rtp4 Cybb Kif1b Tnfsf9 Slc7a1 Nampt Eif2ak2 Csf1 Lamp3 Tnfsf10 Tnfrsf1b Icam1 Bst2 Lta Icam4 Acvr1b Lck Psen1 Ptpre"
"HALLMARK_COAGULATION",1.36950469441048,0.0484591335417597,0.284160227734852,55,0.480305034768319,25,"C2 F8 Mmp14 Itgb3 Serpinc1 Cd9 Gp1ba Gng12 Klk8 Trf Capn2 Mmp11 Adam9 F9 Msrb2 Dpp4 Lgmn Plek Lamp2 Mst1 Usp11 C8g C1qa Dusp6 Csrp1"
"HALLMARK_IL2_STAT5_SIGNALING",1.28023497559256,0.0501740733155847,0.284160227734852,139,0.412488060206761,41,"Il2ra Ifitm3 Cdkn1c Car2 Tnfrsf4 Plpp1 Bmpr2 Ager Tnfrsf21 Ndrg1 Ahr Serpinc1 Nfil3 Ecm1 Irf6 Socs1 Tlr7 Eef1akmt1 Ccnd2 Socs2 Dhrs3 Slc29a2 Gabarapl1 Uck2 Spred2 Il3ra Slc2a3 Traf1 Nt5e Slc39a8 Plscr1 Itgav Hk2 Rhob Csf1 Tnfsf10 Lclat1 Tnfrsf1b P4ha1 Syngr2 Anxa4"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.32708166443165,0.0537897310513447,0.284160227734852,83,0.444309613449305,43,"Il15 Ifitm3 Isg15 Ifih1 Parp12 Ifit3 Gmpr Rtp4 Tdrd7 Isg20 Plscr1 Ifit2 Mov10 Lgals3bp Eif2ak2 Csf1 Ncoa7 Ifitm2 Lamp3 Ddx60 Bst2 Sp110 Herc6 Irf1 Cmpk2 Ifi30 Lap3 Pnpt1 Psme1 Uba7 Ifi27 Irf7 Psmb9 Usp18 Rsad2 Ripk2 Tmem140 Trafd1 Ube2l6 B2m Casp8 Psme2 Oas1a"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.26029766555856,0.0568320455469703,0.284160227734852,156,0.403292780473254,58,"Il15 Ifitm3 Lcp2 Socs3 Sspn Cdkn1a Isg15 Pla2g4a Ifih1 Parp12 Lysmd2 Il15ra Ifit3 Il18bp Oas3 Socs1 Casp4 Rtp4 Tdrd7 Isg20 Nampt Plscr1 Nlrc5 Ifit2 Lgals3bp Tnfaip3 Eif2ak2 Cd274 Ifitm2 Ddx60 Casp7 P2ry14 Gzma Vcam1 Tnfsf10 Eif4e3 Icam1 Bst2 Sp110 Isoc1 Herc6 Irf1 Cmpk2 Zbp1 Ifi30 Lap3 Oas2 Ifnar2 Ptpn1 Pnpt1 Bpgm Psme1 Ripk1 Gpr18 Ifi27 Irf7 Psmb9 Usp18"
"HALLMARK_KRAS_SIGNALING_DN",1.36631577840364,0.0496873604287628,0.284160227734852,55,0.479186635963418,16,"Nphs1 Slc12a3 Egf Nr6a1 Nrip2 Fggy Plag1 Gp1ba Celsr2 Stag3 Asb7 Zfp112 Rgs11 Mfsd6 Prodh Klk8"
"HALLMARK_KRAS_SIGNALING_UP",1.28456037996365,0.0682625966966339,0.284427486235975,101,0.422562188317197,25,"Eng Fcer1g Tmem100 Spry2 Car2 Prdm1 Hbegf Tfpi Pigr Tmem176b Sema3b Tspan1 Glrx Tmem176a Epb41l3 Ccnd2 Il7r Kcnn4 Clec4a3 Slpi Traf1 Gypc Tnfaip3 Vwa5a Pdcd1lg2"
"HALLMARK_MYOGENESIS",1.29869561524308,0.0676994906621392,0.284427486235975,84,0.434352371678225,21,"Cacna1h Sspn Cdkn1a Hbegf App Cox7a1 Myl6b Itgb4 Gnao1 Agrn Dmd Chrnb1 Myom1 Ckb Tagln Myl4 Itgb1 Lpin1 Sorbs3 Notch1 Fgf2"
"HALLMARK_TGF_BETA_SIGNALING",1.32855588161634,0.0840220385674931,0.300078709169618,41,0.484049002721151,4,"Eng Cdkn1c Smad3 Bmpr2"
"HALLMARK_UV_RESPONSE_DN",1.27414180913204,0.0824894514767932,0.300078709169618,90,0.423493963485874,19,"Mgll Smad3 Adgrl2 Tfpi Cacna1a Atxn1 Itgb3 Pik3r3 Acvr2a Grk5 Tgfbr3 Togaram1 Cdc42bpa Magi2 Bckdhb Cdon Rxra Tent4a Slc7a1"
"HALLMARK_COMPLEMENT",1.23206433220887,0.0988023952095808,0.32934131736527,122,0.400136109916668,45,"Timp2 Fcer1g Lcp2 Car2 Pla2g4a C2 F8 Mmp14 Serpinc1 Notch4 Gp1ba Dock4 Casp4 Cdk5r1 Gnb4 Plscr1 Tnfaip3 Cd46 Casp7 Gzma Cebpb Klk1 Adam9 Dpp4 Lgmn Plek Lamp2 Lck Psen1 C1qc Usp14 Irf1 C1qa Dusp6 Sirt6 Lap3 Csrp1 Prss36 Lipa Hspa1a Ctso Irf7 Psmb9 Pik3cg Usp8"
"HALLMARK_APICAL_SURFACE",1.32990457326717,0.110041788020767,0.343880587564898,17,0.564737246832059,6,"App Akap7 Rtn4rl1 Sulf2 Cd160 Tmem8b"
"HALLMARK_APICAL_JUNCTION",1.2116390628187,0.134621409921671,0.395945323299032,103,0.398124563051859,34,"Cdh11 Adam15 Map3k20 Sirpa Pik3cb Nectin1 Itgb4 Pik3r3 Pard6g Cd276 Itga3 Itga9 Sgce Tspan4 Itgb1 Lima1 Traf1 Sorbs3 Tmem8b Cd274 Amigo1 Actn1 Vcam1 Ctnna1 Ctnnd1 Adam9 Icam1 Ptk2 Icam4 Itga10 Gtf2f1 Nrxn2 Nf2 Plcg1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.03177214880759,0.423140839218945,0.961683725497602,111,0.337507662552457,39,"Fabp5 Car2 Cacna2d2 Kif20a Rps6ka2 Rapgefl1 Cd9 Unc13b St14 Sema3b St6galnac2 Gla Celsr2 Ckb Impa2 Sord Anxa9 Slc2a8 Scarb1 Xrcc3 Myb Dcxr Isg20 Chpt1 Pkp3 Snx10 Slc29a1 Siah2 Mapt Btg3 Farp1 Wfs1 Tjp3 Mettl3 Ccnd1 Arl3 Plaat3 Dnajc1 Etfb"
"HALLMARK_HEDGEHOG_SIGNALING",1.04946589732556,0.421299227554768,0.961683725497602,17,0.445650382300555,7,"Nrp2 Vegfa Cdk5r1 Rtn1 Ptch1 Tle1 Amot"
"HALLMARK_HYPOXIA",1.04455564719661,0.399341631519391,0.961683725497602,127,0.338286318169819,36,"Cdkn1c Cdkn1a Tgfb3 Ndrg1 Nfil3 Vegfa Errfi1 Noct Lxn Efna1 Ackr3 S100a4 Glrx Ext1 B3galt6 Scarb1 Slc2a3 Rbpj Gapdhs Isg20 Ndst1 Hk2 Tnfaip3 Phkg1 Mxi1 Siah2 Slc25a1 Ppfia4 P4ha1 Nagk Tes Grhpr Hmox1 Gys1 Cited2 Hs3st1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.04113357939883,0.39969450101833,0.961683725497602,152,0.333711185545001,35,"Socs3 Smad3 Egr2 Cdkn1a Hbegf Ifih1 Plk2 Cebpd Marcks Il15ra Nfil3 Nr4a3 Klf9 Vegfa Efna1 Ackr3 Klf10 Dram1 Il7r Bcl2a1d Slc2a3 Traf1 Tnfsf9 Nampt Ifit2 Tnfaip3 Rhob Rcan1 Csf1 Pmepa1 Tnf Cebpb Zbtb10 Icam1 Btg3"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.04713252037157,0.417826295585413,0.961683725497602,28,0.405137812001701,10,"Tcf7 Notch4 Ccnd2 Dll1 Rbpj Notch1 Ppard Hdac11 Lef1 Ptch1"
"HALLMARK_ADIPOGENESIS",0.608573999044687,0.996745652394996,1,159,0.194626542339854,63,"Mgll Sspn Sowahc Elovl6 Stom Slc27a1 Angpt1 Pemt Cd302 Scarb1 Slc19a1 Cdkn2c Dhrs7b Gpat4 Nabp1 Ltc4s Abcb8 Slc25a1 Sod1 Retsat Acox1 Gphn Etfb Phyh Miga2 Uqcrq Gpam Dnajb9 Mrpl15 Slc25a10 Rreb1 Dgat1 Slc5a6 Gpx4 Decr1 Atl2 Dram2 Dhrs7 Tank Acadm Acads Uqcr10 Coq9 Ddt Cpt2 Lipe Idh3g Rtn3 Abca1 Cmpk1 Vegfb Mccc1 Idh3a Cox6a1 Qdpr Cox7b Mtch2 Acaa2 G3bp2 Cox8a Echs1 Araf Aldoa"
"HALLMARK_ANDROGEN_RESPONSE",0.722512847930862,0.92109758701687,1,78,0.24352286976965,16,"Plpp1 Maf Iqgap2 Ndrg1 Gsr Hpgd Sord Abcc4 Itgav Herc3 Pmepa1 Actn1 Zbtb10 Selenop Ccnd1 Aldh1a3"
"HALLMARK_APOPTOSIS",0.894620683439577,0.716633929494469,1,119,0.291075514073595,35,"Timp2 Ifitm3 Lmna Cdkn1a App Rnasel Prf1 Gsr Tgfbr3 Nefh Ccnd2 Casp4 Isg20 Rhob Pmaip1 Casp7 Tnfsf10 Tnf Pak1 Sod1 Erbb3 Retsat Btg3 Bid Ptk2 Bmf Ccnd1 Lef1 Hmox1 Psen1 Wee1 Irf1 Tspo Dap Cflar"
"HALLMARK_BILE_ACID_METABOLISM",0.932696868319542,0.60834248079034,1,64,0.3215049421038,20,"Atxn1 Gstk1 Pxmp2 Abca8b Pex11g Rxra Abca6 Abca2 Slc29a1 Pex12 Sod1 Slc23a2 Retsat Abca5 Pnpla8 Isoc1 Pex7 Lck Phyh Mlycd"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.864776759086844,0.712321171121216,1,57,0.301476816631327,13,"Fabp5 Nfil3 Cd9 Errfi1 Sema3b Atf5 Cxcl16 Trib3 Plscr1 Antxr2 Abca2 Hsd17b7 Chka"
"HALLMARK_DNA_REPAIR",-0.500540676275171,1,1,139,-0.113528488805726,15,"Xpc Gsdme Dctn4 Taf13 Polh Gtf3c5 Polr2h Polr2d Nme3 Ercc2 Ell Polr2a Ddb2 Prim1 Nt5c3"
"HALLMARK_E2F_TARGETS",0.6637530642176,0.987660564377465,1,184,0.21075930496107,53,"Cdkn1a Bub1b Cit Ccnb2 Kif22 Rrm2 Cenpe Diaph3 Mki67 Tk1 Kif4 Ezh2 Cdk1 Mxd3 Cdca3 Wdr90 Birc5 Cdkn2c Tacc3 Pan2 Rfc3 Mybl2 Cdca8 Prim2 Nbn Gins3 Hus1 Ung Ube2t Shmt1 Wee1 Ppp1r8 Mlh1 Ccne1 Timeless Dctpp1 Mcm3 Tipin Asf1b Rnaseh2a Rpa3 Gspt1 Orc2 Phf5a Lmnb1 Tcf19 Cbx5 Depdc1a Lsm8 Brms1l Eed Mre11a Pa2g4"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.702307132423552,0.952792830345978,1,106,0.230343786932602,28,"Gab2 Mreg Rps6ka2 Rapgefl1 Wwc1 Sema3b Klf10 Gla Celsr2 Cbfa2t3 Anxa9 Dhrs3 Scarb1 Myb Chpt1 Pmaip1 Siah2 Svil Mapt Deptor Farp1 Wfs1 Tjp3 Ccnd1 Igf1r Arl3 Cant1 Plaat3"
"HALLMARK_FATTY_ACID_METABOLISM",-0.743218465858459,0.98533724340176,1,118,-0.172388776442412,17,"Lgals1 Dhcr24 Acss1 Acat2 Glul Ehhadh Trp53inp2 Adsl Rdh11 Auh Bphl Acsl4 Crat Acot8 Aldh3a2 Blvra Gpd2"
"HALLMARK_G2M_CHECKPOINT",0.880690414813593,0.767656297497214,1,173,0.280464644601475,27,"Egf Smad3 Map3k20 Ccna2 Rad54l Ccnb2 Kif22 Marcks Prc1 Cenpe Tnpo2 Dmd Mki67 Kif4 Kif15 Cenpf Polq Atf5 Ezh2 Cdk1 Uck2 Nusap1 Birc5 Cdkn2c Dbf4 Tent4a Slc7a1"
"HALLMARK_GLYCOLYSIS",0.752429199667294,0.923914159564637,1,132,0.243031549220681,33,"Cacna1h Lct Slc25a13 Kif20a Pygl Vegfa Agrn Glrx Rpe Ext1 Slc35a3 Cdk1 B3galt6 Gapdhs Nt5e Isg20 Hk2 Mxi1 Fut8 Pfkfb1 Ppfia4 Sod1 Idua P4ha1 Bpnt1 B3gnt3 Cln6 Gys1 Glce Cited2 Txn1 Pmm2 Hs2st1"
"HALLMARK_HEME_METABOLISM",0.526664313748262,0.99938612645795,1,140,0.169587567334539,43,"Car2 AK157302 Rap1gap Daam1 Slc7a11 Ank1 Mfhas1 Myl4 Ccdc28a Gypc Mospd1 Mxi1 Fbxo34 Pigq Ctns Eif2ak1 Ppox Icam4 Abcg2 Glrx5 Lamp2 Aldh6a1 Top1 Tspan5 Bach1 Mpp1 Bpgm Endod1 Synj1 Nudt4 Aqp3 Ezh1 Gmps Gapvd1 Rnf123 Cpox Uros Tfdp2 Rbm38 Hagh Ctse Slc25a38 Lrp10"
"HALLMARK_MITOTIC_SPINDLE",0.723353183690427,0.961495592258587,1,173,0.230359034426441,27,"Kifap3 Dst Ccnb2 Kif22 Marcks Prc1 Cenpe Arap3 Kif4 Kif15 Cenpf Dock4 Katnb1 Abr Cdc42bpa Arhgap10 Cdk1 Cdc42ep4 Nusap1 Birc5 Cep72 Kif1b Dynll2 Arhgap5 Tbcd Sorbs2 Bcr"
"HALLMARK_MTORC1_SIGNALING",-0.871251117164954,0.913669064748201,1,171,-0.192587167574455,30,"Sqle Cdc25a Dhcr24 Cxcr4 Tm7sf2 Ykt6 Sla Stard4 Bhlhe40 Nmt1 Pgm1 Dhfr G6pdx Ufm1 Psmd12 Rdh11 Aurka Uso1 Txnrd1 Slc1a5 Nfyc Sdf2l1 Rpa1 Dhcr7 Dapp1 Gbe1 Gga2 Add3 Tfrc Psmc6"
"HALLMARK_MYC_TARGETS_V1",-0.613628963829621,1,1,185,-0.133733184686331,183,"Stard7 Myc Cdc20 Cul1 Smarcc1 Psmc6 Eif3b Nap1l1 Xpot Tcp1 Pole3 Glo1 Kpnb1 Mcm7 Ilf2 Tufm Phb2 Rack1 Cox5a Vbp1 Eif2s2 Mcm5 Srm Vdac1 Abce1 Pabpc1 Dut Lsm2 Rpl6 Rps2 Npm1 Xrcc6 Eif4h Psma2 Mad2l1 Rps5 Ywhaq Eef1b2 Nhp2 Hspe1 Hnrnpu Rplp0 Rpl14 Ruvbl2 Rps10 Ndufab1 Rpl18 Clns1a Hnrnpr Nolc1 Psmc4 Rps3 Srsf7 Ssb Pgk1 Rps6 C1qbp Psmd1 Mrpl23 Hnrnpa3 Psma7 Rpl22 Pwp1 Nme1 Ncbp1 Mcm2 Hnrnpd Prdx3 Snrpd3 Apex1 Pcna Hnrnpa2b1 Cct5 Dek Rrp9 Mcm4 Hsp90ab1 Vdac3 Cct3 Hnrnpc Cct2 Tardbp Cct7 Acp1 Prpf31 Rnps1 Sf3b3 Rfc4 Eif4g2 Cnbp Rsl1d1 Snrpg Psmb3 Mrps18b Eif2s1 Ldha Hnrnpa1 Cct4 Psmb2 Hdgf Cops5 Ssbp1 Slc25a3 Pcbp1 Eif3j1 Syncrip Srsf2 Ran Srsf3 Snrpd2 Ppia Ncbp2 Cbx3 Mrpl9 Psma1 Tra2b Ranbp1 Ube2e1 Mcm6 Ywhae G3bp1 Uba2 Nop56 Psmd14 Nop16 Serbp1 Eif3d Prdx4 Xpo1 Tomm70a Pold2 Psmd3 Sf3a1 Bub3 Psmd8 Usp1 Psmd7 Cdk4 Srsf1 Snrpd1 Canx Txnl4a Cyc1 Gnl3 Tfdp1 Hspd1 Fam120a Etf1 Eif4e Ppm1g Aimp2 Ddx18 Impdh2 Snrpa Eif4a1 Srpk1 Rrm1 Psma4 Ddx21 Ap3s1 Erh Prps2 Got2 Pa2g4 Trim28 Fbl Cdk2 Odc1 Orc2 Gspt1 Cad Hdac2 Exosc7 Dhx15 Psma6 Cstf2 Snrpa1 Cdc45 Hddc2 Rad23b Ifrd1 Snrpb2 Pabpc4"
"HALLMARK_MYC_TARGETS_V2",-0.609449283217706,0.998087954110899,1,55,-0.159130209367186,14,"Plk4 Myc Mybbp1a Mrto4 Bysl Ipo4 Mphosph10 Pes1 Rrp12 Grwd1 Pus1 Noc4l Ppan Rcl1"
"HALLMARK_NOTCH_SIGNALING",0.937830802965423,0.580141497926324,1,24,0.373235193716545,8,"Dtx4 Fzd5 Dll1 Notch1 Aph1a Ppard Ccnd1 St3gal6"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.417380445261179,1,1,179,0.132688936661349,72,"AK157302 Gm10053 Mtrf1 Ldhb Casp7 Nqo2 Retsat Slc25a20 Supv3l1 Aldh6a1 Etfb Phyh Cox15 Alas1 Uqcrq Ndufc1 Pdhx Mrpl15 Gpx4 Acat1 Hadhb Decr1 Ndufs1 Slc25a4 Acadsb Ndufc2 Got2 Acadm Ndufa7 Ndufa9 Ndufb2 Uqcr10 Cox6b1 Slc25a11 Idh3g Ndufa4 Ndufb6 Afg3l2 Mrpl34 Bax Atp6ap1 Idh3a Atp6v0c Cox6a1 Pdha1 Cox7b Ndufa1 Acaa2 Cox8a Echs1 Ndufb5 Slc25a5 Cyc1 Timm8b Idh1 Ndufa3 Ndufb8 Grpel1 Mrps15 Sdha Sdhb Glud1 Cox6c Cox7c Mtrr Ndufs7 Tomm70a Ndufa8 Cox4i1 Timm10 Atp6v1e1 Uqcr11"
