"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",-2.90271726720419,4.47056485700052e-24,3.62115753417042e-21,175,-0.630265981513735,62,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Rasgrp1 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ikbkg Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Prkcb Ighv11-2 Psmd12 Igkv1-135 Ighv1-39"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",-2.81722095466742,1.25966196156181e-20,5.10163094432533e-18,148,-0.627802121610529,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ikbkg Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Psmd12 Igkv1-135 Ighv1-39"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",-2.60962877509781,6.10314382079449e-20,1.64784883161451e-17,189,-0.564776028410252,62,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ikbkg Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Mapk3 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Grap2 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Psmd12 Igkv1-135 Ighv1-39"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",-2.87666602157917,7.82530153962278e-19,1.41184130500494e-16,111,-0.67398700700493,58,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",-2.70211317265117,8.71506978398111e-19,1.41184130500494e-16,155,-0.595716120045855,61,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Mapk3 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Baiap2 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCGR_ACTIVATION",-2.86048489395275,2.42742092879084e-17,3.27701825386763e-15,97,-0.682781383990618,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",-2.7183629466618,3.79670003576136e-17,4.39332432709529e-15,116,-0.633650830532195,60,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Mapk3 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Grap2 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",-2.6894887657021,1.38277865582924e-16,1.4000633890271e-14,114,-0.627803972944706,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Grap2 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",-2.77664264670718,3.37766668193768e-16,3.03990001374391e-14,105,-0.649669550905681,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_COMPLEMENT_CASCADE",-2.76206616055559,4.68083713299123e-16,3.49769476023551e-14,104,-0.648880218597963,58,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Cd55 Ighv1-52 Ighv1-82 Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
