"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",-2.83413147486847,1.51554479351655e-24,1.21698246919379e-21,174,-0.629761177277232,62,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Rasgrp1 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ikbkg Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Prkcb Ighv11-2 Psmd12 Igkv1-135 Ighv1-39"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",-2.76263236813526,1.10634255776164e-20,4.44196536941298e-18,147,-0.627299678415302,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ikbkg Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Psmd12 Igkv1-135 Ighv1-39"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",-2.55657450966045,1.89373553150661e-19,5.06889877266603e-17,188,-0.56425812676412,62,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ikbkg Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Mapk3 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Grap2 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Psmd12 Igkv1-135 Ighv1-39"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",-2.90647051292902,6.85503712879766e-19,1.1009189628849e-16,111,-0.673410303834201,58,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",-2.63378585399061,6.68793329151352e-19,1.1009189628849e-16,155,-0.595137149717006,61,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Mapk3 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Baiap2 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCGR_ACTIVATION",-2.8816912059494,7.45359418307313e-18,9.9753935483462e-16,97,-0.682206588612487,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",-2.70593032722306,3.15572480060409e-16,2.77233439673213e-14,114,-0.627227601429303,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Grap2 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",-2.71392339326713,2.42979774924931e-16,2.77233439673213e-14,116,-0.633074883922696,60,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Mapk3 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Grap2 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",-2.75961037296873,3.45247122880714e-16,2.77233439673213e-14,101,-0.650540960644563,58,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",-2.78560311346234,3.39487200666707e-16,2.77233439673213e-14,105,-0.649094014622301,59,"Igkv12-98 Igkv13-85 Ighv1-72 Ighv1-75 Ighv1-69 Ighv8-12 Ighv1-78 Ighv1-50 Ighv1-85 Ighv1-55 Ighv1-9 Ighv1-74 Ighv1-58 Ighv1-42 Ighv14-2 Ighv1-66 Ighv4-1 Ighv1-63 Ighv1-61 Ighv1-20 Ighv3-1 Ighv1-77 Ighv1-47 Ighv3-8 Ighv1-54 Ighv12-3 Ighv1-34 Igkv2-137 Ighv1-49 Ighv1-11 Ighv1-64 Ighv1-84 Ighv1-12 Ighv1-31 Fcgr2b Ighv1-36 Ighv15-2 Ighv8-8 Ighv3-5 Ighv8-6 Ighv5-16 Igkv17-121 Ighv1-52 Ighv1-82 Syk Ighv1-80 Ighv1-22 Ighv14-1 Ighv5-9-1 Ighv1-67 Igkv18-36 Ighv5-9 Ighv1-71 Igkv13-84 Ighv1-7 Ighv1-4 Ighv11-2 Igkv1-135 Ighv1-39"
