"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"EED_TARGET_GENES",1.4520193767404,0.000354901141838074,0.0550096769849014,250,0.454964434903222,70,"Timp2 2900005J15Rik Zbtb46 Sntb1 Specc1 C1qtnf4 Mctp1 Mcc St8sia6 Shc4 Celf4 Nrp2 Lmna Egr2 Maf Gm15564 Tnfrsf21 Cacna1a Parp12 Atxn1 Lysmd2 Rasgrf2 Mmp14 Gfra2 Flt3 Metrnl Hsf4 Gm13830 Fgf13 Tmem267 Zbtb42 Nrxn1 Slc22a21 Gm15908 Ank1 Rtn4rl1 Bhlhe41 Zcwpw2 Trim2 Prr18 Gm11201 4930426L09Rik Ccnd2 Dll1 Chadl Kcnc1 Kdm6bos Lrp8 D030055H07Rik Prom1 Gm10069 Gm12462 Cul9 B130034C11Rik Junos Slc9a5 Cdkn2c Gnal Nt5e Mfsd6 Antxr2 3110070M22Rik Csf1 Arhgef4 Cpd Polg2 Prob1 Coa6 Setbp1 Whrn"
"AHCY_AHCYL_TARGET_GENES",0.585231147147758,0.995801847187238,1,100,0.193138560505304,30,"Gm11592 Ank1 Cenpu Asb7 Nsl1 Lins1 1110019D14Rik Dbf4 Mettl15 Efcab7 Hdgfl3 Rmi2 Mterf4 Msl2 Zscan12 Tatdn3 Snhg6 Hs2st1 Itgb3bp Hmg20a Smim8 Cdca7 Mrpl46 Rad51b Exoc2 2810013P06Rik Gtf3c6 Oxr1 Cdkal1 Epm2a"
"BAZ1A_TARGET_GENES",0.687308741103626,0.995496397117694,1,373,0.213120670313688,72,"Lmln Specc1 Slc22a15 Inca1 Hcn3 Bmpr2 Tdrkh Gm15564 Plk2 Tbc1d32 Kif3a Zfp11 Zfp345 Mtln Cers6 Gm14023 Ank1 Dyrk3 Pde4d D230022J07Rik B230217C12Rik Pemt Gm7008 Hspb6 Socs2 Impa2 Ydjc Ezh2 Tubg2 Pafah2 Klhl10 Zfp174 1810062O18Rik Hspa1b Pcnx4 Ercc8 Acad10 Zcchc4 Tmem222 6430550D23Rik Tbccd1 Rptor Lcmt2 Nudt2 Gm15559 Ppa1 Zpbp2 Fanci Eif2ak1 Acer3 Abcg2 Heatr5b Rnf24 Ifrd1 Zfp850 Cant1 Rab37 Yipf2 Psen1 Ccdc142os Smim12 Usp32 Srek1ip1 Faf1 Snrpa1 Dap Pctp Ascc1 Timeless Tmem94 Cox18 Eefsec"
"BCOR_TARGET_GENES",0.852378705144947,0.9252,1,492,0.262908275429435,177,"Epb41l4b Gfi1 Maged1 Nacc2 Tgfb3 Adgrl2 Gm15564 Iqgap2 St6galnac6 Dst Kremen2 Gm20109 Rap1gap Ptp4a1 Trerf1 Bloc1s6os Fbxo44 Pxmp2 4930405A21Rik Gm9970 Dlg4 Gm16731 Slc22a21 Fam222a Cd276 Dbndd2 Kif13a Spry1 Prickle4 2610206C17Rik Map3k12 Clec4g 4930426L09Rik Dipk1b 2310068J16Rik Cdc42bpa Gm27003 Tmem63a Cbfa2t3 Itm2c Gm9530 Gm11973 Ppil6 Relt Cxcl16 Slc35a3 Myo6 Gng12 Gm10190 Hoxb3 Ccl25 4732491K20Rik Ccne2 Tanc1 Stard6 Xrcc3 Gm10658 Tle2 Gnal Tent4a Nt5e Npr2 D3Ertd751e Sap30l Zfand2a Ppt2 8430432A02Rik 2700049A03Rik Nsun6 Eogt Pmepa1 Ssc4d 4933406I18Rik Rcc1 Fut8 Gm15559 Setbp1 Svil Ss18l1 Stx3 Zfp131 Col23a1 Usp6nl Cpeb3 Bcap29 Mtbp Socs6 Fam161b Dpp4 Pnpla8 Zdhhc3 0610038B21Rik Khk Pdzd8 Igf1r Ascl4 Map3k5 Ube2q2 Gpat3 Yipf2 Cited2 Dnajc1 Gm15283 Camsap2 Tspan2 Epm2aip1 Lig4 Gm5577 Luzp1 Mrpl14 Msl2 Tmem230 Ptch1 2010001A14Rik Zfp422 Magi3 Tgfbrap1 Plcb3 Dap Rasal2 Jade2 Tent4b Agk Carhsp1 Cdyl Pfdn6 Gm20033 Wsb2 Exosc7 Nfix Miga1 Akap9 Mpc2 Cnpy4 Naa30 Sergef Pde7a Sipa1l3 Klf11 2610037D02Rik Usf2 Wapl Slc38a2 Pcbp3 Golt1b Adm Pip4k2a 4632427E13Rik 4930539J05Rik Leprotl1 Syce2 Cdk12 Slain2 Slc15a4 2810013P06Rik Fkbp5 Azin1 Nol4l Cuedc1 Gm20732 Atp2a2 Rfx5 Rffl Aebp2 Aagab Gpatch11 Fdx2 Crtc3 Runx2 Epc2 Ercc4 1700001G11Rik Cnot6l Brca2 Sgk1 Fem1b Fbxw7"
"BRD3_TARGET_GENES",0.597380576587865,1,1,440,0.184618958871335,109,"Gfi1 Cdnf Rab13 Ano7 Osgin1 Kifap3 Gpr157 Cox7a1 Gm15564 Kif20a Kif18a Lmbr1 Ggnbp1 1810055G02Rik Tmem267 Ccdc17 Kif15 Tbc1d22b Hjurp 6030443J06Rik Fbxl19 Cdca5 Pafah2 Tlcd1 4930532G15Rik Aars2 Igsf9 Scarb1 Nat10 Rbpj Pdss1 Ufsp1 Smpd4 Mettl15 Gm16046 Lactb2 Magohb Adat1 3110070M22Rik Ccdc191 Cyb5rl Zfand2a Nsun6 Dnajc24 Dnajc16 Prkrip1 Ttc39d Zfand1 Coa6 Med22 2610020C07Rik Lss Snupn Zkscan8 Fam216a Eif2ak1 Mtbp Mkrn2 Apmap Ints9 Heatr5b Acad11 Grhpr Psen1 Surf2 Gcdh Kbtbd3 Pdcd11 Mst1 Slc39a1 AU020206 Cox15 Rab24 Tmem230 Ppp1r8 Epg5 Ptgr2 Szt2 Miga2 Lrpap1 Tspo Sesn2 Arf2 Grk4 Zfp623 Trap1 Plxnb2 Arl5b Slc29a3 Cops9 Wipf2 Med6 Tut7 Clcc1 Colgalt1 Avpi1 Tpra1 Atg2b Prr14l Washc1 Vps52 Polr2k Zfpl1 Med8 Ube3b Amn1 Zfp457 Brd8 Ccdc97"
"BRWD1_TARGET_GENES",0.481544955734808,1,1,204,0.151938272119181,23,"Isoc2b Gm15564 Tmod1 Diaph3 Plekha4 Pde4d Myl4 Tctn3 Hsd17b13 Entpd1 Tigd5 Jak3 Ctnnal1 1110019D14Rik Gm10382 Notch1 Osbpl1a Rtl6 Lyrm4 Cyp4f16 Jaml Polg2 Fbxl18"
"CARM1_TARGET_GENES",0.626919796517361,0.983061681048258,1,83,0.210226852011442,12,"Mir670hg 4833445I07Rik Tmem176b Wdr27 Ctbp2 Tmem176a Eef1akmt1 Arhgap10 Tceanc Gm15910 Fam193a Arhgef4"
"CBX6_TARGET_GENES",0.926350019429406,0.637230997561751,1,88,0.309063301973844,28,"Tlcd2 Ccr9 Gfra2 Mir22hg A230083N12Rik Pde4d Trim2 4930426L09Rik Dll1 Kcnc1 Rnf43 Myb Prodh Tmem38a Whrn Ptk2 Kcnk6 Bmf Cwc25 Hmox1 Gpat3 Ado Lig4 Trp53inp1 Usp32 Hivep2 Mynn Klhl5"
"CEBPG_TARGET_GENES",0.965027357212566,0.596424266773805,1,233,0.302893481809514,65,"2900005J15Rik Cdnf Frs3 Smad3 Phyhd1 Slc9a9 5930430L01Rik Slc7a7 Fam161a Gm27042 Gpt2 E230016M11Rik Cass4 Spata1 Slc7a11 Plekha4 Rgs12 Smim10l1 Sh2d6 Cenpl Gm15417 Hjurp Zfp365 Mdfic Jdp2 Sertad2 Trib3 Dars2 Gm11520 Fv1 Taco1 Enc1 Zbtb10 Wdr25 Zfp672 Apobec1 Micu3 Ptpn22 Ipmk Psat1 Rad23b BC065397 Gm19710 Inpp5b Cry2 Hmox1 Gys1 Gtf2f1 Dcaf6 Atf6 Cox6a2 Smarca2 Abraxas1 Plekha1 Uqcrq Atg10 Gne Recql4 Fpgs Mpc2 Lztfl1 Tbce Mcm3 Stk25 Pck2"
"CGAS_TARGET_GENES",1.40636721313053,0.0225032147449636,1,78,0.474448113411727,18,"Palm3 Cdh24 Il9r Rhbdl1 Dst Xlr4c Rbm47 Ppl Fgf13 Tmem267 Med12l Nefh Fbxl19 Bspry Rtl6 Gm14634 Tmc7 3110070M22Rik"
