"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"EED_TARGET_GENES",1.44977589439596,0.000359733476249952,0.0564781557712425,250,0.453616292118812,70,"Timp2 2900005J15Rik Zbtb46 Sntb1 Specc1 C1qtnf4 Mctp1 Mcc St8sia6 Shc4 Celf4 Nrp2 Lmna Egr2 Maf Gm15564 Tnfrsf21 Cacna1a Parp12 Atxn1 Lysmd2 Rasgrf2 Mmp14 Gfra2 Flt3 Metrnl Hsf4 Gm13830 Fgf13 Tmem267 Zbtb42 Nrxn1 Slc22a21 Gm15908 Ank1 Rtn4rl1 Bhlhe41 Zcwpw2 Trim2 Prr18 Gm11201 4930426L09Rik Ccnd2 Dll1 Chadl Kcnc1 Kdm6bos Lrp8 D030055H07Rik Prom1 Gm10069 Gm12462 Cul9 B130034C11Rik Junos Slc9a5 Cdkn2c Gnal Nt5e Mfsd6 Antxr2 3110070M22Rik Csf1 Arhgef4 Cpd Polg2 Prob1 Coa6 Setbp1 Whrn"
"AFF4_TARGET_GENES",0.634940543616726,0.999799919967987,1,491,0.195168525806148,73,"Lmln Spry2 Fbxo36 Rab13 Tjp2 Tcea3 Mgat4b Dst Myl6b Elovl6 Slc7a7 Tenm4 Rrm2 Rbm47 4833445I07Rik Tet1 E230016M11Rik Rcor2 Gm13830 Cd9 Fzd5 Plekha4 A230083N12Rik Kis2 Ctbp2 Epha2 1700008O03Rik Tefm Gm10244 Trps1 Socs2 Spindoc Frmd8os Ntn1 Gm12100 Ccne2 Tanc1 Slc2a3 Gm10382 Zbtb8a Pcgf2 Dbf4 Ap4m1 Trib3 Sulf2 Tbc1d8 Hk2 Gm26885 Slc29a1 Rcc1 Ttc39d Wbp1 Mybl2 Tmem79 Med22 Spink10 Ctnnd1 Ccnb1 Stx3 Tlnrd1 Rnf157 Scd2 Sox12 Ddx3x Ccnd1 Enah Ing2 Gm12279 Cyfip1 Tmem131 Hmox1 Zfp459 Surf2"
"AHCY_AHCYL_TARGET_GENES",0.614858504432545,0.986308583464982,1,95,0.203456715371111,30,"Gm11592 Ank1 Cenpu Asb7 Nsl1 Lins1 1110019D14Rik Dbf4 Mettl15 Efcab7 Hdgfl3 Rmi2 Mterf4 Msl2 Zscan12 Tatdn3 Snhg6 Hs2st1 Itgb3bp Hmg20a Smim8 Cdca7 Mrpl46 Rad51b Exoc2 2810013P06Rik Gtf3c6 Oxr1 Cdkal1 Epm2a"
"BAZ1A_TARGET_GENES",0.687051494020235,0.995595595595596,1,368,0.212478684691811,72,"Lmln Specc1 Slc22a15 Inca1 Hcn3 Bmpr2 Tdrkh Gm15564 Plk2 Tbc1d32 Kif3a Zfp11 Zfp345 Mtln Cers6 Gm14023 Ank1 Dyrk3 Pde4d D230022J07Rik B230217C12Rik Pemt Gm7008 Hspb6 Socs2 Impa2 Ydjc Ezh2 Tubg2 Pafah2 Klhl10 Zfp174 1810062O18Rik Hspa1b Pcnx4 Ercc8 Acad10 Zcchc4 Tmem222 6430550D23Rik Tbccd1 Rptor Lcmt2 Nudt2 Gm15559 Ppa1 Zpbp2 Fanci Eif2ak1 Acer3 Abcg2 Heatr5b Rnf24 Ifrd1 Zfp850 Cant1 Rab37 Yipf2 Psen1 Ccdc142os Smim12 Usp32 Srek1ip1 Faf1 Snrpa1 Dap Pctp Ascc1 Timeless Tmem94 Cox18 Eefsec"
"BCOR_TARGET_GENES",0.850621946796157,0.925870348139256,1,488,0.261502535609053,142,"Epb41l4b Gfi1 Maged1 Nacc2 Tgfb3 Adgrl2 Gm15564 Iqgap2 St6galnac6 Dst Kremen2 Gm20109 Rap1gap Ptp4a1 Trerf1 Bloc1s6os Fbxo44 Pxmp2 4930405A21Rik Gm9970 Dlg4 Gm16731 Slc22a21 Fam222a Cd276 Dbndd2 Kif13a Spry1 Prickle4 2610206C17Rik Map3k12 Clec4g 4930426L09Rik Dipk1b 2310068J16Rik Cdc42bpa Gm27003 Tmem63a Cbfa2t3 Itm2c Gm9530 Gm11973 Ppil6 Relt Cxcl16 Slc35a3 Myo6 Gng12 Gm10190 Hoxb3 Ccl25 4732491K20Rik Ccne2 Tanc1 Stard6 Xrcc3 Gm10658 Tle2 Gnal Tent4a Nt5e Npr2 D3Ertd751e Sap30l Zfand2a Ppt2 8430432A02Rik 2700049A03Rik Nsun6 Eogt Pmepa1 Ssc4d 4933406I18Rik Rcc1 Fut8 Gm15559 Setbp1 Svil Ss18l1 Stx3 Zfp131 Col23a1 Usp6nl Cpeb3 Bcap29 Mtbp Socs6 Fam161b Dpp4 Pnpla8 Zdhhc3 0610038B21Rik Khk Pdzd8 Igf1r Ascl4 Map3k5 Ube2q2 Gpat3 Yipf2 Cited2 Dnajc1 Gm15283 Camsap2 Tspan2 Epm2aip1 Lig4 Gm5577 Luzp1 Mrpl14 Msl2 Tmem230 Ptch1 2010001A14Rik Zfp422 Magi3 Tgfbrap1 Plcb3 Dap Rasal2 Jade2 Tent4b Agk Carhsp1 Cdyl Pfdn6 Gm20033 Wsb2 Exosc7 Nfix Miga1 Akap9 Mpc2 Cnpy4 Naa30 Sergef Pde7a Sipa1l3 Klf11 2610037D02Rik Usf2 Wapl"
"BRD3_TARGET_GENES",0.600132624411637,1,1,432,0.185097994315977,109,"Gfi1 Cdnf Rab13 Ano7 Osgin1 Kifap3 Gpr157 Cox7a1 Gm15564 Kif20a Kif18a Lmbr1 Ggnbp1 1810055G02Rik Tmem267 Ccdc17 Kif15 Tbc1d22b Hjurp 6030443J06Rik Fbxl19 Cdca5 Pafah2 Tlcd1 4930532G15Rik Aars2 Igsf9 Scarb1 Nat10 Rbpj Pdss1 Ufsp1 Smpd4 Mettl15 Gm16046 Lactb2 Magohb Adat1 3110070M22Rik Ccdc191 Cyb5rl Zfand2a Nsun6 Dnajc24 Dnajc16 Prkrip1 Ttc39d Zfand1 Coa6 Med22 2610020C07Rik Lss Snupn Zkscan8 Fam216a Eif2ak1 Mtbp Mkrn2 Apmap Ints9 Heatr5b Acad11 Grhpr Psen1 Surf2 Gcdh Kbtbd3 Pdcd11 Mst1 Slc39a1 AU020206 Cox15 Rab24 Tmem230 Ppp1r8 Epg5 Ptgr2 Szt2 Miga2 Lrpap1 Tspo Sesn2 Arf2 Grk4 Zfp623 Trap1 Plxnb2 Arl5b Slc29a3 Cops9 Wipf2 Med6 Tut7 Clcc1 Colgalt1 Avpi1 Tpra1 Atg2b Prr14l Washc1 Vps52 Polr2k Zfpl1 Med8 Ube3b Amn1 Zfp457 Brd8 Ccdc97"
"BRWD1_TARGET_GENES",0.480275174065956,1,1,202,0.151505303946255,23,"Isoc2b Gm15564 Tmod1 Diaph3 Plekha4 Pde4d Myl4 Tctn3 Hsd17b13 Entpd1 Tigd5 Jak3 Ctnnal1 1110019D14Rik Gm10382 Notch1 Osbpl1a Rtl6 Lyrm4 Cyp4f16 Jaml Polg2 Fbxl18"
"CARM1_TARGET_GENES",0.625017379076883,0.981781376518219,1,83,0.209085342468892,9,"Mir670hg 4833445I07Rik Tmem176b Wdr27 Ctbp2 Tmem176a Eef1akmt1 Arhgap10 Tceanc"
"CBX6_TARGET_GENES",0.923199942973056,0.641297434810261,1,88,0.307271082361266,28,"Tlcd2 Ccr9 Gfra2 Mir22hg A230083N12Rik Pde4d Trim2 4930426L09Rik Dll1 Kcnc1 Rnf43 Myb Prodh Tmem38a Whrn Ptk2 Kcnk6 Bmf Cwc25 Hmox1 Gpat3 Ado Lig4 Trp53inp1 Usp32 Hivep2 Mynn Klhl5"
"CEBPG_TARGET_GENES",0.967721244721087,0.597703464947623,1,231,0.303743673026941,65,"2900005J15Rik Cdnf Frs3 Smad3 Phyhd1 Slc9a9 5930430L01Rik Slc7a7 Fam161a Gm27042 Gpt2 E230016M11Rik Cass4 Spata1 Slc7a11 Plekha4 Rgs12 Smim10l1 Sh2d6 Cenpl Gm15417 Hjurp Zfp365 Mdfic Jdp2 Sertad2 Trib3 Dars2 Gm11520 Fv1 Taco1 Enc1 Zbtb10 Wdr25 Zfp672 Apobec1 Micu3 Ptpn22 Ipmk Psat1 Rad23b BC065397 Gm19710 Inpp5b Cry2 Hmox1 Gys1 Gtf2f1 Dcaf6 Atf6 Cox6a2 Smarca2 Abraxas1 Plekha1 Uqcrq Atg10 Gne Recql4 Fpgs Mpc2 Lztfl1 Tbce Mcm3 Stk25 Pck2"
"CGAS_TARGET_GENES",1.40889602077987,0.0207214945243719,1,76,0.475064654120051,18,"Palm3 Cdh24 Il9r Rhbdl1 Dst Xlr4c Rbm47 Ppl Fgf13 Tmem267 Med12l Nefh Fbxl19 Bspry Rtl6 Gm14634 Tmc7 3110070M22Rik"
"CTNNB1_TARGET_GENES",0.826741003839342,0.795855472901169,1,86,0.275830490609483,20,"Smad3 Nr6a1 Gm15564 Slc2a13 Slc39a14 Mmp24 Rgs12 Dram1 Gas2l3 Notch1 3110070M22Rik Boll Tbcd Gpld1 Atp6v1g2 Gng10 Nfkbil1 Lef1 Appl2 Eps8"
"CUX2_TARGET_GENES",0.791821187216737,0.901654318481681,1,175,0.251427498586811,20,"Epb41l4b Creb3l1 Slc6a13 Tmc1 Tstd1 Gm15564 Ttll11 2500004C02Rik Abcb4 Map9 Fcsk 4930502E09Rik Epha2 Ank1 Pemt Atg7 Asph Tyw5 Slc25a47 Junos"
"DDIT3_TARGET_GENES",1.02076181184566,0.450367092426833,1,253,0.319257991900177,85,"Map3k20 Nrip2 Phyhd1 Mapk8ip2 Gm15564 Tmtc2 Dst Ndrg1 Acad8 5930430L01Rik Tenm4 Angpt1 Spata1 Slc7a11 Plekha4 D130017N08Rik Cd276 Rgs12 Ank1 Amz1 Myo10 Smim10l1 Sh2d6 Slfn5os Gm15417 Bbof1 Pex11g Zfp365 Tada2a Cdc42bpa Mdfic Zfp938 Lyrm1 Gzf1 A330009N23Rik 9330136K24Rik Casp4 Scarb1 Prss12 Sertad2 Trib3 Gm15559 Wdr25 Usp6nl Elmo1 1700055D18Rik Apmap Tpx2 Manea Hdac8 Ralgapb Cnpy2 Gm5464 Akt1s1 Gpat3 Eps8 Fundc1 Atf6 Prdm15 Cryz Tmem231 Zfp945 Zbed3 Pigk Pno1 Abraxas1 Plekha1 Uqcrq Cflar Ubr4 Atg10 Cox18 Dusp6 Rasal2 Nrip1 Zfp623 Arl6ip5 Pnpt1 Incenp Mrpl24 Tbce Pck2 Gpx4 Rpa3 Zfp598"
"DDX5_TARGET_GENES",-1.08980541704769,0.291540785498489,1,41,-0.301536484947288,13,"Sppl3 4632404H12Rik Dyrk1b mt-Nd6 Rpusd4 Washc2 Ndel1 Mthfr Zfp507 Pias2 Gm8066 Pip4p1 Ube2q1"
"DLX1_TARGET_GENES",0.481945423304808,1,1,219,0.151568410021538,27,"Cacna1h Rab13 Sec16b Cacna2d2 2500004C02Rik Mzf1 Gm9967 Ggn Pip4p2 Tmem38b Sgce Tssk6 Nr2f6 Ccne2 Marcksl1 Srcin1 Nprl3 Igf2bp3 St3gal2 Rptor Mllt3 Tmbim1 Fbxl18 Ears2 Ctnna1 Cdca2 Spink10"
"DLX6_TARGET_GENES",1.02274572747008,0.465946086730043,1,14,0.453766443197307,5,"Smad3 Zfp365 Junos Ptpn22 Cited2"
"DNAJC2_TARGET_GENES",-0.913029924128799,0.603035610040864,1,27,-0.277860550886246,2,"E2f2 Xkr8"
"DNMT1_TARGET_GENES",0.698471398096229,0.928772766695577,1,69,0.238127559921729,16,"Nphs1 Gm15564 Rap1gap Oas3 Rnf43 Slc25a40 Esr1 Tanc1 3110070M22Rik Capn2 Jaml Def8 Vsig10l Col11a2 Etfb Nrxn2"
