"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",-2.54682944298666,2.19782674793112e-30,8.78251568473276e-27,451,-0.53304285073196,119,"Igkv1-117 Igkv3-12 Igkv3-4 Igkv3-5 Igkv12-98 Igkv9-120 Igkv6-20 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Igkv14-111 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Igkv8-19 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Igkv6-25 Ighv1-75 Igkv6-32 Igkv1-122 Ighv1-55 Ighv3-8 Igkv14-126 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Igkv13-85 Ighv1-63 Ighv2-3 Ighv3-3 Igkv12-44 Igkv5-48 Ighv2-5 Ighv1-58 Igkv13-84 Ighv11-2 Igkv12-89 Igkv4-86 Igkv3-10 Igkv4-80 Ighv1-26 Ighv1-15 Ighv2-6 Igkv12-46 Igkv4-79 Tbx21 Igkv4-63 Igkv4-70 Ighv12-3 Ighv8-8 Hlx Igkv2-109 Ighv6-5 Rab27a Igkv10-94 Ighv1-49 Aicda Anxa1 Igkv14-130 Ighv8-2 Igkv4-71 Bach2 Nfkbid Ighv1-23 Ighv9-1 Igkv9-124 Clcf1 Igkv6-17 Fas Ighv1-11 Igkv4-74 Socs5 Ighv1-19 Dusp10 Syk Igkv3-1 H2-DMb1 Jak2 Siglecg Pirb Igkv9-123 Nsd2 H2-Ob Ighv1-61 Tnfrsf13c Ighd Iglv1 Cd46 Cd55 Slamf1 Tsc1 Ager Rag1 Bcl6 Tnf Ighv1-67 Slfn2 Irf7 Igkv1-135 Igkv5-39 H2-DMa Dbnl"
"GOBP_B_CELL_MEDIATED_IMMUNITY",-2.77353397510348,6.64993807360216e-21,1.32865762710571e-17,164,-0.648791060039657,49,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Ighv6-5 Ighv1-49 Aicda Ighv8-2 Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",-2.3961661283755,3.84451652314795e-19,4.44747473339515e-16,299,-0.522239238685199,72,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Hlx Ighv6-5 Rab27a Ighv1-49 Aicda Anxa1 Ighv8-2 Bach2 Nfkbid Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11 Socs5 Ighv1-19 Jak2 Pirb Nsd2 Ighv1-61 Tnfrsf13c Ighd Cd46 Cd55 Slamf1 Ager Bcl6 Tnf Ighv1-67 Slfn2 Irf7 H2-DMa"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",-2.44780638315029,4.45192666005521e-19,4.44747473339515e-16,276,-0.537360088140829,52,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Rasgrp1 Ighv6-5 Rab27a Ighv1-49 Cd2 Aicda Ighv8-2 Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",-2.26468158334473,4.78663355867182e-17,3.82547754009052e-14,339,-0.486646279431573,73,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Rasgrp1 Ighv6-5 Rab27a Ighv1-49 Cd2 Aicda Ighv8-2 Cplx2 Irak4 Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11 Scimp Ighv1-19 Syk Pirb Stxbp1 Milr1 Nsd2 Ighv1-61 Ighd Cd46 Cd55 Slamf1 Ager Bcl6 Tnf Ighv1-67 Slfn2 Irf7 H2-DMa"
"GOBP_IMMUNE_EFFECTOR_PROCESS",-1.97073232302473,2.79024287679984e-14,1.8583017559487e-11,491,-0.410973815731231,89,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Lgals3 Tbx21 Ighv12-3 Ighv8-8 Hlx Rasgrp1 Ighv6-5 Rab27a Ighv1-49 Cd2 Aicda Anxa1 Ighv8-2 Cplx2 Irak4 Nfkbid Ighv1-23 Ighv9-1 Clcf1 Zpbp2 Fas Ighv1-11 Ifi35 Socs5 Scimp Ighv1-19 Dusp10 Syk Ptger4 H2-DMb1 Jak2 Siglecg Myo18a Pirb Stxbp1 Psen2 Itfg2 Milr1 Nsd2 Ighv1-61 Ighd Cd46 Cd55 Slamf1 Tsc1 Ager Bcl6 Tnf Ighv1-67 Slfn2 Irf7 Nmi"
"GOBP_NEUROTRANSMITTER_UPTAKE",1.93537215919862,0.000127661846868636,0.0728766771552957,14,0.804878521704779,8,"App Slc29a2 Slc18a2 Slc29a1 Slc29a4 Gpm6b Rab3b Itgb3"
"GOBP_CIRCULATORY_SYSTEM_PROCESS",1.54040524350226,0.000303475771667687,0.15158614794801,229,0.403206805060947,49,"Eng Slc8a1 Abcb1b Kcnk3 Dll1 Myl4 Rps6ka2 Itga9 App Angpt1 Cxcr2 Bmpr2 Apoe Smad3 Fgf13 S100a1 Plekha7 Ehd3 Ahr Ptk2 Kcnn4 Hmox1 Vegfa Abr Fgfbp3 Tjp2 Cacna1d Smpd3 Cacna1h Gsto1 Slc23a2 Tmem38b Slc5a6 Uty Arhgef12 Ada Npr2 Rarres2 Fabp5 Arhgap35 Id2 Agtrap Mgll Ext1 Cdh5 Immp2l Slc22a5 Ppcs Hrh2"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY",-1.69426268216742,0.000505344175038809,0.224372813717231,109,-0.417522220177019,26,"Stmn1 Aida Irgm2 Thra Sorl1 Pex5 Carmil1 Myadm Ptger4 Eps8 Add3 Stxbp1 Psen2 Crbn Mtpn Map2 Xaf1 Add1 Eif4ebp1 Tpm1 Ctnnbip1 Tmod3 Sptan1 Abhd8 Lmo4 Irgm1"
"GOBP_MESENCHYMAL_CELL_MIGRATION",1.76777666439688,0.00180463330768941,0.677491351235688,16,0.712810623179405,3,"Eng Sema6d Sema7a"
