"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",-2.55350489043457,7.04321650859184e-30,2.81024338692814e-26,451,-0.532447612520249,119,"Igkv1-117 Igkv3-12 Igkv3-4 Igkv3-5 Igkv12-98 Igkv9-120 Igkv6-20 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Igkv14-111 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Igkv8-19 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Igkv6-25 Ighv1-75 Igkv6-32 Igkv1-122 Ighv1-55 Ighv3-8 Igkv14-126 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Igkv13-85 Ighv1-63 Ighv2-3 Ighv3-3 Igkv12-44 Igkv5-48 Ighv2-5 Ighv1-58 Igkv13-84 Ighv11-2 Igkv12-89 Igkv4-86 Igkv3-10 Igkv4-80 Ighv1-26 Ighv1-15 Ighv2-6 Igkv12-46 Igkv4-79 Tbx21 Igkv4-63 Igkv4-70 Ighv12-3 Ighv8-8 Hlx Igkv2-109 Ighv6-5 Rab27a Igkv10-94 Ighv1-49 Aicda Anxa1 Igkv14-130 Ighv8-2 Igkv4-71 Bach2 Nfkbid Ighv1-23 Ighv9-1 Igkv9-124 Clcf1 Igkv6-17 Fas Ighv1-11 Igkv4-74 Socs5 Ighv1-19 Dusp10 Syk Igkv3-1 H2-DMb1 Jak2 Siglecg Pirb Igkv9-123 Nsd2 H2-Ob Ighv1-61 Tnfrsf13c Ighd Iglv1 Cd46 Cd55 Slamf1 Tsc1 Ager Rag1 Bcl6 Tnf Ighv1-67 Slfn2 Irf7 Igkv1-135 Igkv5-39 H2-DMa Dbnl"
"GOBP_B_CELL_MEDIATED_IMMUNITY",-2.7825087080286,9.2154322159841e-21,1.83847872708883e-17,164,-0.648447369392534,49,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Ighv6-5 Ighv1-49 Aicda Ighv8-2 Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",-2.45709990007197,3.62566605320326e-19,4.82213585076034e-16,276,-0.537011748233804,52,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Rasgrp1 Ighv6-5 Rab27a Ighv1-49 Cd2 Aicda Ighv8-2 Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",-2.40709723865133,6.67279632473088e-19,6.65611433391905e-16,299,-0.521635858831352,72,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Hlx Ighv6-5 Rab27a Ighv1-49 Aicda Anxa1 Ighv8-2 Bach2 Nfkbid Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11 Socs5 Ighv1-19 Jak2 Pirb Nsd2 Ighv1-61 Tnfrsf13c Ighd Cd46 Cd55 Slamf1 Ager Bcl6 Tnf Ighv1-67 Slfn2 Irf7 H2-DMa"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",-2.2673179650356,3.19460814098968e-17,2.54929729650976e-14,339,-0.486039008416327,73,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Tbx21 Ighv12-3 Ighv8-8 Rasgrp1 Ighv6-5 Rab27a Ighv1-49 Cd2 Aicda Ighv8-2 Cplx2 Irak4 Ighv1-23 Ighv9-1 Clcf1 Fas Ighv1-11 Scimp Ighv1-19 Syk Pirb Stxbp1 Milr1 Nsd2 Ighv1-61 Ighd Cd46 Cd55 Slamf1 Ager Bcl6 Tnf Ighv1-67 Slfn2 Irf7 H2-DMa"
"GOBP_IMMUNE_EFFECTOR_PROCESS",-1.9847456388214,7.46995182669007e-15,4.96751796474889e-12,489,-0.410819841778357,89,"Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv6-3 Ighv1-81 Ighv7-3 Ighv1-76 Ighv10-3 Ighv1-50 Ighv1-39 Ighv7-1 Ighv1-52 Ighv1-5 Ighv8-5 Ighv1-69 Ighv13-2 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv9-4 Ighv1-78 Ighv1-12 Ighv2-9-1 Ighv1-54 Ighv1-63 Ighv2-3 Ighv3-3 Ighv2-5 Ighv1-58 Ighv11-2 Ighv1-26 Ighv1-15 Ighv2-6 Lgals3 Tbx21 Ighv12-3 Ighv8-8 Hlx Rasgrp1 Ighv6-5 Rab27a Ighv1-49 Cd2 Aicda Anxa1 Ighv8-2 Cplx2 Irak4 Nfkbid Ighv1-23 Ighv9-1 Clcf1 Zpbp2 Fas Ighv1-11 Ifi35 Socs5 Scimp Ighv1-19 Dusp10 Syk Ptger4 H2-DMb1 Jak2 Siglecg Myo18a Pirb Stxbp1 Psen2 Itfg2 Milr1 Nsd2 Ighv1-61 Ighd Cd46 Cd55 Slamf1 Tsc1 Ager Bcl6 Tnf Ighv1-67 Slfn2 Irf7 Nmi"
"GOBP_NEUROTRANSMITTER_UPTAKE",1.92357133869784,4.73486853941425e-05,0.0269887506746612,14,0.804107483627771,8,"App Slc29a2 Slc18a2 Slc29a1 Slc29a4 Gpm6b Rab3b Itgb3"
"GOBP_CIRCULATORY_SYSTEM_PROCESS",1.52066224781395,0.000540074261112166,0.269362037729693,228,0.395674387039917,48,"Eng Slc8a1 Abcb1b Kcnk3 Dll1 Myl4 Itga9 App Angpt1 Cxcr2 Bmpr2 Apoe Smad3 Fgf13 S100a1 Plekha7 Ehd3 Ahr Ptk2 Kcnn4 Hmox1 Vegfa Abr Fgfbp3 Tjp2 Cacna1d Smpd3 Cacna1h Gsto1 Slc23a2 Tmem38b Slc5a6 Uty Arhgef12 Ada Npr2 Rarres2 Fabp5 Arhgap35 Id2 Agtrap Mgll Ext1 Cdh5 Immp2l Slc22a5 Ppcs Hrh2"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY",-1.6869420747743,0.00095760581674348,0.424538578756276,108,-0.41692311947443,26,"Stmn1 Aida Irgm2 Thra Sorl1 Pex5 Carmil1 Myadm Ptger4 Eps8 Add3 Stxbp1 Psen2 Crbn Mtpn Map2 Xaf1 Add1 Eif4ebp1 Tpm1 Ctnnbip1 Tmod3 Sptan1 Abhd8 Lmo4 Irgm1"
"GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS",1.75277703814633,0.00142872869392857,0.544774694449022,31,0.6119417480641,8,"Sema6d Slit1 Ryk Rufy3 Fgf13 Plxna3 Ptk2 Ptprs"
"GOBP_NUCLEOSIDE_BIOSYNTHETIC_PROCESS",1.74124063012634,0.00163842013368127,0.544774694449022,14,0.727888065970638,6,"Pnp2 Dctd Dnph1 Tk1 Cdk1 Ada"
"GOBP_POSITIVE_REGULATION_OF_VASCULAR_PERMEABILITY",1.78380542051282,0.0015325106579055,0.544774694449022,13,0.757807466321294,6,"Angpt1 Cxcr2 Apoe Vegfa Fgfbp3 Tjp2"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",1.77516596892559,0.00184759791645776,0.562482595340617,13,0.754137200022943,6,"Ighg3 Serpinb9 Fcer1g Cxcr2 Ext1 Spn"
"GOBP_MESENCHYMAL_CELL_MIGRATION",1.75507571340498,0.00197362314154602,0.562482595340617,16,0.712335894909463,3,"Eng Sema6d Sema7a"
"GOBP_NEGATIVE_CHEMOTAXIS",1.73686064300332,0.00278594644791828,0.677207557282594,14,0.726057106882738,8,"Sema6d Slit1 Ryk Plxna3 Sema7a Itgb3 Dpp4 Sema5a"
"GOBP_PEPTIDYL_CYSTEINE_MODIFICATION",1.73750901604007,0.00288534548215642,0.677207557282594,20,0.665628090875266,5,"Zdhhc1 Zdhhc2 Hhat Rab3b Ncoa7"
"GOBP_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY",1.75423753290916,0.00259304453935326,0.677207557282594,18,0.689319185515383,7,"Kcnk3 Asph Fgf13 S100a1 Ehd3 Stac2 Atpsckmt"
