"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HALLMARK_MYC_TARGETS_V2",1.52456063972185,0.014176511466296,0.354412786657401,56,0.476029776890423,31,"Slc29a2 Hspd1 Nop16 Sord Ipo4 Srm Slc19a1 Grwd1 Rrp9 Rcl1 Aimp2 Nolc1 Ndufaf4 Cdk4 Nop56 Imp4 Dctpp1 Supv3l1 Gnl3 Npm1 Prmt3 Myc Nop2 Las1l Hk2 Pa2g4 Hspe1 Tmem97 Mrto4 Ppan Exosc5"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.38939743723992,0.011866235167206,0.354412786657401,146,-0.32951350190434,34,"Ccl5 Egr2 Egr1 Egr3 Pfkfb3 Tubb2a Klf2 Plaur Klf9 Hes1 Fos Csf1 Phlda1 Gadd45a Ier2 Irs2 Clcf1 Pmepa1 Lamb3 Ptger4 Tnip1 Klf10 Bcl6 Tnf Dusp5 Junb Klf4 Rcan1 Bcl3 Bhlhe40 Litaf Kdm6b Ldlr Dusp2"
"HALLMARK_IL2_STAT5_SIGNALING",1.31470128722744,0.0484450501796556,0.518731988472622,139,0.360259417027014,28,"Car2 Tnfsf10 Tnfrsf21 Dhrs3 Eno3 Uck2 Slc2a3 Bmpr2 Slc29a2 Ifitm3 S100a1 Cish Ahr Amacr Itih5 Gsto1 Rragd Tnfrsf1b Cyfip1 Gabarapl1 Fgl2 Tnfrsf18 Ttc39b Il2ra Ptch1 Plscr1 Ccne1 Tlr7"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.41651316199114,0.0404447533009034,0.518731988472622,56,0.442292964212964,11,"Il9r Tnfrsf21 Cd9 Il12rb1 Socs3 Ebi3 Il15ra Hmox1 Tnfrsf1b Il2ra Itgb3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.32801478759551,0.0518731988472622,0.518731988472622,81,-0.345036276619507,28,"Gbp3 Csf1 Trim25 Mov10 Ifi35 Il4ra Usp18 Ifit3 Samd9l Mvb12a Cnp Oas1a Irf7 Nmi Parp9 Tent5a Trafd1 Dhx58 Parp14 Cmpk2 Trim14 Oasl1 Trim12c Tdrd7 Cmtr1 Isg20 Ube2l6 Cd74"
"HALLMARK_SPERMATOGENESIS",1.34225585666443,0.0689320388349515,0.574433656957929,58,0.417201060829217,11,"Nefh Ift88 Lpin1 Cdkn3 Prkar2a Aurka Coil Slc12a2 Cdk1 Pgs1 Kif2c"
"HALLMARK_ANGIOGENESIS",1.36899262321592,0.104583398960466,0.694066412629287,12,0.593272683150346,4,"Tnfrsf21 App Ptk2 Vegfa"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.15897754579034,0.111050626020686,0.694066412629287,153,-0.272926850285839,39,"Ccl5 Itgb7 Ciita Gbp3 Trim25 Fas Arl4a Casp3 Ifi35 Il4ra Cd38 Usp18 Jak2 Ifit3 Samd9l Xaf1 Irf7 Nmi Znfx1 H2-DMa Zbp1 Ripk1 Lats2 Trafd1 Dhx58 Parp14 Samhd1 Rnf213 Cmpk2 Trim14 Oasl1 Tdrd7 Cmtr1 Irf8 Isg20 Ube2l6 Cd74 Pml Vamp5"
"HALLMARK_APOPTOSIS",-1.1420777195095,0.165146423427748,0.825732117138742,118,-0.280826746654094,27,"Lgals3 Egr3 Gna15 Cdc25b Cd2 Anxa1 Igf2r Gadd45a Ank Casp9 Fas Satb1 Bcl2l11 Casp3 Cd38 Psen2 Wee1 Tnf Add1 Bcl2l1 Ccnd2 Lmna Sptan1 Cyld Bnip3l Retsat Top2a"
"HALLMARK_MYC_TARGETS_V1",1.16249339295225,0.163797226207556,0.825732117138742,185,0.309166231457301,107,"Tfdp1 Hspd1 Mcm2 Nop16 Srm Rsl1d1 Rrp9 Aimp2 Orc2 Nolc1 Cdk4 Vdac1 Odc1 Nop56 Cct3 Gspt1 Nhp2 Kpnb1 Eif2s1 Cstf2 Ran Gnl3 Npm1 Myc Ifrd1 Xrcc6 Txnl4a Canx Tardbp Clns1a Pcna Etf1 Hdgf Ldha Hdac2 Rfc4 Nme1 Snrpd1 Ranbp1 Pa2g4 Pabpc4 Cct7 Hspe1 Fbl Eif4a1 Snrpa Ruvbl2 Ddx21 Xpo1 Srsf2 Psma7 Tyms Cdc45 Serbp1 Tomm70a C1qbp Sf3a1 Prpf31 Snrpg Cct2 Abce1 Apex1 Rad23b Psmd14 Phb2 Smarcc1 Eif3b Hsp90ab1 Hnrnpa3 Eef1b2 Trim28 Ssb Mrps18b Ube2e1 Rpl14 Ndufab1 G3bp1 Got2 Srsf7 Psma6 Cnbp Erh Snrpd3 Cct4 Ppm1g Rplp0 Hnrnpa1 Pwp1 Rps2 Eif4e Pcbp1 Snrpd2 Sf3b3 Stard7 Cct5 Syncrip Psmd8 Ppia Rps6 Ncbp2 Pold2 Psma1 Snrpb2 Hnrnpc Prps2 Pgk1 Eif2s2"
"HALLMARK_ADIPOGENESIS",-1.01957734248355,0.383668903803132,0.898179613039051,158,-0.239399052094631,25,"Plin2 Acaa2 Idh1 Mgst3 Pfkfb3 Lifr Itsn1 Sorbs1 Acox1 Dhcr7 Gadd45a Arl4a Bckdha Bcl2l13 Slc25a10 Elovl6 Map4k3 Bcl6 Nmt1 Gpam Esyt1 Slc1a5 Retsat Reep5 Gpd2"
"HALLMARK_APICAL_JUNCTION",1.00292192726968,0.455042290175667,0.898179613039051,93,0.289947941242217,12,"Sdc3 Cd276 Nectin1 Itga9 Pard6g Ptk2 Sirpa Amigo2 Cdh11 Ctnna1 Pkd1 Adam9"
"HALLMARK_APICAL_SURFACE",0.994709508841975,0.485016991041087,0.898179613039051,16,0.401152862228318,3,"Sulf2 App Akap7"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.08059462909892,0.305399719495091,0.898179613039051,54,-0.301598661892509,16,"Idi1 Lgals3 Plaur Cxcl16 Dhcr7 Cyp51 Lss Pmvk Acat2 Fdft1 Ldlr Stard4 Hmgcs1 Stx5a Srebf2 Chka"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.03218456057723,0.380014326647564,0.898179613039051,58,-0.284327906533952,19,"Col5a3 Plaur Gadd45a Mmp14 Fas Pmepa1 Flna Fstl3 Gpx7 Tpm1 Lamc1 Plod1 Emp3 Sgcb Notch2 Wipf1 Tpm4 Qsox1 Cd44"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-0.989645124028694,0.478139534883721,0.898179613039051,107,-0.24622188630303,23,"Rapgefl1 Egr3 Rasgrp1 Tubb2b Unc119 Celsr2 Hes1 Bcl2 Fos Dhcr7 Tmem164 Sh3bp5 Gfra1 Jak2 Add3 Klf10 Med13l Endod1 Mast4 Klf4 Fdft1 Bhlhe40 Sfn"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.995219328193558,0.474327939864951,0.898179613039051,106,0.282056268629167,33,"Car2 Prss23 Cd9 Rps6ka2 Cish Slc29a1 Snx10 Slc16a1 Slc7a5 Fabp5 Id2 Sord Rabep1 Nrip1 Slc22a5 Siah2 Gale Tiam1 Slc26a2 Gla Impa2 Tjp3 Scarb1 Xbp1 Dnajc1 Rab31 Ncor2 Dcxr Mettl3 Arl3 Prlr Dynlt3 Batf"
"HALLMARK_FATTY_ACID_METABOLISM",-1.06058007008328,0.309754969949145,0.898179613039051,113,-0.260881125591195,11,"Hsdl2 Acsl4 Idi1 Acaa2 Dhcr24 Idh1 Acox1 Rdh11 Acss1 Acot8 Ephx1"
"HALLMARK_GLYCOLYSIS",1.00285615917868,0.458348898020172,0.898179613039051,131,0.277003157044352,38,"B4galt4 Cln6 Lhpp Sdc3 Pcx B3gnt3 Aurka Fut8 Vegfa Cacna1h Rragd Cdk1 Angptl4 Gfpt1 Ext1 Pfkfb1 Txn1 Mif Gale Pfkp Dld Hspa5 Tpi1 Slc37a4 Egln3 Nanp Phka2 Ndufv3 Mpi Sdhc Alg1 Gmppa Ldha Slc25a13 Mdh1 Spag4 Hk2 Hs2st1"
"HALLMARK_HEDGEHOG_SIGNALING",1.05621941858585,0.403614457831325,0.898179613039051,16,0.425958975098281,4,"Slit1 Vegfa Ptch1 Cdk5r1"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.07379396368313,0.28979045920642,0.898179613039051,101,-0.269326837701825,17,"Ccl5 Adm Slc11a2 Gna15 Rasgrp1 Plaur Csf1 Slc31a2 Mmp14 Il4ra Ptger4 Slc28a2 Kcna3 Slamf1 Acvr2a Irf7 Nmi"
"HALLMARK_KRAS_SIGNALING_UP",1.01691997946701,0.431950368359829,0.898179613039051,97,0.292161967854016,15,"Eng Car2 Slpi Vwa5a Fcer1g Tmem176a Kcnn4 Tnfrsf1b Bpgm Tfpi Angptl4 Id2 Hsd11b1 Sdccag8 Mtmr10"
"HALLMARK_MYOGENESIS",1.10244946765085,0.293850873682806,0.898179613039051,75,0.328548308426866,10,"Pcx Eno3 Lpin1 Myl4 App Plxnb2 Cacna1h Myl6b Chrnb1 Erbb3"
"HALLMARK_PANCREAS_BETA_CELLS",-1.06201402216409,0.38626723223754,0.898179613039051,10,-0.445132927433388,3,"Stxbp1 Foxo1 Lmo2"
"HALLMARK_PEROXISOME",-1.03789049886627,0.372634069400631,0.898179613039051,73,-0.274717309289331,8,"Acsl4 Idi1 Dhcr24 Idh1 Acox1 Rdh11 Pex5 Acot8"
"HALLMARK_TGF_BETA_SIGNALING",1.08589001185459,0.335713265743253,0.898179613039051,40,0.359645073933784,3,"Eng Bmpr2 Smad3"
"HALLMARK_UV_RESPONSE_DN",1.0133587850904,0.444181770422905,0.898179613039051,86,0.296374362052069,11,"Cdon Atxn1 Adgrl2 Mt1 Smad3 Synj2 Tfpi Ptpn21 Cacna1a Mgll Itgb3"
"HALLMARK_COAGULATION",0.958105264393286,0.533502252252252,0.916031627800378,52,0.30339047784768,11,"Prss23 Trf Cd9 S100a1 Adam9 Itgb3 Dpp4 C2 Crip2 Lgmn Fbn1"
"HALLMARK_COMPLEMENT",-0.969253282197034,0.542191142191142,0.916031627800378,114,-0.238446777356369,21,"Ccl5 Lgals3 Rasgrp1 Plaur Sirt6 Casp9 Mmp14 Casp3 Pik3cg Dusp6 Jak2 Xpnpep1 Cd46 Cpm Irf7 Dusp5 Gnai2 Lipa Fyn Pik3r5 Gpd2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.935803623222782,0.567939609236234,0.916031627800378,29,0.330478818824004,15,"Dll1 Lef1 Ptch1 Notch1 Frat1 Wnt6 Ncor2 Tcf7 Myc Hdac2 Numb Rbpj Kat2a Maml1 Trp53"
"HALLMARK_XENOBIOTIC_METABOLISM",0.952641277008687,0.561162079510703,0.916031627800378,108,0.26933678391908,28,"Car2 Pemt Pcx Acp2 Apoe Hmox1 Gsto1 Gabarapl1 Ddc Id2 Mthfd1 Gss Hsd11b1 Bcat1 Etfdh Shmt2 Kynu Slc35d1 Tmem176b Gstt2 Dcxr Ssr3 Pink1 Npc1 Pgd Bphl Mccc2 Slc6a6"
"HALLMARK_KRAS_SIGNALING_DN",-0.929147732518167,0.588592642591968,0.919676004049949,47,-0.266316155847839,7,"Cyp39a1 Gpr19 Celsr2 Nr6a1 Gamt Tg Vps50"
"HALLMARK_NOTCH_SIGNALING",0.896328261617292,0.614938253236126,0.931724626115342,24,0.328791379050307,8,"Dll1 Dtx4 Dtx1 Notch1 Arrb1 Maml2 Prkca Fzd5"
"HALLMARK_ANDROGEN_RESPONSE",-0.90756233881193,0.6668,0.936274375359974,76,-0.238357292970869,8,"Idi1 Dhcr24 Lifr Sec24d Ank Pmepa1 Ell2 Ccnd3"
"HALLMARK_BILE_ACID_METABOLISM",-0.904958327582032,0.650782102582757,0.936274375359974,62,-0.245729759764021,6,"Idi1 Dhcr24 Cyp39a1 Idh1 Hacl1 Cyp27a1"
"HALLMARK_HEME_METABOLISM",0.893007858484797,0.697766749379653,0.936274375359974,138,0.245012980179051,25,"Car2 H1f0 Pcx Myl4 Tmcc2 Nnt Ccdc28a Bpgm Arhgef12 Tent5c Htra2 Tspan5 Mospd1 Atg4a Cdc27 Daam1 Tns1 Sec14l1 Rcl1 Agpat4 Mfhas1 Aldh6a1 Bsg Slc30a1 Mocos"
"HALLMARK_MTORC1_SIGNALING",0.897905351166927,0.703351012536162,0.936274375359974,172,0.240464232388223,54,"Cd9 Slc2a3 Ccnf Aurka Ppa1 Fgl2 Slc7a5 Tm7sf2 Hspd1 Sdf2l1 Mcm2 Sord Bcat1 Cdc25a Pfkl Rrp9 Calr Gla Shmt2 Eef1e1 Hspa5 Tpi1 Nup205 Xbp1 Mthfd2l Lgmn Slc37a4 Pgm1 Egln3 Rab1a Polr3g Rpn1 Cacybp Tuba4a Fkbp2 Tomm40 Ifrd1 Slc6a6 Gmps Hspa9 Canx Atp6v1d Etf1 Tes Txnrd1 Cdkn1a Ldha Pdk1 Hk2 Psat1 Psmc2 Dhfr Ykt6 Hspe1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.872791114030485,0.71156852527358,0.936274375359974,92,0.252661409306711,41,"Vegfa Slc7a5 Rrp9 Calr Cks1b Hyou1 Hspa5 Nolc1 Xbp1 Dcp1a Nop56 Nhp2 Eif2s1 Ern1 Npm1 Atf6 Wfs1 Pdia6 Hspa9 Nop14 Cnot4 Psat1 Eif4a1 Dnajc3 Dnajb9 Ddit4 Exosc9 Paip1 Eif2ak3 Exosc5 Dkc1 Fus Ddx10 Dcp2 Kif5b Edem1 Dctn1 Sdad1 Exosc1 Shc1 Hsp90b1"
"HALLMARK_ALLOGRAFT_REJECTION",-0.870295118640718,0.805068226120858,1,123,-0.212075545033761,20,"Ccl5 Cd2 Hdac9 Csf1 Fas Flna Socs5 Ccnd3 Il4ra Jak2 H2-Ob Acvr2a Tnf Irf7 H2-DMa Ccnd2 H2-DMb2 Bcl3 Cd79a Csk"
"HALLMARK_DNA_REPAIR",-0.633187473038012,0.998970133882595,1,138,-0.151256795270069,22,"Zfp707 Taf13 Tk2 Rrm2b Rad51 Dgcr8 Usp11 Prim1 Pola1 Dut Cmpk2 Pole4 Polb Ercc5 Rala Pold4 Nme3 Rfc5 Polh Umps Nelfe Pola2"
"HALLMARK_E2F_TARGETS",-0.870268442166551,0.872738615096694,1,189,-0.198949599523325,47,"Stmn1 Mki67 Hmgb3 Cit Dck Dlgap5 Asf1a Cdc20 Cdc25b Racgap1 Diaph3 Mad2l1 Tacc3 Mxd3 Wee1 Cdca3 Bub1b Pds5b Ppm1d Cenpe Pop7 Dut Pole4 Top2a Cnot9 Cenpm Birc5 Ube2t Cdkn2c Hmgb2 Asf1b Tbrg4 Pan2 Pola2 Ubr7 Atad2 Timeless Stag1 Shmt1 Plk4 Rad21 Pttg1 Gins4 Ctcf Pms2 Rad50 Dek"
"HALLMARK_G2M_CHECKPOINT",0.768915047587447,0.93656133605671,1,178,0.205280346175799,23,"Cdkn3 Uck2 Kif4 Smad3 Ccnf Aurka Tfdp1 Hmga1b Chek1 Slc12a2 Marcks Chaf1a Tnpo2 Cdk1 Slc7a5 Prim2 Kif2c Brca2 Mcm2 Pole Cdc27 Cdc25a Ncl"
"HALLMARK_HYPOXIA",0.806180996272957,0.854716981132076,1,123,0.224390027822921,27,"Ackr3 Sdc3 Mt1 Phkg1 Eno3 Slc2a3 Hmox1 Vegfa Rragd Angptl4 Noct Aldoc Ppargc1a Ext1 Atp7a Siah2 Mif Pfkl Slc25a1 Pfkp Hspa5 Tpi1 Scarb1 Slc37a4 Prkca Pgm1 Tpst2"
"HALLMARK_MITOTIC_SPINDLE",-0.826467153721922,0.929610238510762,1,171,-0.191613931166704,37,"Vcl Itsn1 Dlgap5 Alms1 Racgap1 Ccdc88a Bcl2l11 Flna Prc1 Tpx2 Tsc1 Kif23 Rapgef5 Rhof Wasl Net1 Rasal2 Cenpe Sptan1 Kptn Tubgcp3 Top2a Birc5 Kif3c Cenpf Tlk1 Nck2 Epb41 Notch2 Myo1e Bin1 Csnk1d Flnb Fbxo5 Nusap1 Arhgap4 Hdac6"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.562318822466328,1,1,179,0.15003764299252,89,"Nnt Htra2 Hccs Cox15 Etfdh Lrpprc Dld Aldh6a1 Mtx2 Fdx1 Vdac1 Ndufa8 Cpt1a Supv3l1 Mrpl15 Cox11 Slc25a20 Ndufa9 Timm9 Ndufa5 Hspa9 Timm17a Sdhc Alas1 Ldhb Dlst Atp6v1d Aifm1 Slc25a4 Ldha Pdhx Mdh1 Echs1 Ndufc1 Dlat Iscu Mfn2 AK157302 Acadsb Mrpl34 Mrpl35 Uqcr10 Uqcrq Tomm70a Sucla2 Slc25a5 Gm10053 Rhot1 Grpel1 Phb2 Gpx4 Acadm Slc25a11 Fh1 Mrpl11 Uqcr11 Ndufa3 Idh3a Polr2f Cox17 Ndufab1 Got2 Timm10 Hadhb Cox6c Hsd17b10 Atp6v1f Etfb Mrps15 Uqcrb Ndufv1 Cox6b1 Atp6v1h Mdh2 Ndufs3 Eci1 Vdac2 Ndufb6 Cyb5r3 Atp6v1c1 Sdhd Gpi1 Cox7c Afg3l2 Atp6v0b Ndufa1 Cox8a Ndufb5 Timm13"
"HALLMARK_P53_PATHWAY",0.704234339480236,0.979373848987109,1,149,0.191413502476385,15,"Vwa5a App Fgf13 Hmox1 Stom Pvt1 Plxnb2 Zmat3 Ada Wwp1 Plk2 Cgrrf1 Plk3 Tm7sf3 Traf4"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.583048761741562,0.998034076015727,1,88,0.170017150541369,16,"Ralb Prkar2a Cdk1 Them4 Vav3 Mapk8 Tiam1 Calr Traf2 Cdk4 Tsc2 E2f1 Akt1s1 Cdkn1a Pdk1 Nod1"
