"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",-3.23488956450894,8.5473270934588e-33,6.83786167476704e-30,124,-0.781534757649708,41,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2 Ighv1-23 Tab3 Ighv1-11"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",-3.20649313075882,3.20919740493611e-32,1.28367896197444e-29,151,-0.750486628047846,39,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Rasgrp1 Ighv1-49 Ighv8-2"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",-3.10517296967909,4.97123054086864e-30,1.32566147756497e-27,165,-0.722028419537686,48,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2 Fos Ighv1-23 Tab3 Ighv1-11 Ighv1-19 Syk Grap2 Map2k4 Nfatc2 Ighv1-61"
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",-3.05292076710646,2.4907586942622e-25,4.98151738852439e-23,130,-0.732061937142655,38,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",-3.16645757279619,5.98086389109229e-25,9.56938222574766e-23,87,-0.809125189163918,38,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2"
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",-3.08152423246103,1.02740554671273e-23,1.17417776767169e-21,92,-0.782128637598266,45,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2 Fos Ighv1-23 Ighv1-11 Ighv1-19 Syk Grap2 Map2k4"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",-3.13050038486025,9.46252501583283e-24,1.17417776767169e-21,77,-0.817658947837711,38,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2"
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",-3.07647909760625,8.16567035741675e-23,8.16567035741675e-21,90,-0.781374058987043,38,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",-3.08833446055488,1.51457711089208e-22,1.3462907652374e-20,80,-0.802407280792605,38,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2"
"REACTOME_COMPLEMENT_CASCADE",-3.07884216430769,1.10103180876243e-21,8.73052242882886e-20,76,-0.805650272355791,40,"Igkv17-121 Igkv12-98 Igkv15-103 Ighv8-12 Ighv1-72 Ighv1-64 Ighv1-82 Ighv1-9 Ighv1-81 Ighv1-76 Ighv1-50 Ighv1-39 Ighv1-52 Ighv1-5 Igkv8-21 Ighv8-5 Ighv1-69 Ighv1-74 Ighv1-75 Ighv1-55 Ighv3-8 Ighv1-53 Ighv1-78 Ighv1-12 Ighv1-54 Igkv13-85 Ighv1-63 Ighv3-3 Ighv1-58 Igkv13-84 Ighv11-2 Ighv1-26 Ighv1-15 Ighv12-3 Ighv8-8 Igkv2-109 Ighv1-49 Ighv8-2 C5ar2 Ighv1-23"
