"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"DLX6_TARGET_GENES",1.70360994795306,0.00480843803319373,0.754924771211416,16,0.683642454126088,7,"Smad3 Mogat1 Adamtsl4 Gas7 Ehbp1 Ptpn22 Tns1"
"EED_TARGET_GENES",1.38727848009426,0.0100963212254845,0.792561216200534,233,0.361919752395804,54,"Mctp1 Rasgrf2 Slit1 Atxn1 Lysmd2 Tnfrsf21 Flt3 C1qtnf4 Dll1 4833418N02Rik Fgf13 Tbc1d30 Timp2 Pak6 Setbp1 Pear1 Arhgef4 St8sia6 Tspoap1 Col27a1 Vsir Coil Celf4 Maf 1700028E10Rik Kbtbd11 Tmcc3 Efcab9 B130034C11Rik Zbtb20 Mfsd6 2900005J15Rik Runx2 Hspd1 Zbtb46 Trim2 Cacna1a Antxr2 Cbx2 Bmi1 Rbks Nfix Rab20 Snhg15 Tmem50b Xpnpep3 Ly6k 9330179D12Rik Pradc1 Nfatc1 Fpgs Slc35a5 Mob3b E030030I06Rik"
"AHCY_AHCYL_TARGET_GENES",0.923891867831153,0.611342894393742,1,96,0.265690249695362,39,"Dsn1 Tatdn3 Nsl1 Mettl15 Hmg20a Rbks Pou2f1 Nop58 Zc3hc1 Itgb3bp Champ1 Zscan12 Mgme1 Hp1bp3 Mtfr1l Gtf3c6 Spg11 Sacs Nme6 Zfp146 Hs2st1 Psmc2 Kdm1a Smim8 Mterf4 Rmi2 Filip1l Dbf4 Asb7 Wdfy1 Snrpb Cdca7 Cenpu Mcoln1 Snhg6 Pxk Smad2 Sf3a2 Snrnp70"
"BAZ1A_TARGET_GENES",0.914439553550053,0.713877281724214,1,359,0.230891763193315,81,"Tbc1d32 Rnf24 Hcn3 Pemt Ryk Ydjc Kif24 Bmpr2 Napepld Gm43403 Rab37 Tmem94 Ppa1 Gm15559 B9d1 1810062O18Rik Cyb5r1 Zfp174 6430550D23Rik Mtln D930048N14Rik Tdrkh Tubg2 Plk2 Mis12 Qser1 Tars2 AI506816 Nt5c3b Rbks N4bp3 Snhg15 Nadk2 Gale Fntb Ccdc127 Slc35a5 Dimt1 Adal Impa2 Acad10 Gpalpp1 Srp68 Cfap298 Cox18 Hsp90aa1 AU041133 Prkca Mvk Vps52 Als2 Fdxacb1 Smarcal1 Spg11 Timm21 Gspt1 Ascc1 Ypel2 Mesd Limk2 Fancl Nmt2 Atn1 Cog4 Eif2b2 Ifrd1 Myo19 Proser3 Nop14 Canx Adk Twnk Cul7 Smn1 Golga7 Endov Rfc4 Trub2 Smim12 Kctd13 Slc22a15"
"BCOR_TARGET_GENES",0.995929690697268,0.4965848452508,1,473,0.247511903803407,104,"Nacc2 Adgrl2 Dnajb14 Epb41l4b Kif13a Tanc1 Cd276 Gm11973 4930405A21Rik 2310068J16Rik Setbp1 Maged1 Itm2c Nubpl Dnmt3b Fut8 A530072M11Rik Adcy3 Gm15559 Tspan2 Fndc3b Mphosph6 Patj Naa30 Sclt1 St6galnac6 Tns3 Rab3b Cpne5 Samd15 Eogt Fgl2 Gm15706 Npr2 Runx2 Carmil3 D3Ertd751e Bag2 Syce2 Rcc1 Fahd1 Zbtb7b Tusc2 Brca2 Golm1 Ptch1 Ssc4d Pole Cbx2 Wapl Nfix Mtmr10 Rabep1 4632427E13Rik Dpp4 Golt1b Ppt2 Srfbp1 Slc22a5 Nudt19 Jade2 Mapk8 Pcgf5 Gm15283 Nfatc1 Aagab Fbxw7 Dipk1b Bcap29 Hace1 Usp49 Pip4k2a Ssbp3 Fgr 4933406I18Rik Slc35d1 Fam53c Dnajc1 Cfap298 Tbl1xr1 Epm2aip1 Egln1 Mgme1 Klf11 Iqgap2 Tada2b Miga1 Als2 Gm9530 Bloc1s6os Ebag9 Fndc3a Akap11 Gm9970 Snhg3 Fam98c Col23a1 Gfi1 Gpat3 Jpx Atn1 Prmt3 Celf2 2610306M01Rik"
"BRD3_TARGET_GENES",0.697184117838614,0.999242588184376,1,428,0.17418944284008,99,"Zfp623 Lmbr1 Med22 C530005A16Rik Hk1os Zfp457 Tlcd1 Cyb5rl Napepld Gfod2 Mettl15 Cdk20 Avpi1 Plxnb2 Gm16046 Dnajc16 Slc29a3 Acad11 1700122E12Rik Gen1 5430416N02Rik Adat1 Papss1 Pigf Pdss1 Gcdh Ggnbp1 Magohb Mcm2 4930532G15Rik Kifc1 Kifap3 Rsl1d1 Mturn Cox15 Metap1d Kif18a Fam216a Snx14 Fbxw7 Mms22l Dimt1 Ccdc47 Calr Fam136a Zkscan8 Phf19 Ndor1 Tbc1d22b Dis3 Scarb1 Gm11175 Mapk8ip3 Aasdhppt Mrm3 Fbxl19 2610020C07Rik 6030443J06Rik Pinx1 Dcp1a Vps52 Sesn2 Gtf3c6 Med6 Rpn1 Slc17a5 Ints9 Poli Limk2 Fancl Apmap Gfi1 Rell1 Gm10501 Fkbp2 Cdc37 Kbtbd3 Zfp87 Med28 Nat10 Hspa9 Nop14 Ccdc174 Cpt2 Mpv17 Alyref2 Tmem230 Etf1 Ss18l2 Snf8 Fbf1 Golga7 Arhgap21 Prpsap2 Cebpzos Arf2 Lactb2 Bap1 Sh3gl1"
"BRWD1_TARGET_GENES",-0.907383632383928,0.769078947368421,1,203,-0.205515336211132,49,"Aida Jaml Gpr19 Irak4 Bcl2 1110019D14Rik Diaph3 Slx4 Ier2 Eaf2 Ehd4 Gfra1 Brwd1 Crbn Ripor2 Mical1 Pwwp3a Ganc Glcci1 Gpam Rhoh Isoc2b Gemin8 G6pdx Atrn Tigd5 Ube2h Oma1 Nbr1 Zfp493 Foxp1 Rfc5 Txndc12 Spag9 A430035B10Rik D330041H03Rik Mzt2 Gpr107 Twf2 Brox H2-T24 Ptprc Rchy1 Igkc Ice1 Upf2 Sharpin Slx4ip Cep83"
"CARM1_TARGET_GENES",0.776893240204372,0.873476417594065,1,83,0.228113077495711,27,"Mt1 Arhgap10 4833445I07Rik Tmem176a Arhgef4 Tmc4 Sdccag8 Tns1 Cdk4 Man2c1 Slc30a1 Tmem176b Zfp329 Wdr27 S100pbp Eef1akmt1 Aprt Tle1 Zfp106 Slc25a25 Echs1 Commd5 Mia2 Iscu Rmnd1 Rnf122 Angel1"
"CBX6_TARGET_GENES",1.05944154657054,0.359300476947536,1,83,0.31107552377653,17,"Usp35 Dll1 Ptk2 Col27a1 Hmox1 Rnf43 Bmf Trim2 Slc16a10 Phc1 Prodh Nop58 Mir22hg Kdm4c Wdr7 1600012H06Rik Tlcd2"
"CEBPG_TARGET_GENES",1.14850570685181,0.170595749622576,1,228,0.299883532746567,77,"Slc9a9 Fv1 Gm16253 Gm15417 E230016M11Rik Slc7a7 Calcrl Smad3 Cenpl Cass4 Nnt Hmox1 Spata1 Enc1 Gm12258 Uvssa Dcaf6 2900005J15Rik Zbtb10 Mthfr Usp2 AW209491 Plk3 Ogfod1 Trp53cor1 Dars2 Bcat1 Smim10l1 Kifc1 Josd1 Crls1 5930430L01Rik Ptpn22 Fpgs Zfp672 Dhx33 Gpt2 Atg16l1 Pfkp Mdn1 Xbp1 Wdr25 D5Ertd579e Cry2 Pex16 Hsp90aa1 Ciart Spen Ran Prmt3 S100pbp Atf6 Kifc5b Hspa9 Morf4l2 Lockd Ss18l2 Slc19a2 Lrrc14 Gm19710 Capn10 Micu3 Recql4 Dclre1c Psat1 Smarcad1 AI987944 Snd1 Clcn3 Eif4a1 Gtpbp4 Mpc2 Mff Ruvbl2 Gtf2f1 Atg10 Srsf2"
