"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HALLMARK_G2M_CHECKPOINT",-2.29788109303346,3.93644006315956e-14,1.96822003157978e-12,181,-0.608176288231263,73,"Bub1 Mybl2 Hmmr Cenpf Kif4 Cdk1 Sqle Pbk Cenpe Fbxo5 Nusap1 Kif22 Ezh2 Top2a Kif11 Stmn1 Knl1 Birc5 Ndc80 Plk1 Kif23 Mki67 Ube2c Tent4a Chaf1a Aurkb Ttk Prc1 Ccnd1 Cdc25b Rad54l Ccnb2 Tacc3 Cdc45 E2f2 Cks2 Hmga1b Mcm5 Plk4 Atf5 Smc2 Ccna2 Notch2 Kif20b Hus1 Espl1 Nsd2 Mcm2 Ccnf Cenpa Foxn3 Traip Exo1 Cdc7 Tpx2 Rps6ka5 Cdc25a Myc Stag1 Lmnb1 Dbf4 Hira Odf2 Kif15 Slc7a5 Fancc Mapk14 Polq Sap30 Lig3 Pds5b Cul4a Ilf3"
"HALLMARK_E2F_TARGETS",-2.15247269597135,3.73263982052449e-11,9.33159955131123e-10,189,-0.566307341091696,64,"Rrm2 Mybl2 Hmmr Spc24 Dlgap5 Tfrc Kif4 Mxd3 Cdk1 Bub1b E2f8 Cit Cenpe Spag5 Kif22 Ezh2 Top2a Stmn1 Diaph3 Birc5 Plk1 Mki67 Spc25 Aurkb Cdca3 Rad51c Cdc25b Rad51ap1 Brca1 Cenpm Ccnb2 Tacc3 Cks2 Hmga1b Dscc1 Mcm5 Plk4 Ncapd2 Nbn Hus1 Ccp110 Espl1 Mcm2 Tcf19 Rfc1 Chek2 Cdc25a Myc Ppm1d Mms22l Stag1 Pold3 Lmnb1 Depdc1a Ing3 Pold2 Atad2 Pds5b Timeless Cbx5 Pold1 Prkdc Asf1b Ilf3"
"HALLMARK_MITOTIC_SPINDLE",-1.85662345476816,8.29532164964529e-07,1.38255360827422e-05,178,-0.493016299201689,77,"Bub1 Sorbs2 Cenpf Anln Dlgap5 Kif4 Cdk1 Cenpe Fbxo5 Nusap1 Kif22 Top2a Kif11 Kntc1 Birc5 Ndc80 Plk1 Kif23 Nck2 Ttk Prc1 Als2 Ect2 Ccnb2 Fgd6 Flna Sass6 Notch2 Kif20b Espl1 Net1 Gsn Mid1 Epb41 Rfc1 Flnb Tpx2 Alms1 Katnb1 Lats1 Lmnb1 Trio Sptbn1 Vcl Itsn1 Kif15 Hook3 Dlg1 Tubgcp6 Tlk1 Tubgcp2 Clasp1 Cep72 Abl1 Sptan1 Bin1 Pcnt Ccdc88a Arhgef3 Rasa2 Arhgef2 Epb41l2 Aurka Lrpprc Dock2 Dst Rab3gap1 Ssh2 Smc1a Pdlim5 Sac3d1 Racgap1 Tbcd Csnk1d Rhot2 Pcm1 Bcr"
"HALLMARK_ANDROGEN_RESPONSE",-1.81403261553971,0.000152534141996719,0.00190667677495899,77,-0.541572979689979,27,"Iqgap2 Sord Dhcr24 Ank Akap12 Pmepa1 Sgk1 Acsl3 Idi1 Ndrg1 Actn1 Ccnd1 Gsr Camkk2 Cenpn Ccnd3 Gpd1l Cdc14b Hpgd Uap1 Insig1 Elk4 Rrp12 Rps6ka3 Steap4 Srf Selenop"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.50714486634715,0.00740496955734738,0.0528926396953384,110,-0.424817474690988,32,"Igf1r Bhlhe40 Klf4 Gab2 Tubb2b Egr3 Myb Rps6ka2 Slc16a1 Ccnd1 Fos Endod1 Fasn Rbbp8 Scarb1 Hes1 Tmem164 Flnb Slc22a5 Blvrb Myc Esrp2 Pdzk1 Mast4 Itpk1 Sult2b1 Slc7a5 Add3 Inpp5f Sh3bp5 Rrp12 Gla"
"HALLMARK_MTORC1_SIGNALING",-1.45554369794548,0.00587394824575329,0.0528926396953384,173,-0.387782125950366,38,"Rrm2 Bub1 Bhlhe40 Sord Ldlr Dhcr24 Tfrc Stc1 Sqle Acsl3 Idh1 Plk1 Dhfr Pik3r3 Idi1 Cxcr4 Gsr Polr3g Mcm2 Ccnf Tmem97 Cdc25a Gclc Fdxr Txnrd1 Insig1 Stard4 Slc7a5 Add3 Gla Gga2 Sla Tm7sf2 Hk2 Ifrd1 Gsk3b Elovl6 Rab1a"
"HALLMARK_MYC_TARGETS_V2",-1.611332857365,0.00653145410794087,0.0528926396953384,56,-0.506593746066246,26,"Sord Plk1 Mcm5 Plk4 Tmem97 Myc Prmt3 Dusp2 Bysl Rrp12 Hk2 Nop56 Pprc1 Grwd1 Srm Slc29a2 Pus1 Wdr74 Nolc1 Ppan Ddx18 Nip7 Utp20 Slc19a1 Tfb2m Tcof1"
"HALLMARK_COMPLEMENT",1.3350465224358,0.0388874581509142,0.216041434171746,122,0.353272842853416,36,"Car2 Lcp2 Fcer1g Ang Dusp5 Timp2 Ccl5 Pla2g4a S100a9 Apoc1 Cd46 Cd36 Cpq Kynu Gngt2 Serpinc1 Pim1 Ctso Ctss Dpp4 Mmp14 Notch4 Hspa1a Plscr1 Fdx1 Atox1 Lipa Ehd1 Psmb9 Was Anxa5 Gnb4 Prdm4 Rbsn Ctsd Itgam"
"HALLMARK_SPERMATOGENESIS",-1.43021040349592,0.0353284170811182,0.216041434171746,62,-0.442785208434029,16,"Bub1 Gfi1 Gapdhs Gad1 Cdk1 Ezh2 Hspa4l Ncaph Ttk Ccnb2 Strbp Mast2 Dbf4 Nefh Agfg1 Pcsk4"
"HALLMARK_APOPTOSIS",-1.33233107848115,0.0450893589112969,0.225446794556485,117,-0.372489408442378,35,"Gna15 Fas Ank Bmf Top2a Egr3 Retsat Ccnd1 Cdc25b Gsr Brca1 Satb1 Prf1 Igf2r Lgals3 Ptk2 Gsn Smad7 Ppp2r5b Slc20a1 Plcb2 Bcl2l1 Fdxr Nefh Crebbp Cd2 Add1 Dnm1l Sptan1 Cd38 Madd Ppp3r1 Dffa Hmgb2 Bcl2l2"
