"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HALLMARK_G2M_CHECKPOINT",-2.29700097326319,3.41770634218348e-13,1.70885317109174e-11,180,-0.60562138844077,72,"Bub1 Mybl2 Hmmr Cenpf Kif4 Cdk1 Sqle Pbk Cenpe Fbxo5 Nusap1 Kif22 Ezh2 Top2a Kif11 Stmn1 Knl1 Birc5 Ndc80 Plk1 Kif23 Mki67 Ube2c Tent4a Chaf1a Aurkb Ttk Prc1 Ccnd1 Cdc25b Rad54l Ccnb2 Tacc3 Cdc45 E2f2 Cks2 Hmga1b Mcm5 Plk4 Atf5 Smc2 Ccna2 Notch2 Kif20b Hus1 Espl1 Nsd2 Mcm2 Ccnf Cenpa Foxn3 Traip Exo1 Cdc7 Tpx2 Cdc25a Myc Stag1 Lmnb1 Dbf4 Hira Odf2 Kif15 Slc7a5 Fancc Mapk14 Polq Sap30 Lig3 Pds5b Cul4a Ilf3"
"HALLMARK_E2F_TARGETS",-2.15570236219707,2.55410530386222e-11,6.38526325965554e-10,189,-0.565340250168521,64,"Rrm2 Mybl2 Hmmr Spc24 Dlgap5 Tfrc Kif4 Mxd3 Cdk1 Bub1b E2f8 Cit Cenpe Spag5 Kif22 Ezh2 Top2a Stmn1 Diaph3 Birc5 Plk1 Mki67 Spc25 Aurkb Cdca3 Rad51c Cdc25b Rad51ap1 Brca1 Cenpm Ccnb2 Tacc3 Cks2 Hmga1b Dscc1 Mcm5 Plk4 Ncapd2 Nbn Hus1 Ccp110 Espl1 Mcm2 Tcf19 Rfc1 Chek2 Cdc25a Myc Ppm1d Mms22l Stag1 Pold3 Lmnb1 Depdc1a Ing3 Pold2 Atad2 Pds5b Timeless Cbx5 Pold1 Prkdc Asf1b Ilf3"
"HALLMARK_MITOTIC_SPINDLE",-1.85989034592713,7.43954446083915e-07,1.23992407680653e-05,178,-0.491449369866625,77,"Bub1 Sorbs2 Cenpf Anln Dlgap5 Kif4 Cdk1 Cenpe Fbxo5 Nusap1 Kif22 Top2a Kif11 Kntc1 Birc5 Ndc80 Plk1 Kif23 Nck2 Ttk Prc1 Als2 Ect2 Ccnb2 Fgd6 Flna Sass6 Notch2 Kif20b Espl1 Net1 Gsn Mid1 Epb41 Rfc1 Flnb Tpx2 Alms1 Katnb1 Lats1 Lmnb1 Trio Sptbn1 Vcl Itsn1 Kif15 Hook3 Dlg1 Tubgcp6 Tlk1 Tubgcp2 Clasp1 Cep72 Abl1 Sptan1 Bin1 Pcnt Ccdc88a Arhgef3 Rasa2 Arhgef2 Epb41l2 Aurka Lrpprc Dock2 Dst Rab3gap1 Ssh2 Smc1a Pdlim5 Sac3d1 Racgap1 Tbcd Csnk1d Rhot2 Pcm1 Bcr"
"HALLMARK_ANDROGEN_RESPONSE",-1.80675791090906,0.000272471067186504,0.0034058883398313,76,-0.537153842621722,26,"Iqgap2 Sord Dhcr24 Ank Akap12 Pmepa1 Sgk1 Acsl3 Idi1 Ndrg1 Actn1 Ccnd1 Gsr Camkk2 Cenpn Ccnd3 Gpd1l Cdc14b Hpgd Uap1 Insig1 Elk4 Rrp12 Steap4 Srf Selenop"
"HALLMARK_MTORC1_SIGNALING",-1.45923454075859,0.0057738572574178,0.0524658971668416,173,-0.386752633098461,37,"Rrm2 Bub1 Bhlhe40 Sord Ldlr Dhcr24 Tfrc Stc1 Sqle Acsl3 Idh1 Plk1 Dhfr Pik3r3 Idi1 Cxcr4 Gsr Polr3g Mcm2 Ccnf Tmem97 Cdc25a Gclc Fdxr Txnrd1 Insig1 Stard4 Slc7a5 Add3 Gla Gga2 Sla Tm7sf2 Hk2 Ifrd1 Gsk3b Elovl6"
"HALLMARK_MYC_TARGETS_V2",-1.61157962432005,0.00629590766002099,0.0524658971668416,56,-0.504941033846181,26,"Sord Plk1 Mcm5 Plk4 Tmem97 Myc Prmt3 Dusp2 Bysl Rrp12 Hk2 Nop56 Pprc1 Grwd1 Srm Slc29a2 Pus1 Wdr74 Nolc1 Ppan Ddx18 Nip7 Utp20 Slc19a1 Tfb2m Tcof1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.47540965910972,0.0126623910541029,0.0904456503864496,109,-0.41434281945419,31,"Igf1r Bhlhe40 Klf4 Gab2 Tubb2b Egr3 Myb Slc16a1 Ccnd1 Fos Endod1 Fasn Rbbp8 Scarb1 Hes1 Tmem164 Flnb Slc22a5 Blvrb Myc Esrp2 Pdzk1 Mast4 Itpk1 Sult2b1 Slc7a5 Add3 Inpp5f Sh3bp5 Rrp12 Gla"
"HALLMARK_SPERMATOGENESIS",-1.43439446526164,0.0314795383001049,0.196747114375656,62,-0.441899352755891,16,"Bub1 Gfi1 Gapdhs Gad1 Cdk1 Ezh2 Hspa4l Ncaph Ttk Ccnb2 Strbp Mast2 Dbf4 Nefh Agfg1 Pcsk4"
"HALLMARK_COMPLEMENT",1.32973676735245,0.0372559095580678,0.206977275322599,122,0.351831148531064,36,"Car2 Lcp2 Fcer1g Ang Dusp5 Timp2 Ccl5 Pla2g4a S100a9 Apoc1 Cd46 Cd36 Cpq Kynu Gngt2 Serpinc1 Pim1 Ctso Ctss Dpp4 Mmp14 Notch4 Hspa1a Plscr1 Fdx1 Atox1 Lipa Ehd1 Psmb9 Was Anxa5 Gnb4 Prdm4 Rbsn Ctsd Itgam"
"HALLMARK_APOPTOSIS",-1.33448615180272,0.0443027627922184,0.212657117801812,117,-0.371197022786109,35,"Gna15 Fas Ank Bmf Top2a Egr3 Retsat Ccnd1 Cdc25b Gsr Brca1 Satb1 Prf1 Igf2r Lgals3 Ptk2 Gsn Smad7 Ppp2r5b Slc20a1 Plcb2 Bcl2l1 Fdxr Nefh Crebbp Cd2 Add1 Dnm1l Sptan1 Cd38 Madd Ppp3r1 Dffa Hmgb2 Bcl2l2"
