"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_CELL_CYCLE_MITOTIC",-1.8855880811104,1.35078107157272e-10,1.0941326679739e-07,418,-0.458279609612557,126,"Ncapg2 Bub1 Hmmr Nuf2 Cenpf Spc24 Cdca5 Ccne2 Mis18bp1 Cdk1 Bub1b Nsl1 Cenpe Fbxo5 Mastl Esco2 Kif20a Gtse1 Tubb2b Nme7 Cenpl Kntc1 Ndc80 Plk1 Kif23 Ncapg Ppp1r12b Ube2c Cenpi Spc25 Spdl1 Ncaph Aurkb Ccnd1 Cdc25b Blzf1 Phlda1 Ccnb1 Cenpm Ccnb2 Foxm1 Cdc45 Cenpn E2f2 Lin9 Ccnd3 Mcm5 Dsn1 Plk4 Smc2 Cenpp Akt3 Ccna2 Ncapd2 Skp2 Pole2 Ccp110 Espl1 Mcm2 Lpin2 Cenpa Ppp2r5b Rfc1 Cep135 Lin52 Cdc7 Tpx2 Alms1 Cdc25a Ppme1 Anapc15 Csnk1e Nup155 Stag1 Pold3 Lmnb1 Taok1 Dbf4 Odf2 Pold2 Nek9 Nup93 Cenpk Pds5b Anapc1 Pold1 Prim1 Nup62 Nup160 Tubgcp6 Tubgcp2 Ticrr Kif2a Psmb7 Cep41 Prkcb Cks1b Nup210 Mapk3 Rab1a Tubgcp4 Pola1 Ncapd3 Rcc2 Clasp1 Cep72 Pkmyt1 Dctn1 Lbr Abl1 Pola2 Rfc5 Mad2l1 Nup133 Spast Rfc4 Vps4a Fbxw11 Ncaph2 Aurka Rfc3 Nup54 Gins3 Tfdp1 Bora Psmd12"
"REACTOME_M_PHASE",-1.81889934155355,3.18377588301187e-08,1.28942923261981e-05,302,-0.454951942699863,77,"Ncapg2 Bub1 Nuf2 Cenpf Spc24 Cdca5 Cdk1 Bub1b Nsl1 Cenpe Fbxo5 Mastl Kif20a Tubb2b Nme7 Cenpl Kntc1 Ndc80 Plk1 Kif23 Ncapg Ube2c Cenpi Spc25 Spdl1 Ncaph Aurkb Blzf1 Ccnb1 Cenpm Ccnb2 Cenpn Dsn1 Plk4 Smc2 Cenpp Ncapd2 Ccp110 Espl1 Lpin2 Cenpa Ppp2r5b Cep135 Alms1 Anapc15 Csnk1e Nup155 Stag1 Lmnb1 Taok1 Odf2 Nek9 Nup93 Cenpk Pds5b Anapc1 Nup62 Nup160 Tubgcp6 Tubgcp2 Kif2a Psmb7 Cep41 Prkcb Nup210 Mapk3 Rab1a Tubgcp4 Ncapd3 Rcc2 Clasp1 Cep72 Dctn1 Lbr Mad2l1 Nup133 Spast"
"REACTOME_CELL_CYCLE_CHECKPOINTS",-1.85426228168004,1.02037606037554e-07,2.19109673473115e-05,236,-0.47495904291999,63,"Bub1 Nuf2 Cenpf Spc24 Ccne2 Cdk1 Bub1b Zfp385a Nsl1 Mapk11 Brip1 Cenpe Gtse1 Cenpl Kntc1 Ndc80 Plk1 Ube2c Cenpi Spc25 Spdl1 Aurkb Brca1 Ccnb1 Cenpm Ccnb2 Cdc45 Cenpn Rad9b Rbbp8 Mcm5 Dsn1 Cenpp Ccna2 Nbn Hus1 Nsd2 Mcm2 Cenpa Ppp2r5b Exo1 Chek2 Cdc7 Cdc25a Anapc15 Csnk1e Taok1 Dbf4 Mapk14 Cenpk Cop1 Anapc1 Clspn Nup160 Kif2a Psmb7 Gsk3b Rcc2 Clasp1 Pkmyt1 Rfc5 Mad2l1 Nup133"
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",-2.05022338262035,1.08202307887958e-07,2.19109673473115e-05,108,-0.578003223092713,26,"Bub1 Nuf2 Cenpf Spc24 Cdca5 Cdk1 Bub1b Nsl1 Cenpe Tubb2b Cenpl Kntc1 Ndc80 Plk1 Cenpi Spc25 Spdl1 Aurkb Ccnb1 Cenpm Ccnb2 Cenpn Dsn1 Cenpp Cenpa Ppp2r5b"
"REACTOME_MITOTIC_PROMETAPHASE",-1.90957756012955,4.87938974452376e-07,7.9046113861285e-05,176,-0.505175633203616,53,"Bub1 Nuf2 Cenpf Spc24 Cdca5 Cdk1 Bub1b Nsl1 Cenpe Tubb2b Nme7 Cenpl Kntc1 Ndc80 Plk1 Ncapg Cenpi Spc25 Spdl1 Ncaph Aurkb Ccnb1 Cenpm Ccnb2 Cenpn Dsn1 Plk4 Smc2 Cenpp Ncapd2 Ccp110 Cenpa Ppp2r5b Cep135 Alms1 Csnk1e Stag1 Taok1 Odf2 Cenpk Pds5b Nup160 Tubgcp6 Tubgcp2 Kif2a Cep41 Tubgcp4 Rcc2 Clasp1 Cep72 Dctn1 Mad2l1 Nup133"
"REACTOME_RHO_GTPASE_EFFECTORS",-1.8360612086555,1.35086003679342e-06,0.000182366104967111,206,-0.477238821804832,58,"Bub1 Kif14 Nuf2 Cenpf Spc24 Iqgap2 Klc3 Bub1b Nsl1 Mapk11 Cenpe Pik3r4 Wipf3 Tubb2b Diaph3 Cenpl Kntc1 Ndc80 Plk1 Ppp1r12b Cenpi Spc25 Spdl1 Aurkb Prc1 Cenpm Cenpn Ptk2 Flna Dsn1 Cenpp Noxo1 Baiap2 Cenpa Ppp2r5b Dvl2 Klc2 Taok1 Ktn1 Mapk14 Pfn2 Cenpk Dvl1 Nup160 Iqgap1 Kif2a Srf Prkcb Scai Mapk3 Rcc2 Clasp1 Rhoq Pkn3 Abl1 Fmnl3 Mad2l1 Nup133"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",-1.93934410365779,1.76103629659205e-06,0.000190500284984812,127,-0.535003331130052,57,"Nhej1 Rad51 Gen1 Apbb1 Brip1 Palb2 Rad51b Rad51c Rad51ap1 Brca1 Rad9b Rbbp8 Ccna2 Nbn Fignl1 Hus1 Pole2 Nsd2 Exo1 Rfc1 Polm Chek2 Xrcc3 Spidr Tdp1 Pold3 Poll Eya3 Slx1b Pold2 Eya1 Polq Lig3 Timeless Clspn Pold1 Prkdc Bap1 Abl1 Tdp2 Rfc5 Rfc4 Rfc3 Mdc1 Mre11a Rmi1 Xrcc2 Kdm4a Ercc1 Rhno1 Kdm4b Rad50 Rnf168 Polh Tipin Rfc2 Trp53"
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",-1.94414133770379,1.88148429614629e-06,0.000190500284984812,117,-0.542920961149704,37,"Bub1 Nuf2 Cenpf Spc24 Bub1b Nsl1 Cenpe Tubb2b Diaph3 Cenpl Kntc1 Ndc80 Plk1 Cenpi Spc25 Spdl1 Aurkb Cenpm Cenpn Dsn1 Cenpp Cenpa Ppp2r5b Dvl2 Taok1 Pfn2 Cenpk Dvl1 Nup160 Kif2a Srf Scai Rcc2 Clasp1 Fmnl3 Mad2l1 Nup133"
"REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES",-1.97325411319499,6.79280924982753e-06,0.000508292500524423,88,-0.575001463372187,21,"Bub1 Nuf2 Cenpf Spc24 Bub1b Nsl1 Cenpe Cenpl Kntc1 Ndc80 Plk1 Cenpi Spc25 Spdl1 Aurkb Cenpm Cenpn Dsn1 Cenpp Cenpa Ppp2r5b"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",1.86382150432562,7.52946505056957e-06,0.000508292500524423,125,0.49047262125699,40,"Ighv1-19 Ighv5-12 Igkv12-98 Igkv1-133 Ighv1-85 Ighv1-84 Ighv5-16 Jchain Ighv11-2 Ighv14-1 Ighv5-9-1 Ighv5-4 Ighv1-20 Ighv3-1 Ighv14-3 Ighv1-7 Igkv11-125 Ighv1-5 Igkv18-36 Spn Ighv1-74 Slc7a11 Ighv3-6 Igkv8-21 Slc7a7 Igkv2-109 Trem1 Ighv5-6 Sirpa Igkv2-137 Plcg1 Ighv1-22 Ighv5-2 Pik3cb Itgax Tnfrsf10b Pik3r2 Itgb1 F11r Ighv15-2"
