"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_CELL_CYCLE_MITOTIC",-1.89319610834881,1.65165302465617e-10,1.32462572577425e-07,415,-0.458955243253403,126,"Ncapg2 Bub1 Hmmr Nuf2 Cenpf Spc24 Cdca5 Ccne2 Mis18bp1 Cdk1 Bub1b Nsl1 Cenpe Fbxo5 Mastl Esco2 Kif20a Gtse1 Tubb2b Nme7 Cenpl Kntc1 Ndc80 Plk1 Kif23 Ncapg Ppp1r12b Ube2c Cenpi Spc25 Spdl1 Ncaph Aurkb Ccnd1 Cdc25b Blzf1 Phlda1 Ccnb1 Cenpm Ccnb2 Foxm1 Cdc45 Cenpn E2f2 Lin9 Ccnd3 Mcm5 Dsn1 Plk4 Smc2 Cenpp Akt3 Ccna2 Ncapd2 Skp2 Pole2 Ccp110 Espl1 Mcm2 Lpin2 Cenpa Ppp2r5b Rfc1 Cep135 Lin52 Cdc7 Tpx2 Alms1 Cdc25a Ppme1 Anapc15 Csnk1e Nup155 Stag1 Pold3 Lmnb1 Taok1 Dbf4 Odf2 Pold2 Nek9 Nup93 Cenpk Pds5b Anapc1 Pold1 Prim1 Nup62 Nup160 Tubgcp6 Tubgcp2 Ticrr Kif2a Psmb7 Cep41 Prkcb Cks1b Nup210 Mapk3 Rab1a Tubgcp4 Pola1 Ncapd3 Rcc2 Clasp1 Cep72 Pkmyt1 Dctn1 Lbr Abl1 Pola2 Rfc5 Mad2l1 Nup133 Spast Rfc4 Vps4a Fbxw11 Ncaph2 Aurka Rfc3 Nup54 Gins3 Tfdp1 Bora Psmd12"
"REACTOME_M_PHASE",-1.83206105258354,2.65928462283647e-08,1.06637313375742e-05,299,-0.456457959306109,77,"Ncapg2 Bub1 Nuf2 Cenpf Spc24 Cdca5 Cdk1 Bub1b Nsl1 Cenpe Fbxo5 Mastl Kif20a Tubb2b Nme7 Cenpl Kntc1 Ndc80 Plk1 Kif23 Ncapg Ube2c Cenpi Spc25 Spdl1 Ncaph Aurkb Blzf1 Ccnb1 Cenpm Ccnb2 Cenpn Dsn1 Plk4 Smc2 Cenpp Ncapd2 Ccp110 Espl1 Lpin2 Cenpa Ppp2r5b Cep135 Alms1 Anapc15 Csnk1e Nup155 Stag1 Lmnb1 Taok1 Odf2 Nek9 Nup93 Cenpk Pds5b Anapc1 Nup62 Nup160 Tubgcp6 Tubgcp2 Kif2a Psmb7 Cep41 Prkcb Nup210 Mapk3 Rab1a Tubgcp4 Ncapd3 Rcc2 Clasp1 Cep72 Dctn1 Lbr Mad2l1 Nup133 Spast"
"REACTOME_CELL_CYCLE_CHECKPOINTS",-1.86753593923368,1.79335442532285e-07,4.51064815557429e-05,233,-0.477118907131071,63,"Bub1 Nuf2 Cenpf Spc24 Ccne2 Cdk1 Bub1b Zfp385a Nsl1 Mapk11 Brip1 Cenpe Gtse1 Cenpl Kntc1 Ndc80 Plk1 Ube2c Cenpi Spc25 Spdl1 Aurkb Brca1 Ccnb1 Cenpm Ccnb2 Cdc45 Cenpn Rad9b Rbbp8 Mcm5 Dsn1 Cenpp Ccna2 Nbn Hus1 Nsd2 Mcm2 Cenpa Ppp2r5b Exo1 Chek2 Cdc7 Cdc25a Anapc15 Csnk1e Taok1 Dbf4 Mapk14 Cenpk Cop1 Anapc1 Clspn Nup160 Kif2a Psmb7 Gsk3b Rcc2 Clasp1 Pkmyt1 Rfc5 Mad2l1 Nup133"
"REACTOME_MITOTIC_PROMETAPHASE",-1.92259095755768,2.81212478527075e-07,4.51064815557429e-05,174,-0.507312241753059,53,"Bub1 Nuf2 Cenpf Spc24 Cdca5 Cdk1 Bub1b Nsl1 Cenpe Tubb2b Nme7 Cenpl Kntc1 Ndc80 Plk1 Ncapg Cenpi Spc25 Spdl1 Ncaph Aurkb Ccnb1 Cenpm Ccnb2 Cenpn Dsn1 Plk4 Smc2 Cenpp Ncapd2 Ccp110 Cenpa Ppp2r5b Cep135 Alms1 Csnk1e Stag1 Taok1 Odf2 Cenpk Pds5b Nup160 Tubgcp6 Tubgcp2 Kif2a Cep41 Tubgcp4 Rcc2 Clasp1 Cep72 Dctn1 Mad2l1 Nup133"
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",-2.06976804192136,2.54494796099899e-07,4.51064815557429e-05,106,-0.581794200236434,26,"Bub1 Nuf2 Cenpf Spc24 Cdca5 Cdk1 Bub1b Nsl1 Cenpe Tubb2b Cenpl Kntc1 Ndc80 Plk1 Cenpi Spc25 Spdl1 Aurkb Ccnb1 Cenpm Ccnb2 Cenpn Dsn1 Cenpp Cenpa Ppp2r5b"
"REACTOME_RHO_GTPASE_EFFECTORS",-1.85000497822603,9.06154293792588e-07,0.000121122623936943,204,-0.478772961497173,58,"Bub1 Kif14 Nuf2 Cenpf Spc24 Iqgap2 Klc3 Bub1b Nsl1 Mapk11 Cenpe Pik3r4 Wipf3 Tubb2b Diaph3 Cenpl Kntc1 Ndc80 Plk1 Ppp1r12b Cenpi Spc25 Spdl1 Aurkb Prc1 Cenpm Cenpn Ptk2 Flna Dsn1 Cenpp Noxo1 Baiap2 Cenpa Ppp2r5b Dvl2 Klc2 Taok1 Ktn1 Mapk14 Pfn2 Cenpk Dvl1 Nup160 Iqgap1 Kif2a Srf Prkcb Scai Mapk3 Rcc2 Clasp1 Rhoq Pkn3 Abl1 Fmnl3 Mad2l1 Nup133"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",-1.9448917690284,1.73915954965053e-06,0.000199257994117103,126,-0.535091047809347,57,"Nhej1 Rad51 Gen1 Apbb1 Brip1 Palb2 Rad51b Rad51c Rad51ap1 Brca1 Rad9b Rbbp8 Ccna2 Nbn Fignl1 Hus1 Pole2 Nsd2 Exo1 Rfc1 Polm Chek2 Xrcc3 Spidr Tdp1 Pold3 Poll Eya3 Slx1b Pold2 Eya1 Polq Lig3 Timeless Clspn Pold1 Prkdc Bap1 Abl1 Tdp2 Rfc5 Rfc4 Rfc3 Mdc1 Mre11a Rmi1 Xrcc2 Kdm4a Ercc1 Rhno1 Kdm4b Rad50 Rnf168 Polh Tipin Rfc2 Trp53"
"REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",-1.96399785735196,2.45667577759526e-06,0.000246281746703925,115,-0.546811955469897,37,"Bub1 Nuf2 Cenpf Spc24 Bub1b Nsl1 Cenpe Tubb2b Diaph3 Cenpl Kntc1 Ndc80 Plk1 Cenpi Spc25 Spdl1 Aurkb Cenpm Cenpn Dsn1 Cenpp Cenpa Ppp2r5b Dvl2 Taok1 Pfn2 Cenpk Dvl1 Nup160 Kif2a Srf Scai Rcc2 Clasp1 Fmnl3 Mad2l1 Nup133"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",1.82010070820818,3.54760888001835e-06,0.00031613136908608,162,0.461286503545209,33,"Ighv1-19 Ighv5-12 Igkv12-98 Igkv1-133 Ighv1-85 Ighv1-84 Ighv5-16 Ighv11-2 Ighv14-1 Ighv5-9-1 Ighv5-4 Ighv1-20 Ighv3-1 Ighv14-3 Ighv1-7 Igkv11-125 Lat Ighv1-5 Igkv18-36 Lcp2 Fcer1g Prkcq Ighv1-74 Ighv3-6 Igkv8-21 Igkv2-109 Ighv5-6 Igkv2-137 Plcg1 Ighv1-22 Ighv5-2 Pik3cb Pik3r2"
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3",-1.58382706474549,3.94560022352195e-06,0.000316437137926461,480,-0.37895824697461,123,"Bub1 Kif14 Srgap3 Nuf2 Cenpf Spc24 Anln Prag1 Iqgap2 Klc3 Tfrc Bub1b Nsl1 Akap12 Mapk11 Arhgap33 Cenpe Arhgef18 Pld2 Pik3r4 Wipf3 Cpd Tubb2b Trip10 Diaph3 Cenpl Kntc1 Fam169a Ndc80 Gfod1 Plk1 Ppp1r12b Pik3r3 Nck2 Cenpi Spc25 Lrrc1 Spdl1 Aurkb Pkp4 Actn1 Prc1 Als2 Ect2 Armcx3 Cenpm Dock9 Cenpn Zap70 Myo9a Ptk2 Flna Vhl Dsn1 Cenpp Noxo1 Vav3 Ccp110 Baiap2 Net1 Rhobtb2 Cenpa Plekhg5 Ppp2r5b Plekhg3 Rhoh Dvl2 Klc2 Tagap Arhgap26 Sh3rf1 Golga3 Arhgap11a Arhgap39 Mpp7 Trak1 Vangl2 Lmnb1 Abl2 Trio Sptbn1 Taok1 Arhgap17 Itsn1 Ktn1 Add3 Mapk14 Pfn2 Cenpk Tmod3 Mfn1 Vim Fgd3 Dvl1 Nup160 Iqgap1 Rnd3 Kif2a Srf Slk Arhgap35 Stk38 Prkcb Fam91a1 Scai Mapk3 Rcc2 Clasp1 Esyt1 Rhoq Spata13 Slc1a5 Lbr Pkn3 Abl1 Sptan1 Senp1 Fmnl3 Mad2l1 Cdc42ep3 Nup133 Ccdc88a Fam13b"
