"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"ING1_TARGET_GENES",-2.22330282183733,1.7883921817598e-09,2.7362400380925e-07,102,-0.633912544408564,39,"Rrm2 Ncapg2 Mybl2 Igf1r Cdca5 Rad51 Dlgap5 Ccne2 Pbk Fbxo5 Ckap2l Kif11 Diaph3 Knl1 Idh1 Apbb2 Tedc1 Plk1 Pxmp2 Mki67 Ube2c Aurkb Ttk Wdr62 Ect2 Kctd9 Foxm1 Fasn Sass6 Smc2 Smc2os Net1 Smad7 Cdca2 Tpx2 Arhgap11a Ears2 Mms22l Scfd2"
"SRSF1_TARGET_GENES",-1.34966728692249,0.00332995511799624,0.254741566526712,428,-0.327165106505655,132,"Skap1 Rnf227 Dnah8 Nuf2 Tfrc Itga6 Mettl5os Pld2 Nme7 Cdiptos Cenpl C920021L13Rik Ighv1-64 Ccnb1ip1 Ciart Shb Oasl1 Actn1 Parpbp Dusp18 Blzf1 Brca1 Endod1 Fam229b Ccnd3 4933427D14Rik Atf5 Yjefn3 Nbn Fignl1 Dcaf15 Noxo1 4921536K21Rik Ccdc102a Exoc2 Gm26901 1700034P13Rik Gm16638 Mid1 Pigw Llgl2 Zfp142 Dok4 Cdkl3 Ttyh2 Parg Zfp599 Rps6ka5 Bcl2l1 Zswim3 Ripor2 Stat2 Zfp668 Thada Akap10 H2-Q10 Tmppe Pex1 Nmnat1 Etv3 Dnttip2 Btbd19 Polr1b Psme4 Gabpb2 Znfx1 Gla Eif2b1 Ak6 Pisd Gm10642 Tubgcp6 Zfp646 Gm15564 Ssh1 Nop56 Cspp1 Gm5577 Add1 Nabp1 Ftsj3 Cpsf2 Ifnar1 Ttll4 Dars2 Zfp322a Secisbp2 Med1 Cntd1 Acbd3 Ccdc88a Trrap Itch Adnp Jdp2 Il4i1 Uhrf2 Mbtps1 Abcg2 Zfp354c Mylpf Lzic Kat7 Gm16740 Tnfrsf22 Smg5 Vcpip1 Thoc1 Bin2 Bcs1l Cdca8 Ubn1 Irgm1 Rffl Agbl5 Ighmbp2 Rubcn Dgcr2 Adam10 Wdr45b Zfp963 Inpp5k Lin7c Ippk Lrrc28 Prpf8 Ppp4r3b Sart3 Osgin2 Mbtd1 Tspoap1 Dhcr7"
"GM14412_TARGET_GENES",-1.26064603590241,0.0157962146008254,0.805606944642095,493,-0.302373084821618,146,"Gng3 Dlgap5 Kif4 Mxd3 Mis18bp1 Junos Rell1 Cblc Adamts6 Rab13 Foxd2os Mfsd12 Purg Ldlrad4 Alg6 Gm12500 Pde1b Egr3 Cpeb3 C920021L13Rik Hspa4l Gm20033 Pitpnm2 Klf2 Shb Neat1 Acsl4 Rpgrip1l Zfp703 Trim45 Rad51c Gm17435 Pbx3 Amer1 Ino80dos Carmil3 Prrg2 Ap1s2 4930539J05Rik Phka2 A730017L22Rik Fignl1 Cyp4f17 Net1 Nkrf Klf3 1700034P13Rik Gm16638 Reps1 Wdr12 Tmem170b Zfp382 Arhgap26 Fam216a Ggta1 Mettl8 Spg11 Bcl2l1 Med18 Ubqln4 Esrp2 Memo1 Kansl3 Tmem267 Syk Tmed1 Zfp395 Camk2b Ttc7 Vcl Acot7 Dpy19l1 Itsn1 Slx1b 2610206C17Rik Pan3 Qsox1 Inpp5f Mink1 Dtwd2 Mapk14 Plcl2 4833418N02Rik Znfx1 Atrn Ammecr1 Vars2 Caprin2 Rsph3b Tle2 Gga2 Dvl1 Taf6l Morrbid Map4 Ifrd1 Selenop Stk38 Ube2k Tmem150a Pdzd11 Ube4b Nln Retreg3 Pank2 Zscan21 Tatdn2 Polr1a Osgin1 Impdh2 Creb1 Safb2 Ttll11 Strip1 Aen St7 Ubap2 Atf7ip Fbxw11 Rfx3 Fam76a Unc119b Wdr26 Ppp1r12c Ankrd17 Ino80d Safb Gpr19 Thoc1 Slmap Tex10 6430590A07Rik Qrich1 Ubn1 Smchd1 Mast1 Pabpc4 Leng8 Krba1 Ankrd9 Dip2b Tex30 Elp4 Zbtb8a Slc9a8 Sltm"
"AHCY_AHCYL_TARGET_GENES",-0.958469037962402,0.53929173693086,1,100,-0.273699331924773,39,"Nsl1 Rad51b Sacs Dsn1 Exoc2 Snx5 Spg11 Bcl6 Ets2 Dbf4 Rpl22l1 Samd9l Hook3 Pxk Srsf6 Efcab7 Mtf2 Smad2 Xpot Mterf4 Baz2b Cdk5rap1 Cenpu Sec24b Khdc4 Dnajc2 Prelid1 Mcoln1 Rxylt1 Msl2 Kdm1a Epm2a Ep300 Ccng2 Cdca7 Rad54b Oxr1 Ppm1a Itgb3bp"
"BAZ1A_TARGET_GENES",0.675191116944506,1,1,375,0.156484184868654,78,"Tdrkh Slc22a15 C130060C02Rik Plk2 Erich2 Bmpr2 Specc1 Ccdc92 Cul7 Hspa1b Ryk Zfp11 Fscn1 Hcn3 Mtln Cyb5r1 Cers6 Rab37 1700023H06Rik Slc25a38 N4bp3 A330035P11Rik Med23 Mapkbp1 Azin2 Mrps22 D230022J07Rik Fanci Mesd Etfbkmt Ypel2 Cndp2 Ormdl2 Wdfy1 Anapc16 Zfp664 Faf1 Napepld 1700040D17Rik Ermp1 Mis12 Dynlt1b Tmem222 Phf5a Mrpl48 Zfp174 Smn1 Kif3a Slc35a5 Golga7 Prkca Slc39a11 Nudt2 Pcnx4 Cfap298 Ppa1 Dap Acsl1 Ociad1 Alad A630052C17Rik Rtn4 1810062O18Rik Pld3 Mettl23 Mrpl30 Twnk Nipsnap3b Hnrnph3 Zfp345 Arid4a Dnajb11 Gale Bod1 Fnbp1 Ofd1 Trappc2 Stam2"
"BRD3_TARGET_GENES",-0.934790900141197,0.699466935600058,1,447,-0.225760028529164,106,"A430072P03Rik Hlx Gfi1 Neil3 Zfp457 Gm13270 Cdca5 Tfrc Gen1 Plxnb2 Rell1 Kif20a Rab13 Gadd45g Stmn1 Kntc1 Kifc1 Zfp318 Gpr157 Crybg2 Ufsp1 A930006K02Rik Trpm2 1700122E12Rik Cux1 Smad6 Scarb1 Ccp110 Sh3bp2 Mcm2 Smpd4 Traip Fbxl19 Flnb Fam216a Phf19 Avpi1 Tmem267 Mms22l Heatr5b Qtrt2 Gfm2 Cage1 Kif15 Adat1 3110070M22Rik Nup93 Cdc42bpg Mrm3 Itpr3 Ints8 Fuca1 Smad4 Gm15564 Kat14 Ndor1 Capn3 Mcur1 Wdtc1 Gm14455 Ltn1 Poldip3 Bap1 Fosb Pi4kb Gse1 Adrb2 Osgin1 Hmbox1 Tut7 Nup133 Coro7 Cog8 Mturn Mknk2 Amn1 Tmem135 Gm19265 Ccdc181 Il6st Bag5 Chd2 Prr14l Washc2 Mtmr3 Wipi2 Tmem87a Ctnnbl1 Pafah2 Zfp719 Atg14 Dgkz 6030443J06Rik Tex30 Snx4 Surf2 Ppp1r15b Rbm19 Mettl14 Tmx1 Pdcd11 Tmem183a Mcrs1 Wdr45b Setdb2 Eml4"
"BRWD1_TARGET_GENES",-1.01893999723123,0.403613511390416,1,212,-0.264113568855491,72,"Nuf2 0610043K17Rik Tmod1 Eaf2 Diaph3 Knl1 Kntc1 Ccr6 Serpinf1 Pde4d Brca1 Gpam Aida Phykpl Yjefn3 Rhoh Ube2h Polg2 Brwd1 D330041H03Rik Ripor2 Tm6sf1 Spag9 Slc12a6 Ptprc Lrrc8a Aff3 Foxp1 Ptbp2 Faap100 Slc45a4 Atrn Per1 Myl4 Txndc12 Gm15564 Rtl6 Snx30 Nxt2 Cct3 Chd8 Endou Ppp6r3 Runx1 Rfc5 A430035B10Rik Ankfy1 Rps6kb1 Pwwp3a Pi4ka Gpr19 Cyp4f16 Tmem87a Cnot4 Nubpl Birc6 Ankrd9 Arap1 Rnmt Pi4k2a Sac3d1 Zfp426 Pdcd11 Ncoa2 Notch1 Ranbp2 Setd4 Ado Mical1 Nudcd3 Foxo3 G6pdx"
"CARM1_TARGET_GENES",-0.73978556108505,0.940339447968455,1,86,-0.216530358000266,9,"Aspm Trip10 Kcnj16 Kntc1 Rnf122 E330020D12Rik Nsd2 Gm15910 Usp53"
"CBX6_TARGET_GENES",0.830465694963511,0.839041916167665,1,90,0.228986113171392,23,"Prodh 4930426L09Rik Prox1 Rnf43 Foxp2 Kctd21 Hmox1 Keap1 Slc39a3 Tsr3 Ypel5 Col27a1 Mob3c Tlcd2 Jtb Iscu E230013L22Rik Slc16a10 Prdm4 Phc1 A230083N12Rik Kcnc1 Fam111a"
"CEBPG_TARGET_GENES",-1.02103623190722,0.401497426298549,1,239,-0.261429027479449,54,"Cox6a2 Cnn3 4930568A12Rik Gpt2 Kifc5b Fam161a Cenpl Knl1 Kifc1 Fpgs Gm9929 Ciart Serpinf1 Capn10 Clcn6 Pbld2 Lockd Gm27042 Smad6 Flna Ccp110 Sh3bp5l Lztfl1 Lmbrd1 Josd1 Slc20a1 Prmt3 Acot2 Fdxr Gm19710 Calcrl Mthfr Il6ra Recql AI987944 Abraxas2 Foxp1 Ptpn12 Kdm6b Slc45a4 Tnks1bp1 Cry2 Fv1 Txndc12 Ipmk Rcc2 Nnt Esyt1 Slc1a5 Klhdc3 Dars2 Tnk2 Jdp2 Tecpr1"
