"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"ING1_TARGET_GENES",-2.22874305002077,8.20128441212945e-10,1.28760165270432e-07,102,-0.633112702304108,39,"Rrm2 Ncapg2 Mybl2 Igf1r Cdca5 Rad51 Dlgap5 Ccne2 Pbk Fbxo5 Ckap2l Kif11 Diaph3 Knl1 Idh1 Apbb2 Tedc1 Plk1 Pxmp2 Mki67 Ube2c Aurkb Ttk Wdr62 Ect2 Kctd9 Foxm1 Fasn Sass6 Smc2 Smc2os Net1 Smad7 Cdca2 Tpx2 Arhgap11a Ears2 Mms22l Scfd2"
"BCOR_TARGET_GENES",-1.34471786775581,0.00417146144994246,0.327459723820483,497,-0.322251153231513,93,"Tcf7l2 Nt5e Rbpms A430072P03Rik Pdzd2 Igf1r Gfi1 Rab3b Iqgap2 Tfrc Ccne2 Spns2 Cpm Luzp1 E2f8 Apbb1 Pmepa1 Sgk1 Cbx2 Grhl1 Eaf2 Gadd45g Xk Rasl11a 2310068J16Rik Cuedc1 Cpeb3 Crocc Pxmp2 Gm20033 Mtss1 Spc25 Cln8 Tent4a Dstn Adm Nol4l Gabbr1 Als2 Alg11 Gm13986 Strn4 Emid1 Sipa1l3 2610306M01Rik Rad18 Dleu2 Agk Fam20b Carmil3 Usp49 4930539J05Rik Pdp1 Plec Skp2 Naa30 Gsn 4732491K20Rik Ddx31 Ccl25 Ssc4d Snx5 Snrk Kdm7a Stard6 Fndc3b Slc22a5 Klf11 Xrcc3 Ppp4r1 Azin1 Prmt3 Dusp2 Slc35c1 Gm15559 Camk1d Ptar1 Insig1 2610206C17Rik Mast4 Itpk1 E130102H24Rik Gm11973 Il6ra 2610037D02Rik Recql Tert Foxp1 Hook3 Pcsk4 Slain2 Mier1 Zfp36l2"
"SRSF1_TARGET_GENES",-1.34548631868647,0.00627645599182601,0.328467863572228,420,-0.325890261209505,131,"Skap1 Rnf227 Dnah8 Nuf2 Tfrc Itga6 Mettl5os Pld2 Nme7 Cdiptos Cenpl C920021L13Rik Ighv1-64 Ccnb1ip1 Ciart Shb Oasl1 Actn1 Parpbp Dusp18 Blzf1 Brca1 Endod1 Fam229b Ccnd3 4933427D14Rik Atf5 Yjefn3 Nbn Fignl1 Dcaf15 Noxo1 4921536K21Rik Ccdc102a Exoc2 Gm26901 1700034P13Rik Gm16638 Mid1 Pigw Llgl2 Zfp142 Dok4 Cdkl3 Ttyh2 Parg Zfp599 Bcl2l1 Zswim3 Ripor2 Stat2 Zfp668 Thada Akap10 H2-Q10 Tmppe Pex1 Nmnat1 Etv3 Dnttip2 Btbd19 Polr1b Psme4 Gabpb2 Znfx1 Gla Eif2b1 Ak6 Pisd Gm10642 Tubgcp6 Zfp646 Gm15564 Ssh1 Nop56 Cspp1 Gm5577 Add1 Nabp1 Ftsj3 Cpsf2 Ifnar1 Ttll4 Dars2 Zfp322a Secisbp2 Med1 Cntd1 Acbd3 Ccdc88a Trrap Itch Adnp Jdp2 Il4i1 Uhrf2 Mbtps1 Abcg2 Zfp354c Mylpf Lzic Kat7 Gm16740 Tnfrsf22 Smg5 Vcpip1 Thoc1 Bin2 Bcs1l Cdca8 Ubn1 Irgm1 Rffl Agbl5 Ighmbp2 Rubcn Dgcr2 Adam10 Wdr45b Zfp963 Inpp5k Lin7c Ippk Lrrc28 Prpf8 Ppp4r3b Sart3 Osgin2 Mbtd1 Tspoap1 Dhcr7"
"GM14412_TARGET_GENES",-1.25647652964377,0.019150467962563,0.751655867530598,492,-0.301215544346703,146,"Gng3 Dlgap5 Kif4 Mxd3 Mis18bp1 Junos Rell1 Cblc Adamts6 Rab13 Foxd2os Mfsd12 Purg Ldlrad4 Alg6 Gm12500 Pde1b Egr3 Cpeb3 C920021L13Rik Hspa4l Gm20033 Pitpnm2 Klf2 Shb Neat1 Acsl4 Rpgrip1l Zfp703 Trim45 Rad51c Gm17435 Pbx3 Amer1 Ino80dos Carmil3 Prrg2 Ap1s2 4930539J05Rik Phka2 A730017L22Rik Fignl1 Cyp4f17 Net1 Nkrf Klf3 1700034P13Rik Gm16638 Reps1 Wdr12 Tmem170b Zfp382 Arhgap26 Fam216a Ggta1 Mettl8 Spg11 Bcl2l1 Med18 Ubqln4 Esrp2 Memo1 Kansl3 Tmem267 Syk Tmed1 Zfp395 Camk2b Ttc7 Vcl Acot7 Dpy19l1 Itsn1 Slx1b 2610206C17Rik Pan3 Qsox1 Inpp5f Mink1 Dtwd2 Mapk14 Plcl2 4833418N02Rik Znfx1 Atrn Ammecr1 Vars2 Caprin2 Rsph3b Tle2 Gga2 Dvl1 Taf6l Morrbid Map4 Ifrd1 Selenop Stk38 Ube2k Tmem150a Pdzd11 Ube4b Nln Retreg3 Pank2 Zscan21 Tatdn2 Polr1a Osgin1 Impdh2 Creb1 Safb2 Ttll11 Strip1 Aen St7 Ubap2 Atf7ip Fbxw11 Rfx3 Fam76a Unc119b Wdr26 Ppp1r12c Ankrd17 Ino80d Safb Gpr19 Thoc1 Slmap Tex10 6430590A07Rik Qrich1 Ubn1 Smchd1 Mast1 Pabpc4 Leng8 Krba1 Ankrd9 Dip2b Tex30 Elp4 Zbtb8a Slc9a8 Sltm"
"AFF4_TARGET_GENES",-0.930326663826156,0.711334289813486,1,498,-0.222860608056854,75,"Rbpms Rrm2 Mybl2 Tfrc Ccne2 Itga6 Gm26728 Fbxo5 Sgk1 Gm15860 Utp14b Acsl3 3010003L21Rik Bcl7a Rab13 Gadd45g Rnf157 Lmln Kntc1 Fam169a Snhg9 Gm20033 Klf2 Neat1 Gabbr1 Mir17hg Ccnd1 Pbld2 Ccnb1 Zbtb37 Lockd Ino80dos Alg13 Zfp568 Yjefn3 Zfp710 Sulf2 Usp31 Ap4m1 Hes1 Klf3 Smad7 Zfhx2 Snx5 1600020E01Rik Slc20a1 Plekhf2 Gm13830 Azin1 Ubqln4 D930048N14Rik Zfp219 Lmnb1 Tet2 Dgkh Insig1 Dbf4 0610009L18Rik Itpk1 2610037D02Rik Epop Tfe3 Znfx1 Zfp36l2 Cbx5 Dnajb14 Ing2 Tm7sf2 Hk2 Kmt5a Rnd3 Nop56 Elovl6 Ube2k Hcfc1"
"AHCY_AHCYL_TARGET_GENES",-0.949488760865472,0.548891129032258,1,95,-0.272172211672028,38,"Nsl1 Rad51b Sacs Dsn1 Exoc2 Snx5 Spg11 Bcl6 Ets2 Dbf4 Samd9l Hook3 Pxk Srsf6 Efcab7 Mtf2 Smad2 Xpot Mterf4 Baz2b Cdk5rap1 Cenpu Sec24b Khdc4 Dnajc2 Prelid1 Mcoln1 Rxylt1 Msl2 Kdm1a Epm2a Ep300 Ccng2 Cdca7 Rad54b Oxr1 Ppm1a Itgb3bp"
"BAZ1A_TARGET_GENES",0.68011810525142,1,1,370,0.157806630262182,78,"Tdrkh Slc22a15 C130060C02Rik Plk2 Erich2 Bmpr2 Specc1 Ccdc92 Cul7 Hspa1b Ryk Zfp11 Fscn1 Hcn3 Mtln Cyb5r1 Cers6 Rab37 1700023H06Rik Slc25a38 N4bp3 A330035P11Rik Med23 Mapkbp1 Azin2 Mrps22 D230022J07Rik Fanci Mesd Etfbkmt Ypel2 Cndp2 Ormdl2 Wdfy1 Anapc16 Zfp664 Faf1 Napepld 1700040D17Rik Ermp1 Mis12 Dynlt1b Tmem222 Phf5a Mrpl48 Zfp174 Smn1 Kif3a Slc35a5 Golga7 Prkca Slc39a11 Nudt2 Pcnx4 Cfap298 Ppa1 Dap Acsl1 Ociad1 Alad A630052C17Rik Rtn4 1810062O18Rik Pld3 Mettl23 Mrpl30 Twnk Nipsnap3b Hnrnph3 Zfp345 Arid4a Dnajb11 Gale Bod1 Fnbp1 Ofd1 Trappc2 Stam2"
"BRD3_TARGET_GENES",-0.937830291481516,0.675385062481837,1,439,-0.226504865981846,106,"A430072P03Rik Hlx Gfi1 Neil3 Zfp457 Gm13270 Cdca5 Tfrc Gen1 Plxnb2 Rell1 Kif20a Rab13 Gadd45g Stmn1 Kntc1 Kifc1 Zfp318 Gpr157 Crybg2 Ufsp1 A930006K02Rik Trpm2 1700122E12Rik Cux1 Smad6 Scarb1 Ccp110 Sh3bp2 Mcm2 Smpd4 Traip Fbxl19 Flnb Fam216a Phf19 Avpi1 Tmem267 Mms22l Heatr5b Qtrt2 Gfm2 Cage1 Kif15 Adat1 3110070M22Rik Nup93 Cdc42bpg Mrm3 Itpr3 Ints8 Fuca1 Smad4 Gm15564 Kat14 Ndor1 Capn3 Mcur1 Wdtc1 Gm14455 Ltn1 Poldip3 Bap1 Fosb Pi4kb Gse1 Adrb2 Osgin1 Hmbox1 Tut7 Nup133 Coro7 Cog8 Mturn Mknk2 Amn1 Tmem135 Gm19265 Ccdc181 Il6st Bag5 Chd2 Prr14l Washc2 Mtmr3 Wipi2 Tmem87a Ctnnbl1 Pafah2 Zfp719 Atg14 Dgkz 6030443J06Rik Tex30 Snx4 Surf2 Ppp1r15b Rbm19 Mettl14 Tmx1 Pdcd11 Tmem183a Mcrs1 Wdr45b Setdb2 Eml4"
"BRWD1_TARGET_GENES",-1.00660263382206,0.445621245652861,1,210,-0.260405634719533,71,"Nuf2 0610043K17Rik Tmod1 Eaf2 Diaph3 Knl1 Kntc1 Ccr6 Serpinf1 Pde4d Brca1 Gpam Aida Phykpl Yjefn3 Rhoh Ube2h Polg2 Brwd1 D330041H03Rik Ripor2 Tm6sf1 Spag9 Slc12a6 Ptprc Lrrc8a Aff3 Foxp1 Ptbp2 Faap100 Slc45a4 Atrn Per1 Myl4 Txndc12 Gm15564 Rtl6 Snx30 Nxt2 Cct3 Chd8 Endou Ppp6r3 Runx1 Rfc5 A430035B10Rik Ankfy1 Pwwp3a Pi4ka Gpr19 Cyp4f16 Tmem87a Cnot4 Nubpl Birc6 Ankrd9 Arap1 Rnmt Pi4k2a Sac3d1 Zfp426 Pdcd11 Ncoa2 Notch1 Ranbp2 Setd4 Ado Mical1 Nudcd3 Foxo3 G6pdx"
"CARM1_TARGET_GENES",-0.740930240428202,0.937383018546878,1,86,-0.215877621200588,9,"Aspm Trip10 Kcnj16 Kntc1 Rnf122 E330020D12Rik Nsd2 Gm15910 Usp53"
