"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",-2.15057681735164,6.35903981715242e-17,2.5576058144587e-13,431,-0.482240029079084,113,"Igkv6-32 Igkv1-117 Igkv6-23 Ighv1-58 Ighv1-80 Igkv6-17 Igkv8-21 Ighv1-50 Ighv1-78 Igkv1-122 Ighv8-12 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Igkv6-15 Ighv1-64 Ighv1-69 Igkv8-30 Ighv7-1 Iglv1 Ighv1-54 Igkv4-61 Igkv6-25 Igkv12-44 Ighv1-15 Ighv1-47 Ighv1-59 Igkv10-95 Igkv9-120 Ighv1-77 Igkv9-129 H2-Aa Ighv10-1 Igkv8-28 Ighv10-3 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Prdm1 Igkv3-12 Gpr183 Igkv19-93 Cd74 Igkv12-98 Igkv10-96 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Igkv6-20 H2-DMb2 Slfn2 Ighv1-11 Igkv8-24 H2-Eb1 Ighv1-19 Ighg2b Ighv1-9 Cd44 Igkv14-111 Ighv1-39 Igkv12-46 Ighv1-61 Masp2 H2-Ab1 Ighv1-74 Ighv6-3 Igkv4-54 Vsir Fcrlb Ighv1-71 Cr2 Siglecg Ighv15-2 Gadd45g Ighv1-76 Tnfrsf13c Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Tfeb Hlx Fcmr Ighv3-8 Cd55 Cd40 Dusp10 Irf4 H2-Eb2 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Igkv14-126 Ighv8-8 Prr7 Ighv9-1 Igkv13-85 Mtor Bach2 Igkv4-86 Igkv10-94 Igkv1-135 Dbnl Rnf125 Rnf19b"
"GOBP_B_CELL_MEDIATED_IMMUNITY",-2.2544825331474,4.73138372907893e-12,9.51481267917773e-09,168,-0.558673925872963,57,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Fcrlb Ighv1-71 Cr2 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Fcmr Ighv3-8 Cd55 Cd40 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",-1.98289497573876,2.62443104455154e-10,3.51848722039544e-07,277,-0.463635552027735,64,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Cd2 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Vsir Fcrlb Rasgrp1 Ighv1-71 Cr2 Ighv15-2 Ighv1-76 Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Fcmr Ighv3-8 Cd55 Cd40 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ighv9-1 Klrb1"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",-1.89745277173769,3.31240601282055e-09,3.33062424589106e-06,301,-0.439228904601444,67,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Vsir Fcrlb Ighv1-71 Cr2 Ighv15-2 Gadd45g Ighv1-76 Tnfrsf13c Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Hlx Fcmr Ighv3-8 Cd55 Cd40 Irf4 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ighv9-1 Mtor Bach2"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",-1.79426220591869,1.58513117617811e-08,1.27507951811767e-05,340,-0.410359958891071,69,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Cd2 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Dnase1l3 Ighv1-82 Ighv8-6 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Vsir Fcrlb Rasgrp1 Ighv1-71 Cr2 Ighv15-2 Scimp Ighv1-76 Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Fcmr Stxbp1 Ighv3-8 Cd55 Cd40 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ncf1 Ighv9-1 Klrb1 Rabgef1"
"GOBP_IMMUNE_EFFECTOR_PROCESS",-1.55619731551123,3.31088230244142e-06,0.0022193947700699,490,-0.345651427098614,82,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Cd2 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Gpr183 Cd74 Ighv1-81 Fcer2a Dnase1l3 Ighv1-82 Ighv8-6 H2-DMb2 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Grn Ighv1-74 Ighv6-3 Lgals3 Vsir Fcrlb Rasgrp1 Prkce Ighv1-71 Cr2 App Siglecg Ighv15-2 Scimp Gadd45g Ighv1-76 Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Hlx Fcmr Stxbp1 Ighv3-8 Cd55 Cd40 Dusp10 Irf4 Ighv1-12 St3gal1 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ncf1 Ighv9-1 Klrb1 Rabgef1 Mtor"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION",1.81701144844046,3.18261079392148e-05,0.0182863723045031,145,0.491517808809408,81,"Eme2 Prim2 Brca2 Tk1 Poln Nbn Fancm Pola1 Pole2 Cdc7 Pole Bard1 Ccne1 Mgme1 Cdc6 Lig1 Polq Exo1 Ticrr Eme1 Zranb3 Blm Traip Primpol Mcm6 Tipin Prim1 Parp1 Rad51 Atad5 Dna2 Mre11a Mcm3 Ddx11 Brca1 Cdc45 E2f7 Rfc5 Pold2 Orc1 Gen1 Pold3 Cenpx Pcna Rfc4 Ciz1 Cdk2 Mcm5 Rfc2 Gins1 Rfc1 Nucks1 Cdk1 Rfwd3 Donson Mcm4 Orc6 Rtel1 Fam111a Rrm1 Timeless Gins4 Mcm2 Mms22l Smarcal1 Tonsl Dbf4 Mcm7 Xrcc3 Pola2 Kmt5a Cdt1 Mcm10 Pole3 Mcm9 Fbxo5 Wdr18 Setmar Topbp1 Wdhd1 Orc2"
"GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION",1.92624186869517,4.19558288670388e-05,0.0210932929629037,59,0.592863863829537,26,"Ifitm3 Tnf Oas3 Ifitm2 Oas2 Gbp7 Isg20 Oas1a Isg15 Znfx1 Ifih1 Eif2ak2 Oasl2 Oas1c Srpk1 Bcl2 Rnasel N4bp1 Top2a Slpi Ppid Plscr1 Adarb1 Fam111a Shfl Ppie"
"GOBP_CHROMOSOME_SEGREGATION",1.54109780124569,6.9920350114809e-05,0.0234349706801468,373,0.376900818684843,155,"Bex6 Map9 Hspa1b Hspa1a Brca2 Spo11 Ttl Zwilch Mlh3 Cenph Lcmt1 Syce2 Cenpu Haus7 Ndc1 Dsn1 Stag3 Spice1 Ncapg Map10 Ncapg2 Nsl1 Cenpw Diaph3 Ccne1 Cenpn Fancd2 Pmf1 Stil Cdc6 Cenpi Kif18a Ska2 M1ap Bub1b Uhrf1 Itgb3bp Spc24 Haus5 Anapc11 Chtf18 Katnb1 Spag5 Esco2 Trip13 Mad2l1 Phf13 Rcc1 Nup62 Tubg1 Haus4 Ndc80 Anapc1 Ncaph Sgo1 Cep97 Nup37 Tubb5 Kif14 Klhl22 Nudc Srpk1 Cenpk Kntc1 Smc6 Ckap2l Riok2 Kif11 Brca1 Ttk Kif15 Nek6 Zcwpw1 Stard9 Ska1 Bcl7c Smc2 Gen1 Haus3 Cenpx Top2a Zw10 Numa1 Kif18b Ran Anapc15 Trappc12 Ehmt2 Abraxas1 Cit Haus1 Seh1l Spc25 Plscr1 Cdk1 Smarca2 Baz1b Birc5 Kifc1 Cep192 Nusap1 Smarcc1 Cenpp Knl1 Bub1 Syde1 Brip1 Tubgcp4 Ncapd3 Ofd1 Rangrf Psmc3ip Tacc3 Smc1a Nuf2 Ncapd2 Smc4 Ska3 Bccip Incenp Haus2 Xrcc3 Chmp2b Kif2a Aurkb Cdt1 Ccnb1ip1 Wapl Cenpl Sgo2a Cdca2 Ncaph2 Dlgap5 Zwint Cep63 Fbxo5 Ect2 Mki67 Rrs1 Drg1 Plk1 Cenpo Kif22 Mybl2 Psmg2 Espl1 Mei4 Cdca8 Psrc1 Mlh1 Nup43 Map1s Snhg15 Stag2 Aaas"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",1.71955881113847,5.52242964384876e-05,0.0234349706801468,180,0.45222027847705,88,"Map9 Hspa1b Hspa1a Zwilch Lcmt1 Spice1 Ncapg Map10 Ncapg2 Nsl1 Cenpi Kif18a Ska2 Bub1b Uhrf1 Spc24 Anapc11 Katnb1 Spag5 Trip13 Mad2l1 Phf13 Rcc1 Nup62 Tubg1 Ndc80 Ncaph Cep97 Kif14 Klhl22 Nudc Cenpk Kntc1 Ckap2l Kif11 Ttk Kif15 Ska1 Smc2 Gen1 Zw10 Numa1 Kif18b Ran Anapc15 Abraxas1 Cit Seh1l Spc25 Cdk1 Baz1b Birc5 Kifc1 Cep192 Nusap1 Knl1 Bub1 Ncapd3 Ofd1 Rangrf Smc1a Nuf2 Ncapd2 Smc4 Ska3 Bccip Incenp Xrcc3 Chmp2b Kif2a Aurkb Cdt1 Wapl Ncaph2 Zwint Fbxo5 Rrs1 Drg1 Plk1 Kif22 Mybl2 Psmg2 Espl1 Cdca8 Psrc1 Snhg15 Stag2 Aaas"
