"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HALLMARK_E2F_TARGETS",2.10665620371073,2.28439351692046e-10,1.14219675846023e-08,195,0.546775145091594,125,"Myc Cdkn2a Prim2 Brca2 Tk1 Nbn Wdr90 Shmt1 Dctpp1 Hmga1b Pole Bard1 Diaph3 Ccne1 Cdk4 Lig1 Cnot9 Cdc25a Bub1b Chek1 Mcm6 Spc24 Tipin Spag5 Trip13 Mad2l1 Ranbp1 Dut Tubg1 Dnmt1 Cdkn1a Rpa2 Stmn1 Lyar Tubb5 Mre11a Rpa1 Cbx5 Smc6 Mcm3 Brca1 Paics Pold2 Rbbp7 Nup205 Cdkn2c Pold3 Nasp Nap1l1 Pcna Ezh2 Top2a Zw10 Hells Plk4 Kif18b Atad2 Ran Asf1b Mcm5 Rfc2 Ipo7 Cit Gins1 Usp1 Rfc1 Spc25 Rrm2 Cdk1 Ubr7 Suv39h1 Rad51ap1 Donson Birc5 Mcm4 Tmpo Orc6 Timeless Gins4 Mcm2 Mms22l Msh2 Gspt1 Tcf19 Psmc3ip Tacc3 Smc1a Ncapd2 Nolc1 Smc4 Ilf3 Pa2g4 Prps1 Ube2t Mcm7 Pola2 Mxd3 Aurkb Xpo1 Dlgap5 Psip1 Slbp Mki67 Cks1b Cdca3 Plk1 Kif22 Mybl2 Lmnb1 Wee1 Espl1 Orc2 Cdca8 Mlh1 Rad51c Exosc8 Dscc1 Chek2 Kif4 Prkdc Aurka Cenpm Lsm8 Prdx4 Rpa3"
"HALLMARK_MYC_TARGETS_V1",1.87672497028785,1.17997030471012e-06,2.9499257617753e-05,185,0.489759772732341,125,"Myc Srm Tyms Impdh2 Apex1 Cdk4 Hddc2 Exosc7 Tfdp1 C1qbp Mcm6 Mad2l1 Ranbp1 Rps2 Fbl Dut Rpl14 Hnrnpr Srpk1 Rsl1d1 Mrpl23 Rplp0 Cad Cdc45 Pold2 Vdac1 Hspe1 Nap1l1 Pcna Rfc4 Cul1 Eef1b2 Gnl3 Ran Cdk2 Mcm5 Usp1 Lsm2 Rps5 Rad23b Mcm4 Rpl22 Rrm1 Smarcc1 Mcm2 Npm1 Gspt1 Sf3a1 Nolc1 Pa2g4 Snrpa1 Rps6 Ndufab1 Rps10 Mcm7 Snrpg Ssb Cct4 Pole3 Xpo1 Ldha Eif4a1 Pwp1 Nhp2 Snrpd1 Ppm1g Canx Rps3 Orc2 Hspd1 Abce1 Serbp1 Erh Hsp90ab1 Ddx18 Ppia Snrpd3 Uba2 Cbx3 Psma6 Prdx4 G3bp1 Hnrnpa1 Ncbp1 Trim28 Hdgf Hnrnpa3 Rnps1 Cstf2 Cops5 Sf3b3 Eif2s2 Rpl18 Pcbp1 Hnrnpd Rpl6 Psma4 Eif3b Srsf7 Prpf31 Got2 Txnl4a Fam120a Cox5a Eif4e Tufm Snrpd2 Dek Ywhae Pabpc4 Hnrnpu Ccna2 Slc25a3 Tra2b Srsf2 Eif2s1 Xpot Eif3d Pgk1 Cct5 Psma7 Ncbp2 Rack1 Glo1 Psmd3"
"HALLMARK_G2M_CHECKPOINT",1.58060300873576,0.000728294357436855,0.0104283504789761,185,0.412482267031245,84,"Myc Sqle Prim2 Brca2 Hmga1b Cdc7 Pole Slc12a2 Bard1 Cdk4 Slc7a1 Stil Cdc6 Polq Uck2 Exo1 Cdc25a Tfdp1 Chek1 Traip Mcm6 Gins2 Mad2l1 Pbk Rpa2 Stmn1 Ndc80 Slc7a5 Ccnf Mcm3 Dtymk Kif11 Ttk Cdc45 Kif15 Cdkn2c Smc2 Nasp Ezh2 Top2a Plk4 Cul1 Numa1 Rad54l Mcm5 Nsd2 Cdk1 Suv39h1 Rad23b Birc5 Tmpo Orc6 Nusap1 Smarcc1 Casp8ap2 Knl1 Mcm2 Bub1 Dkc1 Gspt1 Tacc3 Smc1a Ncl Nolc1 Smc4 Ilf3 Incenp Dbf4 Pola2 Chaf1a Kmt5a Aurkb Xpo1 Fbxo5 Mki67 Snrpd1 Cks1b Plk1 Kif22 Mybl2 Lmnb1 Espl1 Katna1 Rasal2"
"HALLMARK_IL2_STAT5_SIGNALING",1.63860238003689,0.00083426803831809,0.0104283504789761,143,0.440885764744854,41,"Emp1 Tnfsf11 Myc Tnfrsf18 Ifitm3 Spp1 Cst7 Dhrs3 Prkch Tlr7 Car2 Slc39a8 Sell Prnp Tnfrsf21 Ahnak Eef1akmt1 Tiam1 Itih5 Rragd Snx14 Pnp Enpp1 Alcam Glipr2 Cyfip1 Gsto1 Ltb St3gal4 Map3k8 Plpp1 Socs2 Ccnd2 Ckap4 Gbp3 Ccne1 Wls Cdc6 Slc2a3 Uck2 Tnfsf10"
"HALLMARK_MYC_TARGETS_V2",1.71437090918739,0.00189102261681098,0.0189102261681098,56,0.532099108932678,33,"Myc Srm Rrp12 Dctpp1 Grwd1 Slc19a1 Prmt3 Mybbp1a Cdk4 Pprc1 Nop2 Tmem97 Noc4l Hspe1 Plk4 Rabepk Gnl3 Mcm5 Mcm4 Npm1 Ppan Exosc5 Nolc1 Pa2g4 Ipo4 Plk1 Utp20 Wdr43 Supv3l1 Hspd1 Ddx18 Cbx3 Hk2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.58740055092362,0.00510540184453228,0.0425450153711023,83,0.463036891943937,31,"Ifitm3 Ifit2 Lgals3bp Usp18 Ifitm2 Irf7 Rtp4 Sell Parp12 Lap3 Isg20 Oas1a Isg15 Ncoa7 Il15 Ccrl2 Ifih1 Ddx60 Eif2ak2 Ube2l6 Tdrd7 Gbp3 Mov10 Uba7 Dhx58 Ifi27 Ifi44 Casp8 Tmem140 Ly6e Psmb9"
"HALLMARK_COAGULATION",1.47499080699447,0.0277730448117226,0.171048911506927,53,0.462826714899804,12,"Prss23 Trf Mmp14 Anxa1 Msrb2 C2 C1qa F9 Cpq Gsn Lgmn Rapgef3"
"HALLMARK_PROTEIN_SECRETION",-1.38999449988696,0.0307888040712468,0.171048911506927,83,-0.381857751610911,21,"Kif1b Adam10 Tpd52 Stx7 Cln5 Igf2r Uso1 Arfgap3 Atp7a Rps6ka3 Arfgef2 Mon2 Dop1a Rab9 Ykt6 Cav2 Sgms1 Gosr2 Rab22a Ap2b1 Ap3s1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.34967459148567,0.0245398773006135,0.171048911506927,140,-0.342071073978932,60,"Gpr183 Nr4a2 Klf2 Trib1 Cd44 Rhob Litaf Tiparp Fos Klf6 B4galt1 Id2 Per1 Dusp5 Jun Rnf19b Ackr3 Btg1 Il6st Fosb Zbtb10 Nfkbia Ptger4 Btg3 Irs2 Rcan1 Ier3 Gem Junb Ehd1 Nfil3 Birc3 Dennd5a Il15ra Slc16a6 Dusp2 Panx1 Phlda1 Egr3 Klf9 Dnajb4 Zfp36 Tnip1 Gch1 Nr4a3 Nfkb2 Snn Btg2 Sat1 Birc2 Kdm6b Pfkfb3 Klf4 Bhlhe40 Rel Egr1 Plaur Klf10 Abca1 Nfe2l2"
"HALLMARK_KRAS_SIGNALING_UP",1.32977586208593,0.0573238064306593,0.286619032153297,100,0.376572314978157,17,"Emp1 Eng Fcer1g Tmem176b Gprc5b Tmem176a Spp1 Kcnn4 F13a1 Car2 Galnt3 Ephb2 Lcp1 Tfpi Vwa5a Gypc Lat2"
