"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",-2.6902595546687,5.16873001684811e-20,4.07812798329316e-17,154,-0.67413182662307,51,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Rasgrp3 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Rasgrp1 Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Pik3ap1 Ighv1-12 Ighv1-75 Ighv8-8 Itpr2 Igkv13-85 Igkv1-135 Itpr3"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",-2.68724962668601,1.69666792608148e-18,6.69335496839144e-16,129,-0.688016207933803,46,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Ighv1-12 Ighv1-75 Ighv8-8 Tab3 Igkv13-85"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",-2.56893212704368,1.50130517583578e-17,3.94843261244811e-15,166,-0.636990475536316,50,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Fos Ighv1-67 Ighv3-6 Ighv3-8 Ighv1-12 Ighv1-75 Ighv8-8 Tab3 Igkv13-85 Jun Pik3r2 Igkv1-135"
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",-2.57150387987717,2.13381455975536e-16,4.20894921911744e-14,130,-0.65788341611869,52,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Prkce Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Ighv1-12 Ighv1-75 Ighv8-8 Nckipsd Igkv13-85 Pik3r2 Igkv1-135 Hck Pld3 Ighv4-1"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",-2.68941484983148,4.67291644788567e-16,7.37386215476359e-14,92,-0.725262079707771,49,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Pik3ap1 Ighv1-12 Ighv1-75 Ighv8-8 Itpr2 Igkv13-85 Igkv1-135 Itpr3"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",-2.69278391005482,1.23409206314181e-15,1.434864268458e-13,80,-0.742057363309891,47,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Ighv1-12 Ighv1-75 Ighv8-8 Igkv13-85 Apoe Igkv1-135"
"REACTOME_COMPLEMENT_CASCADE",-2.66606672569852,1.27301012410723e-15,1.434864268458e-13,81,-0.73334808049466,47,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv1-71 Cr2 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Cd55 Ighv1-12 Ighv1-75 Ighv8-8"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",-2.66907279993041,1.89537497880101e-15,1.8693135728425e-13,83,-0.730937668355721,48,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Prkce Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Ighv1-12 Ighv1-75 Ighv8-8 Igkv13-85 Pik3r2 Igkv1-135"
"REACTOME_FCGR_ACTIVATION",-2.6738063875518,3.80065553520955e-15,3.33190801920037e-13,75,-0.746151779085168,47,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Ighv1-12 Ighv1-75 Ighv8-8 Igkv13-85 Igkv1-135 Hck"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",-2.63662371197598,6.0645369901958e-15,4.78491968526449e-13,81,-0.725249266841845,47,"Ighv1-58 Ighv1-80 Igkv8-21 Ighv1-50 Ighv1-78 Ighv8-12 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Igkv12-98 Ighv1-81 Igkv17-121 Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighv1-9 Ighv1-39 Ighv1-61 Ighv1-74 Ighv1-71 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Ighv3-8 Ighv1-12 Ighv1-75 Ighv8-8 Igkv13-85 Pik3r2 Igkv1-135"
