"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"AHCY_AHCYL_TARGET_GENES",0.876481749907619,0.71424,1,98,0.249886351880439,24,"Hdgfl3 Rad51b Cdca7 Mettl15 Cenpu Dsn1 Nsl1 Mgme1 Itgb3bp 1110019D14Rik Nop58 Snx5 Rpl22l1 Wdfy1 Pou2f1 Tatdn3 Ets2 Frat2 Rxylt1 Rps6 Dbf4 Ndufb3 Kmt2a Bcl6"
"BAZ1A_TARGET_GENES",0.596794421035963,1,1,363,0.146636154187291,73,"Frmd4b Hspa1b Dyrk3 Myh10 Slc39a11 Arhgap23 Abcg2 Tbc1d32 Cul7 Impa2 Acad10 Ydjc Mlh3 D930048N14Rik Nt5c3b Cercam Rab37 Myo19 Qser1 Ascc1 Ppa1 Kat14 Socs2 Nudt2 Mvk AI506816 Kif24 Ccdc142os Rmnd1 Cox18 Ccdc127 Mtln Fanci Pigg Rptor Nadk2 Acsf3 Grk4 Adk Eral1 Mrpl48 Acer3 Rfc5 Dap Ezh2 Plk2 Rfc4 Pemt Tigd3 Gar1 Rpl3 Wdfy1 Atn1 Ahsa2 Yipf2 Zfp341 Timeless Msh2 Gspt1 Rps18 Ofd1 Usp21 Smarcal1 Psmc3ip Mgst3 1810062O18Rik Eefsec Snrpa1 Elac2 Afg3l1 Rps7 Pctp Kmt5a"
"BCOR_TARGET_GENES",0.785632458794627,0.992563081009296,1,485,0.188129127838415,93,"Dlx1 Dipk1b Cdkn2a Zfp704 Prkch Efna4 A530072M11Rik 4933406I18Rik E130102H24Rik Srfbp1 Agap1 Stx3 Plcb4 1700001G11Rik Bag2 Eepd1 Brca2 Relt Slc22a21 Gm15706 Nudt19 Nfix Adcy3 Dnajb14 Gsn Syce2 Frmd4a Tns3 Cpne5 Asap1 Eogt Tanc1 Atp4a Pcgf5 Gm12992 Lmo2 Zfp184 Fads1 Iqgap2 Tspan2 Patj Bcap29 Prmt3 Prickle4 Tert Pole Rbm43 Klf11 St6galnac6 D3Ertd751e Ppt2 Golm1 Cenpw Jade2 Cbx2 Mgme1 Adcy9 Ercc4 Exosc7 Ptp4a1 Ddx31 Cnot6l Bahd1 Mad2l1 Plekhm3 Dpp4 Rcc1 Pxmp2 Skp2 Tubg1 Fkbp5 Fut8 Macf1 Golt1b Il10rb Faap20 Adgrl2 Rplp0 Dnajc1 Rsad1 Nubpl 4930503L19Rik Gfi1 Alyref Pxn Dap Coq6 Crtc3 Khk Maged1 Itm2c Gm27003 Gar1"
"BRD3_TARGET_GENES",0.604520948718536,1,1,437,0.146208169642764,62,"Adgrg3 Lmbr1 Pter Tlcd1 Nfe2 Gm11335 Cgas Zfp473 Plxnb2 Snx14 Gpr157 Abhd4 2610020C07Rik Ggnbp1 Zfp623 AU020206 Aunip Ccdc191 Mettl15 C530005A16Rik Metap1d Hspa9 Fbf1 Dis3 Apmap Mrm3 Hk1os Kat14 E230029C05Rik Zfp719 Kif20a Rbpj Kif18a 4930532G15Rik Pdss1 Traip 3300002I08Rik Gins2 Stmn1 Cebpzos Dcakd Rida Cdc42bpg Rsu1 2010110K18Rik Dhdds Kntc1 Grk4 Rsl1d1 Dtymk Surf2 Gfi1 Ccdc17 Slc17a5 Kif15 Pxn Gm16675 Gen1 Serhl Cdca5 Mknk2 Atg14"
"BRWD1_TARGET_GENES",-0.844939996856499,0.909456118665019,1,210,-0.203609562597867,45,"Gpam Meis1 Rhoh Eaf2 Fcmr Fbxl18 A430035B10Rik Per1 Gpr19 Eif2ak3 Gfra1 Tmem87a Foxred1 Tigd5 Ehd4 Glcci1 Lrrc8a Setd4 Brwd1 Slc12a6 Igkc Zbtb24 Ncoa2 Slc45a4 Foxp1 Necap2 Ankfy1 Arhgap21 Rtl6 Ehd1 Ankrd9 Ube2h Pi4ka Hsd17b13 Entpd1 Btf3l4 Jaml Cmip Ikbkg Rnf141 Ddx54 Irak4 Aff3 Fbxl17 Brox"
"CARM1_TARGET_GENES",1.16245038908389,0.207352941176471,1,83,0.340630110690151,16,"Ctbp2 Tmem176b Tmem176a Tmc4 Eef1akmt1 Slc30a1 Aprt Wdr27 Enoph1 Map3k8 Cdk4 Rttn Rmnd1 Tle1 Man2c1 Kntc1"
"CBX6_TARGET_GENES",-1.12604094718414,0.227058206607236,1,87,-0.30736626902217,26,"Trp53inp2 Trib1 Whrn Zfp516 Meis1 Natd1 Usp35 Prdm16 Zswim8 1600012H06Rik Bmf Dclre1c Vgll4 Prodh Prdm4 Zfyve1 Tmem38a Slc39a3 Ypel5 Xpnpep1 Pikfyve Clptm1l Wdtc1 Trim2 Pym1 Tsr3"
"CEBPG_TARGET_GENES",-0.980495707422606,0.508232370301336,1,234,-0.233406824086498,45,"P2rx3 Slc1a5 Snx33 Cox6a2 Gne Ipmk Naaa Fv1 Samd8 Scpep1 Smurf1 Gpt2 Apobec1 Arhgap24 Dcaf6 Clcn6 Tnk2 Lmbrd1 Mpc2 Stk40 Il6ra Pacsin2 Tnks1bp1 Aff1 Ormdl3 Ddit3 Eps15 Nsun4 Zbtb18 Spty2d1 Zbtb10 Bcat1 Dclre1c Cdnf Got1 Rpia Slc45a4 Foxp1 E030018B13Rik Gm11520 Necap2 Slc19a2 5930430L01Rik Nf1 Ccdc186"
"CGAS_TARGET_GENES",-0.936458812475979,0.580954786562263,1,71,-0.264410826706503,15,"Tmc7 Ikzf3 Gm15867 Rbm47 Lrrc8d Igsf3 Tom1l2 Prdm16 Armcx4 Rps6ka3 Rtl6 Sh2b3 Pikfyve Bri3 Ikbkg"
"CTNNB1_TARGET_GENES",0.753090417814737,0.916830065359477,1,83,0.2206763185671,14,"Prlr Dzip1 Adamtsl4 Mroh2a Slco5a1 Jade1 Zfp39 Rapgef3 Lef1 Gng10 Polr1b Mcm6 Adsl Zfp428"
