"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"AFF4_TARGET_GENES",0.874687082555805,0.875248311481923,1,491,0.209157152613204,119,"Hnrnpll 6330562C20Rik Ctbp2 Spp1 Slc9a2 Zfp704 Zfhx3 A230083N12Rik Mgat4b Srm Gm26885 Stx3 Gm11335 Trib3 Tm7sf2 Kis2 Gm10382 Tjp2 Slc7a7 Rhbdd3 Gm12100 Shld2 Tsc22d1 Acp6 Slc29a1 Zwilch D930048N14Rik Cyfip1 Dnajb14 5730405O15Rik Jade1 Tanc1 Ctnnd1 Znfx1 E230016M11Rik Mir17hg Socs2 E230029C05Rik Gm15420 Tmem79 Snhg5 Myl6b Mgme1 Hs6st1 Gm4285 Slc20a1 Gm12279 Slc2a3 Ubqln4 Anp32b Slc25a39 Tdrd3 Fzd5 Lockd Rcc1 Zfp219 Bola1 Nop2 Sgo1 Zfp428 Zfp459 Pdk1 Tubb5 Sox12 Nop58 Cbx5 Snhg9 Kntc1 Patz1 Tet1 Surf2 Cox20 Ino80dos Vdac1 4833445I07Rik Hspe1 Hells Rfc4 Tlnrd1 Eef1b2 Zfp36l2 Snx5 Set Ipo7 Dpagt1 Tpi1 Rrm2 Lpar6 Tmpo Gpx4 Dpy30 Snhg3 Pdia3 Nme2 Raly Npm1 Mt1 Msh2 Usp37 Grcc10 Ncl Fam169a Tefm Gid8 Dbf4 Mcm7 4931406C07Rik Kmt5a Gpi1 Wapl Gapdh Gas5 Myl12b Eif5a Zbtb37 Wrap53 Xpo1 Fbxo5 Eif4a1"
"AHCY_AHCYL_TARGET_GENES",0.870613743596726,0.731667748215445,1,93,0.249884029521557,22,"Hdgfl3 Rad51b Cdca7 Mettl15 Cenpu Dsn1 Nsl1 Mgme1 Itgb3bp 1110019D14Rik Nop58 Snx5 Wdfy1 Pou2f1 Tatdn3 Ets2 Frat2 Rxylt1 Dbf4 Ndufb3 Kmt2a Bcl6"
"BAZ1A_TARGET_GENES",0.590670595204665,1,1,358,0.144884624979065,67,"Frmd4b Hspa1b Dyrk3 Myh10 Slc39a11 Arhgap23 Abcg2 Tbc1d32 Cul7 Impa2 Acad10 Ydjc Mlh3 D930048N14Rik Nt5c3b Cercam Rab37 Myo19 Qser1 Ascc1 Ppa1 Kat14 Socs2 Nudt2 Mvk AI506816 Kif24 Ccdc142os Rmnd1 Cox18 Ccdc127 Mtln Fanci Pigg Rptor Nadk2 Acsf3 Grk4 Adk Eral1 Mrpl48 Acer3 Rfc5 Dap Ezh2 Plk2 Rfc4 Pemt Tigd3 Gar1 Wdfy1 Atn1 Ahsa2 Yipf2 Zfp341 Timeless Msh2 Gspt1 Ofd1 Usp21 Smarcal1 Psmc3ip Mgst3 1810062O18Rik Eefsec Snrpa1 Elac2"
"BCOR_TARGET_GENES",0.782838805847551,0.994561612946014,1,481,0.187513040210152,92,"Dlx1 Dipk1b Cdkn2a Zfp704 Prkch Efna4 A530072M11Rik 4933406I18Rik E130102H24Rik Srfbp1 Agap1 Stx3 Plcb4 1700001G11Rik Bag2 Eepd1 Brca2 Relt Slc22a21 Gm15706 Nudt19 Nfix Adcy3 Dnajb14 Gsn Syce2 Frmd4a Tns3 Cpne5 Asap1 Eogt Tanc1 Atp4a Pcgf5 Gm12992 Lmo2 Zfp184 Fads1 Iqgap2 Tspan2 Patj Bcap29 Prmt3 Prickle4 Tert Pole Rbm43 Klf11 St6galnac6 D3Ertd751e Ppt2 Golm1 Cenpw Jade2 Cbx2 Mgme1 Adcy9 Ercc4 Exosc7 Ptp4a1 Ddx31 Cnot6l Bahd1 Mad2l1 Plekhm3 Dpp4 Rcc1 Pxmp2 Skp2 Tubg1 Fkbp5 Fut8 Macf1 Golt1b Il10rb Faap20 Adgrl2 Dnajc1 Rsad1 Nubpl 4930503L19Rik Gfi1 Alyref Pxn Dap Coq6 Crtc3 Khk Maged1 Itm2c Gm27003 Gar1"
"BRD3_TARGET_GENES",0.619298205521186,1,1,429,0.149761958176011,62,"Adgrg3 Lmbr1 Pter Tlcd1 Nfe2 Gm11335 Cgas Zfp473 Plxnb2 Snx14 Gpr157 Abhd4 2610020C07Rik Ggnbp1 Zfp623 AU020206 Aunip Ccdc191 Mettl15 C530005A16Rik Metap1d Hspa9 Fbf1 Dis3 Apmap Mrm3 Hk1os Kat14 E230029C05Rik Zfp719 Kif20a Rbpj Kif18a 4930532G15Rik Pdss1 Traip 3300002I08Rik Gins2 Stmn1 Cebpzos Dcakd Rida Cdc42bpg Rsu1 2010110K18Rik Dhdds Kntc1 Grk4 Rsl1d1 Dtymk Surf2 Gfi1 Ccdc17 Slc17a5 Kif15 Pxn Gm16675 Gen1 Serhl Cdca5 Mknk2 Atg14"
"BRWD1_TARGET_GENES",-0.841820148462618,0.921990171990172,1,208,-0.203020093580032,45,"Gpam Meis1 Rhoh Eaf2 Fcmr Fbxl18 A430035B10Rik Per1 Gpr19 Eif2ak3 Gfra1 Tmem87a Foxred1 Tigd5 Ehd4 Glcci1 Lrrc8a Setd4 Brwd1 Slc12a6 Igkc Zbtb24 Ncoa2 Slc45a4 Foxp1 Necap2 Ankfy1 Arhgap21 Rtl6 Ehd1 Ankrd9 Ube2h Pi4ka Hsd17b13 Entpd1 Btf3l4 Jaml Cmip Ikbkg Rnf141 Ddx54 Irak4 Aff3 Fbxl17 Brox"
"CARM1_TARGET_GENES",1.16417884511588,0.198340383989587,1,83,0.339997976698902,16,"Ctbp2 Tmem176b Tmem176a Tmc4 Eef1akmt1 Slc30a1 Aprt Wdr27 Enoph1 Map3k8 Cdk4 Rttn Rmnd1 Tle1 Man2c1 Kntc1"
"CBX6_TARGET_GENES",-1.12304729556231,0.235370950888192,1,87,-0.306023618841515,26,"Trp53inp2 Trib1 Whrn Zfp516 Meis1 Natd1 Usp35 Prdm16 Zswim8 1600012H06Rik Bmf Dclre1c Vgll4 Prodh Prdm4 Zfyve1 Tmem38a Slc39a3 Ypel5 Xpnpep1 Pikfyve Clptm1l Wdtc1 Trim2 Pym1 Tsr3"
"CEBPG_TARGET_GENES",-0.980047855430433,0.514756135445791,1,232,-0.233369165475241,45,"P2rx3 Slc1a5 Snx33 Cox6a2 Gne Ipmk Naaa Fv1 Samd8 Scpep1 Smurf1 Gpt2 Apobec1 Arhgap24 Dcaf6 Clcn6 Tnk2 Lmbrd1 Mpc2 Stk40 Il6ra Pacsin2 Tnks1bp1 Aff1 Ormdl3 Ddit3 Eps15 Nsun4 Zbtb18 Spty2d1 Zbtb10 Bcat1 Dclre1c Cdnf Got1 Rpia Slc45a4 Foxp1 E030018B13Rik Gm11520 Necap2 Slc19a2 5930430L01Rik Nf1 Ccdc186"
"CGAS_TARGET_GENES",-0.904466879404464,0.659257388229351,1,69,-0.256185676377843,14,"Tmc7 Ikzf3 Gm15867 Rbm47 Lrrc8d Igsf3 Tom1l2 Prdm16 Armcx4 Rtl6 Sh2b3 Pikfyve Bri3 Ikbkg"
"CTNNB1_TARGET_GENES",0.753398886845393,0.919134396355353,1,83,0.220029850438608,14,"Prlr Dzip1 Adamtsl4 Mroh2a Slco5a1 Jade1 Zfp39 Rapgef3 Lef1 Gng10 Polr1b Mcm6 Adsl Zfp428"
"CUX2_TARGET_GENES",-0.895080538588473,0.764705882352941,1,175,-0.220158455768315,40,"Lipc Mgst1 Gne Meis1 Pja1 Tstd1 Man2a1 Rabgef1 Bach2 Jun Gfra1 Spryd4 Svil Dusp16 Fcsk Epha2 Sec16a Sec11c Rspry1 Il4ra Gm16573 Map2k6 Pygb 3110009E18Rik Hdac5 5530601H04Rik Abcb4 Mocs2 Slc30a9 Pcdhgc3 2500004C02Rik Slc26a2 Rnf139 Bri3 Smarca4 Nuak2 Cog1 C9orf72 Hbp1 Zfhx2"
"DDIT3_TARGET_GENES",-1.22055570269134,0.050788643533123,1,240,-0.289526467336061,57,"Islr2 Trp53inp2 Zfp128 Cd74 Snx33 Naaa Arhgef40 Smurf1 Tns1 A930007I19Rik Manea Edem3 Lmbrd1 Bach2os Casp4 Stk40 Gm10475 Pacsin2 Btg1 Hdac8 Erlin1 Aff1 Ddit3 Zbtb18 Kyat1 Eps8 Kmo Dusp6 Fem1c Got1 Foxp1 D130017N08Rik Necap2 Slc19a2 5930430L01Rik Amz1 Cd276 Slc37a3 Gm12258 Arid5a Nfe2l1 Arl14ep Psen2 Plekhm1 Coasy Btf3l4 Fcgr2b Csde1 Zgpat Furin Ciart Spata1 Ubr2 8430423G03Rik Tnpo3 Zbed3 Ralgapb"
"DDX5_TARGET_GENES",-0.844473526571989,0.738636363636364,1,42,-0.262999974538051,14,"Hoxa7 Clcn6 Washc2 Ube2q1 Zmym6 Rpusd4 Gns Atp6v0b Armt1 Washc5 Pip4p1 Ankrd12 Fam118b Bax"
"DLX1_TARGET_GENES",-0.679700350280576,0.999692023406221,1,214,-0.163260422006488,54,"Gm11175 Zc2hc1a Rab13 Tns1 Fbxl18 Foxj2 Arid3a Tango6 Cacna2d1 Trak2 Kctd5 Sgce Zfp628 Kctd9 Dclre1c Kmt2c Sdhaf3 Proser1 4930539J05Rik Rpia 1700023H06Rik Zfp687 Prorp 2500004C02Rik Ttc17 Insr Pten Mfap1b Prrg2 Zfp608 Rab6a Mfsd11 Ubfd1 Nosip Tob1 Ypel3 Phf21a Nudt13 Dolpp1 Mbnl1 Rc3h1 Oxsr1 Vps26c Jmjd6 Med6 Shoc2 Msl1 Nufip2 Map1lc3b Oaz2 Zfand3 Mapk1 Ccdc124 Ankrd40"
"DLX6_TARGET_GENES",1.42632697863165,0.073327222731439,1,17,0.571204525891247,3,"Emp1 Ptpn22 Adamtsl4"
"DNAJC2_TARGET_GENES",-0.804932393737888,0.772073921971253,1,27,-0.278327608482424,6,"Map3k9 E2f2 Zbtb48 Tiam2 Ccm2 Por"
"DNMT1_TARGET_GENES",-1.16914705233698,0.19297365119197,1,65,-0.33385490204934,11,"Itsn1 Slc11a2 Gpr183 Gabbr1 Arhgef40 Rap1gap Camta2 Kalrn Lrrc8d Gm15503 Mtmr10"
"DUXBL1_TARGET_GENES",-0.836364147477546,0.872393661384487,1,129,-0.214660554331452,23,"Socs1 Litaf Axin2 Kdm5b Slc8b1 Ralgds Zbed5 Lmbrd1 2310022A10Rik Zfp617 Uso1 Zfp882 Cd68 1700023H06Rik Slc19a2 Rbm19 Ppp4r3b Nfe2l1 Bri3 Cyld Tcaim Snx29 Snn"
"E4F1_TARGET_GENES",-0.653079108571028,0.998625996152789,1,118,-0.169860544370278,20,"9430091E24Rik Gne Fktn Arel1 Fbxl12os Dram2 Cyb5d2 Ggcx Cnot11 Tfpt Ddi2 Pdpr Znhit6 Phkb Lins1 Rnf111 Asb7 2510039O18Rik Tbc1d23 Elp3"
"EED_TARGET_GENES",1.33778842000597,0.0201411349603058,1,234,0.341876202942987,50,"Cacnb2 Myc Arpp21 Mctp1 Mmp14 Ptprm Slc9a2 Timp2 Efhd1 Prkch Robo3 Lhx2 Rasgrf2 Nrxn2 Chadl Pxdc1 Ctdspl Gfra2 Mlkl Runx3 Tbc1d4 Ly6k Tnfrsf21 9630013D21Rik Slc9a5 Flt3 Parp12 Maf Pcdh9 Celf4 Slc22a21 Alcam Nfix Prob1 Lrp8 Cacna1a Fpgs Nfia Dock10 Rab8b Slit1 Ccnd2 Mlec Zfp64 Col27a1 Lfng Chchd4 Xpnpep3 Mybbp1a Cbx2"
"ELK3_TARGET_GENES",-1.39435603907825,0.0641175099090697,1,37,-0.446587434103145,10,"Rubcn Eif2ak3 Stk40 Zfyve21 Camkmt Gm11520 Slc39a3 Mief1 Chka Flad1"
"ELL_TARGET_GENES",-0.739347140197376,1,1,416,-0.1664426088732,96,"Klf2 Rubcn Phlpp1 Zfp354b Napepld Rab13 Neil1 Tfeb Csrnp2 Slc27a4 Rbm47 Tango6 Tbx6 Trak2 Usp35 Ric8b Zfp235 Hsp90b1 Ormdl3 Catspere2 Ing3 Ccpg1 Sec11c Calcoco1 Fem1a Dcun1d4 Slc12a6 Fam222a Gtf2h4 Mpi AU040320 Smim13 Camkmt Aplf Cep170 Arv1 Rpia Gm11520 Zfyve1 Swt1 Tmem63b Hsph1 Ctdp1 Ggps1 Desi2 Fam185a Kif13b Gpr108 Srprb Ranbp10 Sirt4 Tsnaxip1 Fyco1 Plekhm1 Alg12 Prpsap1 Daam1 Fbxo46 Malat1 Khdc4 Dgat1 Ppp1r12b Zfp354c Crtc2 Hepacam2 Tor1a H3f3b Alyref2 Usf1 Txnip Nudt13 Fastkd1 Cyb5d1 4933404O12Rik Oxsr1 Cnot4 Tti2 Ints9 Higd2a Maf1 Sirt2 2410006H16Rik Eapp Zmat5 Crcp Azi2 Map1lc3b Zfp672 R3hdm1 Slmap Letm1 Arid4b Men1 Erp44 Phf8 Ccdc124"
"FOXD3_TARGET_GENES",0.986868235671126,0.490735379270411,1,258,0.249532741735922,68,"Ctbp2 Pde7b Ebi3 Frmd4b Car3 Spp1 Slc9a2 Igf2bp2 Ackr4 Gbp5 Tm6sf1 Gm11335 Stx1a Pbx4 Gm12100 C230035I16Rik Abcg2 Oas1a Lcp1 Slc25a1 Armc9 Tfpi Agtrap 1600014C10Rik Znfx1 Ddx60 Cbx2 Mgme1 4930558J22Rik Cacnb1 Slc2a3 Rbpj Ptges3 Pag1 Zfp975 Ctc1 Rcc1 Rdh10 Stmn1 Cyth3 Hmgxb4 Zfp976 Nop58 Adgrl2 Abi3 Capsl Rfc4 Klhl26 Gpd2 Bola2 Snx5 Atxn7l1 Il33 Fundc1 Mrpl58 Traf3ip2 Lpar6 Noct Snhg3 Myo10 Slc25a40 Grcc10 Ap2a2 Fam169a Gid8 Cdkl3 Dbf4 Prps1"
"FOXJ2_TARGET_GENES",-0.565024671159994,1,1,497,-0.125285971690108,136,"Myadm Dnajc7 Ubiad1 Homer1 Tfeb Nr1h3 Mtor Zfp667 Ighmbp2 Trmu Spef1 Katnal1 Zmpste24 Kctd5 Cuedc1 Fam8a1 Ccnc Arfgap3 Fbxw8 5730455P16Rik A430105J06Rik Cep104 Fra10ac1 Sdhaf3 Gtf2h4 Slc15a4 Ublcp1 Trdmt1 Etfbkmt Tbc1d7 Necap2 Fibp Wsb2 Rbm34 B4galt7 Polr3b Rnf185 Dcp1a Trim25 Dffb Slc39a3 Efcab7 Por Trabd Nbeal1 Gtf3c3 Dctn5 Senp1 Sirt4 Bloc1s6os Cbl Dhodh Vps9d1 Tstd2 Uspl1 Dnajb6 Gucd1 Rad54l2 Malat1 Dpp9 Ap3s2 Ppp1r11 Prrg2 Glrx Ndufs1 Strip1 Zfp606 Gtf2h2 Gfm2 Slc39a13 Rgl2 Tbp Fam149b Cyb5r4 Exd2 Tnpo3 Nosip Raf1 Tsnax Fgd3 Spaca6 Abhd13 Psmf1 Jmjd6 Usp30 Lsg1 Zfp668 Pgd Itgb1bp1 Maf1 Slc39a6 Zbtb7b Tor1aip1 Tmem222 Ipo8 Sri Sec24a Uba5 Cpsf3 Cdk12 Tmem68 Ankrd40 Trub2 Acad11 Eloa Gm26782 Txnl4b Ube2j2 Sec13 Bnip2 Vti1a Mdfic Dpy19l4 Mphosph10 Tsen54 Ankrd13c Sharpin Pcid2 Las1l Agtpbp1 Prmt5 Pcnx3 5430416N02Rik H6pd Champ1 Nkiras2 Ino80b Slc35a3 Ano6 Lig4 Dpp8 Zfp408 Klhl20 Agbl5 Trp53rkb Kbtbd7"
"FOXN1_TARGET_GENES",-0.892353633379131,0.870143149284254,1,331,-0.2046910724505,97,"Bhlhe41 Pdzd2 Nr4a2 Sik1 Socs1 Litaf Eaf2 Tcf12 Gbp9 Rev1 Zfp667 Jun Alg10b Zswim6 Mtmr10 Mybpc2 Cuedc1 Dpy19l3 Gm38250 Ercc6l2 Iqcb1 Cnot11 Ing3 Ppargc1a Eps8 4933439K11Rik Elmod2 Fra10ac1 Ift46 Scap Tex261 5031439G07Rik 4930539J05Rik Gm26766 Tcf3 Trpc4ap 1700023H06Rik Tatdn2 Sik3 Zfp740 Galnt11 Arfgef2 Rnf6 Pex7 Gtdc1 Mmgt1 Cep120 Scnm1 Dop1a Pten Sav1 Fastkd2 Erbin Brd1 Csde1 Slc39a13 Mtmr3 AI597479 H3f3b Cyb5r4 Gnpda2 Junos Tob1 Birc2 Spaca6 Mex3c Ubc Crip2 Gns Chd2 Ess2 Bhlhe40 Fam3c Man1b1 Gmfb Hes6 Sirt1 Eif5b Kdm2a Ppp1r2 Ablim1 Alkbh3 Acad11 Gtf2a1 Map2k7 Ap4e1 Rsf1 Rbm12b1 Fxr1 Sptlc1 Odc1 Rnpc3 Washc4 Akap10 Ss18l1 Ftx Atf6"
"GADD45A_TARGET_GENES",-0.788723351693352,0.882635032811711,1,70,-0.22292301946525,16,"Trib1 Napepld Arhgap24 Dcaf6 Mpc2 Il6ra Ddit3 Neat1 Rpia Slc45a4 Frmd8os Nfe2l1 Arl14ep Psen2 Cotl1 Gys1"
"GLI1_TARGET_GENES",0.882677584534677,0.744831842024067,1,160,0.23549854854951,36,"Cdk6 Prrg4 Fut10 Pfas Uaca B4gat1 Gramd1b Sash1 Rasgrp2 Cenpu Lrrc75a E230016M11Rik Nmnat3 Hyal1 Tmem256 Stk35 Mfsd10 Cfap97 Fancd2 Lyrm7 Pimreg Slc25a39 Skp2 Znrf1 Slc12a4 Nup85 Patz1 Tmem140 Oip5 Gm17494 Syne3 Cdca5 Gtf2ird1 Cry2 Sdad1 Nnt"
"GM14296_TARGET_GENES",-0.85187644008617,0.873717217787913,1,164,-0.21155516588096,20,"Mcf2l A430072P03Rik Fbxl22 Amigo1 Slfn5 Hoxa7 Wdfy3 Vamp1 Satb2 Bcl2l1 Atrnl1 Rbm47 Dnajc11 Ing3 Fkbp7 Mlxip Nipbl Carhsp1 Mfge8 Tatdn2"
"GM14326_TARGET_GENES",1.0389119947151,0.371524595172624,1,171,0.27475256206131,31,"Kit Scin Arpp21 Tnfrsf1a 2900079G21Rik Klf1 Tifab Gm26885 Nme4 Zwilch Ccdc14 Il27ra Lbhd1 Saraf Poc1a Nectin3 Prickle4 Dnajb2 Bscl2 Ddb2 Slc2a3 Haus5 Lyl1 Znrf1 Nbeal2 Tsc22d4 Kntc1 Exosc2 Akr7a5 Gfi1 Ino80dos"
"GM14393_TARGET_GENES",0.63891378824989,0.943598925693823,1,28,0.228138522388873,14,"Ddb2 Nfat5 Ift172 Dcakd Tsc22d4 Usp1 Rfwd3 Cbfb Eif5a Zbtb8a Adat1 Mis18bp1 Cep95 Sag"
"GM14401_TARGET_GENES",0.764546870102574,0.891532655070561,1,73,0.22764570191,21,"Tmc4 Zfp473 Dars2 Chchd4 Bscl2 Rdh10 Usp12 Ttk Nup205 Itgb1 Ctu1 Fubp3 Rnpep Rfwd3 Sugct Rangrf Usp37 Arap1 Cenpl Mmachc Ccdc163"
"GM14410_TARGET_GENES",-0.625765317012898,0.938107869142352,1,18,-0.237794508367563,7,"Cib1 Dnajc15 Ubap1 Ech1 Ywhag Ccdc88a BC004004"
"GM14412_TARGET_GENES",0.791685522092498,0.993794560337998,1,495,0.189176624206713,81,"Scin Ctbp2 Car3 Dhrs3 Lhx2 Ttll11 Chn2 Ldlrad4 Vegfc Gfra2 1500009L16Rik Agap1 Gm17435 Senp8 St3gal2 Gm26885 Lap3 Tjp2 Gramd1b Polr3d Snx14 Scml4 Mfsd12 A730017L22Rik Tsc22d1 Acad10 Alcam Cdca7 Map2 Ggta1 Lat2 Impdh2 Mink1 Ptprs Znfx1 Lmo2 Fads1 Hdac6 Slc12a2 1700034P13Rik Zfp64 Etohd2 Rcan2 Mfsd10 Dnajb2 Cdk4 Bscl2 Adcy9 Slc2a3 Rbpj Zfp395 Nfat5 Exosc7 Ptp4a1 Tpk1 Ubqln4 Amer1 Qsox1 Gm16638 Habp4 Tubg1 Gm12500 Afmid Dcakd Tpst2 Ddx27 2810408A11Rik Carnmt1 Fignl1 Cplane1 Gm13523 Polr1a Nkrf Ino80dos Dalrd3 Rbbp7 Elp4 Vdac1 Zdhhc21 Cdkn2c Nfkbil1"
"GM2004_GM14419_UNIPROT_A2ARL5_UNREVIEWED_TARGET_GENES",0.962854700524696,0.527899788514723,1,84,0.280712053973834,23,"Ptpn22 Ifitm3 Msrb2 Lsr Smoc1 Ascc1 Scrn2 Diaph3 Mgat5 Repin1 Eme1 Ninl Cox18 Ccdc28b Itgav Erbb3 Nubpl 4933427D14Rik Ska1 Qrsl1 Gpd2 Ccdc107 Ttc7"
"GM20449_UNIPROT_E9Q3U2_UNREVIEWED_TARGET_GENES",0.499097551357043,0.983458922992097,1,16,0.202321017151634,16,"Hdac7 Mrpl39 Mrpl30 Tango2 Pgk1 Mtf2 Mbtps2 Mitd1 Smg7 Ap1g1 Cltc Golga7 Acat1 Rab12 Ubald1 Fam149b"
"GM6710_GM14391_UNIPROT_A2ART0_UNREVIEWED_TARGET_GENES",1.29842185814861,0.156405072596949,1,16,0.526346062645002,2,"Ctbp2 Lst1"
"GM6710_GM14391_UNIPROT_Q8C1K5_UNREVIEWED_TARGET_GENES",0.678843781941434,0.998815692079941,1,225,0.174131624765335,33,"Kit Atp8b4 Slc39a11 Nme4 Maf Tjp2 2500002B13Rik Cryl1 Nudt19 Shmt1 Hspa9 Synj2 Tshz1 Dnajb2 Fancd2 Gm4285 Ddb2 Cenpi Zfp395 4930515G01Rik Tpk1 Ift140 Tfdp1 Uhrf1 Ift172 Ercc6l Uap1l1 Tsc22d4 Plxnd1 Kntc1 Tet1 Ino80dos Nudt5"
"H1_6_TARGET_GENES",0.710824692767632,0.96922100587022,1,106,0.199542577469808,21,"Zap70 Akap1 Pfas Slc9a5 Xrcc2 Rnf135 Nr1d1 Mfsd10 1700030K09Rik Gins2 Tmem97 Tubd1 Cnrip1 Sugp2 Eral1 Dnajc1 Cntd1 Lsm4 Mvd Cfap20 Ehmt2"
"HAND1_TARGET_GENES",0.747739205357292,0.999198182547107,1,472,0.179550582777916,58,"Colq Serpinb9 Egfl7 Igsf10 Ppp1r3e Limk1 Nim1k Igfbp4 Acad12 Tmbim1 Tmem132a Rgs3 Zc3hav1l Gm11335 Tm7sf2 Frmd6 Arhgap23 Slc7a7 Arl4d Gnb1l Abhd4 4930458D05Rik Kif17 Idi1 Prob1 Tmem205 Clpb Tfpi C530005A16Rik Impdh2 Atic Fbf1 Ptprs Bivm Gm17484 Selenom Plpp1 Mlec Rassf2 Nr1d1 St6galnac6 Dnajb5 Wdr76 1700030K09Rik 9830144P21Rik Tuba1b Zfp395 Prxl2a Ska2 Slk Nfat5 Aph1b Tfb1m Usp36 Zfp975 Primpol Uhrf1 Spout1"
"HELLS_TARGET_GENES",0.482409939884477,1,1,79,0.14189813852302,13,"Gm32200 Tns3 Ptges3 Trmt11 Acox1 Dtwd1 Cdca4 Tsen15 Anapc15 Wdfy1 Fbxo34 Ttc7 Nuf2"
"HEXIM1_TARGET_GENES",-0.776802368764781,0.990851735015773,1,235,-0.184817672700494,60,"Lrsam1 Ier5l Tmco3 Sema4b Id1 Dhrs11 Csrnp2 Gpr19 Tmem175 Pip4k2b Natd1 Esco1 Btg1 Rab21 Zfp513 Psap Lbh Rassf1 Amh St3gal3 Junb Man1a Zhx1 Myo1c Ttc17 Chkb Arid5a Gak Dnajb4 1810055G02Rik Uspl1 Zfp36 Nadk Derl2 Twsg1 Ddit4 Nol7 H3f3b Tob1 Commd10 Nek2 Erc1 Usp19 Card19 Rc3h1 Ube2z Zfp668 Nfs1 Erp29 Gt(ROSA)26Sor Ptpn2 Sdhaf2 Sirt1 Dapk3 Mmp11 Aldoa Nedd9 Letm1 Txn2 Mcl1"
"HIRA_TARGET_GENES",0.497457370481513,0.989970824215901,1,20,0.191615734027146,7,"Znfx1 Zfp607b Rcc1 Kcnb1 Gas5 Zbtb37 Cyp51"
"HLF_TARGET_GENES",-0.950857761694483,0.61372730070791,1,216,-0.228055460001678,63,"Dqx1 Trib1 Spns3 Meis1 Tspoap1 Atp1b1 Mapk11 Id1 Per2 Aacs Ralgds Nepro Rnf24 Per1 Evi5 Fktn 1700041G16Rik Aldh3b1 Entpd7 Dusp16 Slamf9 Ormdl3 Nsun4 Bmf Zfp513 Dclre1c Tmem62 Got1 Stxbp3 Irs2 Lrrc61 Etfbkmt Vgll4 Slc45a4 Foxp1 Dennd1b Rnf13 Dennd2d Chpf 5930430L01Rik Cytip Bace1 Slc35e3 AI987944 Coasy Btf3l4 Dgat1 Irf2bp1 Nadk Gm13546 Tbc1d23 Mfsd11 Zfp386 Birc2 Cpsf4 Fgd3 Usf1 Nt5c3 Tmbim6 Gpsm2 Adcy7 Mbnl1 Lonp2"
