"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION",-1.75457842162412,6.86012209282906e-06,0.0285243876619833,146,-0.55614707823649,54,"Orc1 Pole E2f7 Rad51c Eme1 E2f8 Gins1 Cdk1 Mms22l Brca1 Setmar Bard1 Ccne1 Exo1 Pole2 Wdhd1 Cdt1 Tk1 Xrcc3 Prim1 Lig1 Cdc45 Prim2 Rbbp8 Rad51 Mcm5 Rtel1 Fam111a Cenps Timeless Rfwd3 Khdc3 Pola1 Mcm10 Orc6 Mcm3 Pcna Traip Ddx11 Pold3 Mcm2 Cdk2 Gins4 Rfc4 Fancm Gen1 Dna2 Exd2 Primpol Ssbp1 Tonsl Orc2 Cdc7 Mgme1"
"GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",-1.84044661378208,7.29251415898529e-05,0.0433175341043726,51,-0.658141157700619,10,"Ms4a1 Cd79a Fcmr Bcl2 Cd81 Lck Blk Cd22 Plcl2 Cd19"
"GOBP_CHROMOSOME_ORGANIZATION",-1.41607612593241,7.19127792199251e-05,0.0433175341043726,470,-0.423448798994181,120,"Mybl2 Map9 Oip5 Hmga2 Dscc1 Cenpk Nuf2 Mnd1 Esco2 Rad51c Tacc3 Zwilch Rmi2 Sgo1 Cdca5 Cdk1 Ska3 Cenpt Cit Setmar Ccne1 Spc24 Recql4 Shld3 Chek2 Kif11 Prc1 Cenph Wdhd1 Hspa2 Cdt1 Cip2a Cenpi Prkcq Psmc3ip Xrcc3 Aurkb Rasl2-9 Rad54l Map10 Brip1 Nek2 Cenpv Prdm9 Cenpw Trip13 Mei4 Kntc1 Hus1 Kifc5b Nusap1 Ino80c Sgo2a Cep97 Ndc80 Rad51 Psrc1 Rtel1 Smc5 Tert Mapkapk5 Nasp Cenpe Incenp Haspin Khdc3 Birc5 Cenpn Xrcc5 Cenpp Spc25 Pogz Wrap53 Ckap2l Top2a Kif4 Bcl7a Dusp1 Suv39h1 Pcna H1f0 Rcc1 Spice1 Hdac8 Smc4 Hmgb3 Ddx11 Ccsap Fbxo30 Cdk2 Map3k4 Rangrf Ska2 Cdca8 Mcph1 Ercc1 Gen1 Smarcc1 Dna2 Gnl3 Kif2c Tpx2 Phf10 Tinf2 Flna Nup62 Chmp7 Ofd1 Ppp2r1b Tent4b Gar1 Mis12 Mis18a Rpa2 Cdc27 Ccdc61 Ppp2r5d Ska1 Vps4a Ncapd2"
"GOBP_CHROMOSOME_SEGREGATION",-1.48486518781584,3.25690233476117e-05,0.0433175341043726,375,-0.446764232526881,113,"Mybl2 Map9 Cenpk Nuf2 Stil Mnd1 Esco2 Tacc3 Zwilch Rmi2 Sgo1 Cdk1 Mapre3 Ska3 Diaph3 Brca1 Cenpt Cit Sass6 Ccne1 Spc24 Cenpu Cenpl Chek2 Kif11 Prc1 Cenph Cdt1 Cenpi Psmc3ip Xrcc3 Aurkb Rasl2-9 Map10 Brip1 Nek2 Cenpv Prdm9 Cenpw Trip13 Mei4 Mki67 Kntc1 Kifc5b Fam83d Ttl Nusap1 Sgo2a Cep97 Ndc80 Psrc1 Chtf18 Smc5 Cenps Pmf1 Cenpe Incenp Haspin Khdc3 Birc5 Cenpn Ccdc86 Cenpp Spc25 Ckap2l Top2a Kif4 Bcl7a Dusp1 Washc5 Rcc1 Spice1 Smc4 Ppp2r2a Ccsap Cenpm Fbxo30 Rangrf Tubgcp3 Ska2 Cdca8 Gen1 Smarcc1 Kif2c Pum1 Tpx2 Phf10 Flna Nup62 Dsn1 Chmp7 Ofd1 Ppp2r1b Ccdc69 Mis12 Mis18a Cdc27 Ppp2r2d Ccdc61 Bex6 Ska1 Gpsm2 Vps4a Ncapd2 Sac3d1 Haus1 Nup43 Aspm Asb7 Arid2 Rad18 Kif23 Mad2l1"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY",-1.79762491239567,6.08809703185159e-05,0.0433175341043726,62,-0.624954020068291,26,"Pole Rad51c Eme1 Cdk1 Mms22l Brca1 Setmar Bard1 Exo1 Xrcc3 Rbbp8 Rad51 Rtel1 Fam111a Cenps Timeless Rfwd3 Khdc3 Pcna Traip Ddx11 Fancm Gen1 Dna2 Exd2 Primpol"
"GOBP_HOMOLOGOUS_RECOMBINATION",-1.86513143322786,4.19790276449779e-05,0.0433175341043726,43,-0.684640820787774,20,"Mnd1 Rad51c Eme1 Rad54b Brca1 Bard1 Ankle1 Psmc3ip Rad54l Brip1 Prdm9 Hfm1 Trip13 Rbbp8 Rad51 Chtf18 Cenps Cntd1 Rad51ap1 Top2a"
"GOBP_ORGANELLE_FISSION",-1.47542032977546,4.21256469367384e-05,0.0433175341043726,401,-0.443058753762157,113,"Mybl2 Map9 Esr1 Cenpk Nuf2 Mnd1 Rad51c Eme1 Ppargc1a Zwilch Fignl1 Brdt Sgo1 Lrp5 Nfix Cdk1 Fanca Ska3 Rad54b Cit Tom1l1 Mief2 Ccne1 Igf1 Spc24 Suv39h2 Ankle1 Chek2 Kif11 Prc1 Hspa2 Mcu Cdt1 Cenpi Siah1a Psmc3ip Pdgfrb Xrcc3 Cdc25b Cks2 Aurkb Rasl2-9 Rad54l Map10 Brip1 Nek2 Cenpv Prdm9 Eps8 Hfm1 Trip13 Mei4 Mki67 Kntc1 Kifc5b Nusap1 Sgo2a Ggnbp1 Cep97 Ndc80 Rad51 Psrc1 Chtf18 Mfn1 Cenps Cenpe Cntd1 Incenp Haspin Mtfp1 Khdc3 Birc5 Ccdc86 Spc25 Rad51ap1 Ckap2l Top2a Kif4 Dusp1 Washc5 Smpd3 Ing2 Rcc1 Irgm2 Spice1 Tnf Smc4 Rad1 Ccsap Rangrf Ska2 Abcg2 Cdca8 Fancm Gen1 Osm Cdkn1c Ddhd2 Kif2c Tpx2 Rgcc Flna Nup62 Mtfr2 Chmp7 Ofd1 Mis12 Ppp2r2d Ccdc61 Usp16 Ska1 Vps4a Ncapd2"
"GOBP_DNA_REPLICATION",-1.51552095565185,0.000142807618104836,0.0742242595099888,264,-0.462575240674871,107,"Orc1 Dscc1 Pole E2f7 Esco2 Pclaf Rad51c Eme1 E2f8 Rmi2 Nfix Gins1 Cdk1 Mms22l Brca1 Setmar Bard1 Ccne1 Recql4 Dtl Exo1 Pole2 Wdhd1 Gins2 Cdt1 Tk1 Xrcc3 Prim1 Lig1 Cdc45 Ino80c Prim2 Rbbp8 Rad51 Mcm5 Rtel1 Fam111a Chtf18 Cenps Timeless Nasp Rfwd3 Khdc3 Pola1 Mcm10 Orc6 Mcm3 Egfr Jun Pcna Traip Ttf1 Dtd1 Chaf1a Polk Ddx11 Pold3 Mcm2 Cdk2 Gins4 Rfc4 Rev3l Fancm Gen1 Dna2 Rpa3 Exd2 Primpol Rpa2 Ssbp1 Ccna2 Tonsl Orc2 Cdc7 Jade3 Mgme1 Rad18 E4f1 Rrm1 Jade1 Stn1 Brpf3 Blm Tspyl2 Pold1 Ing5 Chaf1b Ube2n Dnaja3 Nucks1 Rnaseh2a Mcm4 Ino80b Msh2 Wapl Rfc5 Orc3 Dnajc2 Smarca5 Fen1 Ino80 Cacybp Mcm7 Cdc6 Gmnn Supt16 Asf1a"
"GOBP_CELL_CYCLE_DNA_REPLICATION",-1.80641346850787,0.00024146897591998,0.0787154042105461,39,-0.673598227108284,17,"E2f7 E2f8 Gins1 Cdk1 Cdt1 Tk1 Lig1 Cdc45 Rad51 Mcm5 Rtel1 Pola1 Mcm3 Pcna Mcm2 Cdk2 Dna2"
"GOBP_HUMORAL_IMMUNE_RESPONSE",-1.71738309301574,0.000239729095728147,0.0787154042105461,73,-0.584031979451422,24,"Jchain Ccl3 Ccl4 C1qb Fcmr Ccr7 Wfdc21 Cd81 Rarres2 Pomc Exo1 AI182371 Cd59a C2 S100a9 C1qa Ccl6 Cd59b Cd55 Ang Masp2 Tnf Hmgn2 Tnfrsf21"
