"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HALLMARK_E2F_TARGETS",-1.73412724025437,7.00890107575919e-07,3.50445053787959e-05,193,-0.537590375717374,86,"Mybl2 Dscc1 Pole Rad51c Tacc3 E2f8 Depdc1a Rrm2 Ube2t Gins1 Cdk1 Asf1b Mms22l Diaph3 Brca1 Cit Bard1 Ccne1 Spc24 Stmn1 Hmga1b Chek2 Psmc3ip Tk1 Cdc25b Cks2 Aurkb Lig1 Ccp110 Trip13 Mki67 Hus1 Prim2 Mcm5 Timeless Nasp Cenpe Hells Dut Birc5 Spc25 Eed Orc6 Ipo7 Rad51ap1 Mcm3 Top2a Kif4 Suv39h1 Pcna Cdkn1a Melk Mxd3 Smc4 Hmgb3 Pold3 Rad1 Mcm2 Cenpm Gins4 Cdca8 Slbp Cnot9 Cdc25a Kif2c Ezh2 Rpa3 Shmt1 Ing3 Lmnb1 Cdca3 Rpa2 Ncapd2 Orc2 Mthfd2 Prps1 Ppm1d Tmpo Plk4 Cks1b Mad2l1 Cdk4 Pds5b Pold1 Tubb5 Smc1a"
"HALLMARK_G2M_CHECKPOINT",-1.61382842054868,4.04399236724072e-05,0.00101099809181018,186,-0.501314095495888,75,"Mybl2 E2f2 Pole Stil Tacc3 Cdk1 Bard1 Stmn1 Hmga1b Exo1 Kif11 Map3k20 Prc1 Gins2 Cdc25b Cks2 Kif20b Aurkb Rad54l Nek2 Mki67 Hus1 Cdc45 Nusap1 Prim2 Ndc80 Mcm5 Slc12a2 Nasp Cenpe Meis1 Incenp Tent4a Birc5 Pbk Katna1 Cul5 Fancc Ccnf Orc6 Mcm3 Top2a Kif4 Suv39h1 Traip Chaf1a Smc4 Hmgb3 E2f1 Odc1 Mcm2 Cul4a Efna5 Smarcc1 Dtymk Cdc25a Kif2c Ezh2 Tpx2 Lmnb1 Rpa2 Cdc27 Ccna2 Sap30 Cdc7 Tmpo Kif23 Smad3 Plk4 Cks1b Mad2l1 Tfdp1 Cdk4 Pds5b Chmp1a"
"HALLMARK_BILE_ACID_METABOLISM",1.43378391497298,0.0186078566505858,0.221079128816898,72,0.384335120197071,17,"Sult2b1 Cyp7b1 Amacr Efhc1 Rxra Nr3c2 Abca6 Pex13 Hacl1 Bmp6 Pex26 Pex11g Pex16 Hsd3b7 Abca5 Fdxr Npc1"
"HALLMARK_COMPLEMENT",-1.37407000291704,0.0221079128816898,0.221079128816898,123,-0.441051941546498,22,"Itgam Cd36 Rasgrp1 Lrp1 Cpm Mmp15 Dgkh Lck Casp4 Lcp2 Pla2g4a C2 S100a9 Akap10 C1qa Kcnip3 Actn2 F5 Ang Cebpb Ehd1 Adam9"
"HALLMARK_UV_RESPONSE_UP",-1.39822208546713,0.0220482857457833,0.221079128816898,115,-0.451404042261835,15,"Atf3 Rasgrp1 Hmox1 Plcl1 Aqp3 Olfm1 Ppat Fos Hyal2 Clcn2 Ccne1 Nr4a1 Hspa2 Fosb Ephx1"
"HALLMARK_HYPOXIA",-1.3166916390707,0.0427981751031936,0.35665145919328,131,-0.420280933657633,40,"Atf3 Selenbp1 Rragd Hmox1 Ppargc1a Bcl2 Phkg1 Vegfa Fos Nfil3 Pfkfb3 Chst3 Eno3 Hk2 Vhl Isg20 Ddit3 Rora Zfp36 Lxn Dusp1 Egfr Jun Cdkn1a Gcnt2 Kdm3a Csrp2 Eno1b Cdkn1c Akap12 Jmjd6 Aldoc Ppp1r15a Sap30 Ugp2 Hk1 Cxcr4 S100a4 Mxi1 Bhlhe40"
"HALLMARK_COAGULATION",-1.36649460691282,0.0545152879829343,0.389394914163817,64,-0.470082853427176,17,"Lrp1 Mmp15 F2rl2 Klk8 Pros1 C2 Crip2 Plau S100a1 Fbn1 Msrb2 C1qa Thbd Ang Masp2 Adam9 Mst1"
"HALLMARK_HEDGEHOG_SIGNALING",-1.33969558066154,0.108985024958403,0.638259402121504,21,-0.556759621708693,6,"Rtn1 Vegfa Adgrg1 Ets2 Thy1 Celsr1"
"HALLMARK_KRAS_SIGNALING_DN",-1.26438121189709,0.127651880424301,0.638259402121504,59,-0.440255795178248,19,"Nr4a2 Tent5c Gpr19 Brdt Calm4 Lfng Bard1 Capn9 Klk8 Arpp21 Plag1 Dtnb Calcb Mthfr Sphk2 Tg Gtf3c5 Copz2 Gamt"
"HALLMARK_PANCREAS_BETA_CELLS",1.37413066932864,0.116383169203223,0.638259402121504,11,0.568038700886918,5,"Stxbp1 Elp4 Sec11a Vdr Dpp4"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.20262866534415,0.156166518254675,0.709847810248523,107,-0.390736871289717,22,"Best1 Rasgrp1 Itga5 Ccr7 Slc11a2 Abca1 Lck Lcp2 Il15ra Cd69 Slc28a2 Cd40 Il18 Cd14 Gabbr1 Il15 Slc1a2 Pde4b Fzd5 Cmklr1 Cdkn1a Slc31a2"
"HALLMARK_APOPTOSIS",-1.17464227803917,0.18207775093345,0.758657295556044,119,-0.377882654227818,20,"Atf3 Cd2 Hmox1 Brca1 Casp4 Tnfrsf12a Cd69 Il18 Cd14 Pdgfrb Cdc25b Isg20 Ddit3 Bcl2l1 Top2a Jun H1f0 Cdkn1a Tnf Cdk2"
"HALLMARK_ALLOGRAFT_REJECTION",-1.14676220437443,0.2125,0.781512905881932,129,-0.366389327930624,24,"Cd2 Cd79a Brca1 Lck Lcp2 Rpl3l Ly75 C2 Il12a Cd40 Il18 Cd86 Il15 Il2ra Egfr Ccnd3 H2-Ob Tnf Thy1 Glmn Ripk2 Flna Ube2d1 Ifngr1"
"HALLMARK_IL2_STAT5_SIGNALING",-1.12841624885371,0.23445387176458,0.781512905881932,147,-0.356716772268196,35,"Ncs1 Myo1e Rragd Bcl2 Cd81 F2rl2 Nfil3 Ccne1 Itih5 Slc29a2 Eno3 Smpdl3a Hk2 Cd86 S100a1 Slc39a8 Tnfrsf4 Irf6 Plpp1 Bcl2l1 Rora Il2ra Ccnd3 Ckap4 Gsto1 Praf2 Syt11 Spred2 Odc1 Tnfrsf21 Twsg1 Tiam1 Cdkn1c Ecm1 Ifngr1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.13456430071604,0.226728508251537,0.781512905881932,140,-0.35996050348347,30,"Atf3 Nr4a2 Hes1 Abca1 Vegfa Fos Nfil3 Il15ra Pfkfb3 Nr4a1 Cd69 Il18 Ets2 Fosb Plau Trip10 Ifit2 Dusp2 Tgif1 Socs3 Zfp36 Dusp1 Jun Rnf19b Pde4b Cdkn1a Tnf Cebpb Ehd1 Junb"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.11317748639546,0.277259604707972,0.866436264712414,109,-0.361318058247447,24,"Rasgrp1 Fcmr Aqp3 Hes1 Bcl2 Olfm1 Fos Mreg Rapgefl1 Sh3bp5 Rbbp8 Adcy9 Fkbp5 Isg20l2 Slc26a2 Endod1 Akap1 Deptor Nrip1 Celsr1 Tiam1 Chpt1 Add3 Gfra1"
"HALLMARK_NOTCH_SIGNALING",-1.1064895663225,0.334974022422751,0.985217713008091,24,-0.448458957784735,7,"Hes1 Lfng Dtx4 Arrb1 Fzd5 Aph1a Sap30"
"HALLMARK_ADIPOGENESIS",-0.587249521453705,0.999362380446334,1,162,-0.184208554349426,7,"Cd36 Col15a1 Abca1 Slc5a6 Pfkfb3 Ephx2 Itih5"
