"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES",-1.59812036223111,0.000821528470061525,0.158419170224802,91,-0.527730200658735,33,"Cenpk Nuf2 Zwilch Sgo1 Cenpt Spc24 Cenpu Cenpl Cenph Cenpi Aurkb Kntc1 Sgo2a Ndc80 Ercc6l Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Spc25 Cenpm Ska2 Cdca8 Kif2c Dsn1 Ppp2r1b Rangap1 Mis12 Ppp2r5d Ska1 Nup43"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",-1.72546254836414,0.00140947996542052,0.158419170224802,15,-0.767189699965888,7,"Jchain Igkv2-109 Cd36 Lrp1 Iglc1 Cd163 S100a9"
"REACTOME_CELL_CYCLE_CHECKPOINTS",-1.46008481930776,0.000757979543529178,0.158419170224802,244,-0.446544600793628,67,"Orc1 Cenpk Nuf2 Zwilch Rmi2 Sgo1 Cdk1 Brca1 Cenpt Bard1 Ccne1 Spc24 Cenpu Cenpl Chek2 Exo1 Pkmyt1 Cenph Cenpi Clspn Aurkb Brip1 Kntc1 Hus1 Cdc45 Sgo2a Gtse1 Rbbp8 Ndc80 Ercc6l Mcm5 Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Mcm10 Spc25 Orc6 Mcm3 Cdkn1a Rad1 Mcm2 Cenpm Cdk2 Ska2 Cdca8 Rfc4 Dna2 Cdc25a Kif2c Rpa3 Ube2d1 Dsn1 Ppp2r1b Rangap1 Mis12 Rpa2 Cdc27 Ppp2r5d Ccna2 Ska1 Orc2 Nup43 Brcc3 Cdc7"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",-1.70264395069227,0.000234403886039078,0.158419170224802,70,-0.578507655033355,11,"Jchain Igkv2-109 Itgam Itga3 Slc16a3 Itga5 Iglc1 Lck Pros1 Cxadr Angpt4"
"REACTOME_CHROMOSOME_MAINTENANCE",-1.63829299596462,0.00105035881669019,0.158419170224802,78,-0.549682273794206,32,"Oip5 Dscc1 Cenpk Cenpt Cenpu Cenpl Cenph Cenpi Prim1 Lig1 Cenpw Prim2 Rtel1 Chtf18 Tert Cenps Cenpn Pola1 Cenpp Wrap53 Pcna Pold3 Cenpm Cdk2 Rfc4 Shq1 Dna2 Rpa3 Gar1 Mis18a Rpa2 Ccna2"
"REACTOME_HEMOSTASIS",-1.40441358828685,0.00153618589308899,0.158419170224802,331,-0.423887920925687,51,"Jchain Igkv2-109 Itgam Cd36 Rasgrp1 Itga3 Slc16a3 Rad51c Itga5 Kif20a Pcyox1l Iglc1 Ehd3 Vegfa Rarres2 F2rl2 Dgkh Lck Lcp2 Igf1 Pla2g4a Vegfd Pros1 Cxadr Kif11 Pik3r3 Prkcq Angpt4 Kif20b Clec1b Plau Zfpm1 Daglb Tfpi Kifc5b Akap10 Arrb1 Gng3 Mfn1 Maged2 Cenpe Dgki Dok2 Actn2 Endod1 Vegfc F5 Akap1 Gnb5 Sccpdh Kif4"
"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES",-1.76185985387155,0.000796765684729007,0.158419170224802,33,-0.671591700261984,16,"Rad51c Eme1 Rmi2 Fignl1 Brca1 Bard1 Exo1 Xrcc3 Xrcc2 Brip1 Rbbp8 Rad51 Rad51ap1 Gen1 Dna2 Palb2"
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",1.91570338548334,0.0014119520551776,0.158419170224802,11,0.793001616068483,5,"Cyp7b1 Amacr Rxra Akr1c13 Hsd3b7"
"REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR",-1.66958500444799,0.00178490593831388,0.163616377678773,57,-0.584119799813613,24,"Pole Rad51c Eme1 Rmi2 Fignl1 Brca1 Bard1 Exo1 Pole2 Xrcc3 Xrcc2 Brip1 Rbbp8 Rad51 Rad51ap1 Pcna Polk Pold3 Rfc4 Gen1 Dna2 Palb2 Rpa3 Rpa2"
"REACTOME_BASIGIN_INTERACTIONS",-1.71384568862033,0.00289268151576511,0.170461589321873,14,-0.773801879019544,2,"Itga3 Slc16a3"
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",1.86653955371681,0.00218851289101415,0.170461589321873,19,0.672663329472988,5,"Cyp7b1 Amacr Rxra Akr1c13 Hsd3b7"
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",-1.54601486342418,0.00275938189845475,0.170461589321873,112,-0.500504586758055,36,"Cenpk Nuf2 Zwilch Sgo1 Cdca5 Cdk1 Cenpt Spc24 Cenpu Cenpl Cenph Cenpi Aurkb Kntc1 Sgo2a Ndc80 Ercc6l Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Spc25 Hdac8 Tuba1b Cenpm Ska2 Cdca8 Kif2c Dsn1 Ppp2r1b Rangap1 Mis12 Ppp2r5d Ska1"
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",1.88555381717469,0.0023166751583024,0.170461589321873,11,0.780521262077514,6,"Met Arhgap35 Arhgef12 Rras Rhob Arhgef11"
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",1.84942173130372,0.00264978148027673,0.170461589321873,18,0.67468719588502,5,"Cyp7b1 Amacr Rxra Akr1c13 Hsd3b7"
"REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE",-1.68518825790427,0.00413664264745129,0.208827717133365,27,-0.666571650298675,11,"Oip5 Cenpk Cenpt Cenpu Cenpl Cenph Cenpi Cenpw Cenps Cenpn Cenpp"
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",-1.65204663372893,0.00509178614498191,0.208827717133365,26,-0.657821618472586,3,"Igkv2-109 Iglc1 Lcp2"
"REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE",-1.64206454145046,0.00522578051721828,0.208827717133365,26,-0.653846890420541,13,"Rad51c Rmi2 Brca1 Bard1 Exo1 Xrcc3 Xrcc2 Brip1 Rbbp8 Rad51 Rad51ap1 Dna2 Palb2"
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",-1.50774098753926,0.0053156146179402,0.208827717133365,108,-0.489475432047981,34,"Cenpk Nuf2 Zwilch Sgo1 Cenpt Spc24 Cenpu Cenpl Cenph Cenpi Aurkb Kntc1 Sgo2a Ndc80 Ercc6l Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Spc25 Cenpm Ska2 Cdca8 Kif2c Ube2d1 Dsn1 Ppp2r1b Rangap1 Mis12 Cdc27 Ppp2r5d Ska1"
