"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",-1.69737536200157,0.000270796902740976,0.160760121509332,70,-0.578097020916951,11,"Jchain Igkv2-109 Itgam Itga3 Slc16a3 Itga5 Iglc1 Lck Pros1 Cxadr Angpt4"
"REACTOME_CHROMOSOME_MAINTENANCE",-1.6321763078617,0.000664448512516801,0.160760121509332,78,-0.54827089914647,32,"Oip5 Dscc1 Cenpk Cenpt Cenpu Cenpl Cenph Cenpi Prim1 Lig1 Cenpw Prim2 Rtel1 Chtf18 Tert Cenps Cenpn Pola1 Cenpp Wrap53 Pcna Pold3 Cenpm Cdk2 Rfc4 Shq1 Dna2 Rpa3 Gar1 Mis18a Rpa2 Ccna2"
"REACTOME_HEMOSTASIS",-1.40400994541976,0.000784195714679667,0.160760121509332,331,-0.422948046708207,51,"Jchain Igkv2-109 Itgam Cd36 Rasgrp1 Itga3 Slc16a3 Rad51c Itga5 Kif20a Pcyox1l Iglc1 Ehd3 Vegfa Rarres2 F2rl2 Dgkh Lck Lcp2 Igf1 Pla2g4a Vegfd Pros1 Cxadr Kif11 Pik3r3 Prkcq Angpt4 Kif20b Clec1b Plau Zfpm1 Daglb Tfpi Kifc5b Akap10 Arrb1 Gng3 Mfn1 Maged2 Cenpe Dgki Dok2 Actn2 Endod1 Vegfc F5 Akap1 Gnb5 Sccpdh Kif4"
"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES",-1.7539610716605,0.000686689375153895,0.160760121509332,33,-0.670311573799655,16,"Rad51c Eme1 Rmi2 Fignl1 Brca1 Bard1 Exo1 Xrcc3 Xrcc2 Brip1 Rbbp8 Rad51 Rad51ap1 Gen1 Dna2 Palb2"
"REACTOME_CELL_CYCLE_CHECKPOINTS",-1.4664001107242,0.00105033296272359,0.172254605886668,241,-0.447241720162491,67,"Orc1 Cenpk Nuf2 Zwilch Rmi2 Sgo1 Cdk1 Brca1 Cenpt Bard1 Ccne1 Spc24 Cenpu Cenpl Chek2 Exo1 Pkmyt1 Cenph Cenpi Clspn Aurkb Brip1 Kntc1 Hus1 Cdc45 Sgo2a Gtse1 Rbbp8 Ndc80 Ercc6l Mcm5 Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Mcm10 Spc25 Orc6 Mcm3 Cdkn1a Rad1 Mcm2 Cenpm Cdk2 Ska2 Cdca8 Rfc4 Dna2 Cdc25a Kif2c Rpa3 Ube2d1 Dsn1 Ppp2r1b Rangap1 Mis12 Rpa2 Cdc27 Ppp2r5d Ccna2 Ska1 Orc2 Nup43 Brcc3 Cdc7"
"REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES",-1.60527172038819,0.0019386670103529,0.173573975044563,89,-0.530986219581304,33,"Cenpk Nuf2 Zwilch Sgo1 Cenpt Spc24 Cenpu Cenpl Cenph Cenpi Aurkb Kntc1 Sgo2a Ndc80 Ercc6l Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Spc25 Cenpm Ska2 Cdca8 Kif2c Dsn1 Ppp2r1b Rangap1 Mis12 Ppp2r5d Ska1 Nup43"
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",1.89315204913045,0.00181653613369451,0.173573975044563,19,0.67204704877348,5,"Cyp7b1 Amacr Rxra Akr1c13 Hsd3b7"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",-1.73129007606864,0.00146552482234295,0.173573975044563,15,-0.766731641866579,7,"Jchain Igkv2-109 Cd36 Lrp1 Iglc1 Cd163 S100a9"
"REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE",-1.68299259889677,0.00254010695187166,0.173573975044563,27,-0.665794011447919,11,"Oip5 Cenpk Cenpt Cenpu Cenpl Cenph Cenpi Cenpw Cenps Cenpn Cenpp"
"REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR",-1.65987235049386,0.00205053594774002,0.173573975044563,56,-0.583821133924812,24,"Pole Rad51c Eme1 Rmi2 Fignl1 Brca1 Bard1 Exo1 Pole2 Xrcc3 Xrcc2 Brip1 Rbbp8 Rad51 Rad51ap1 Pcna Polk Pold3 Rfc4 Gen1 Dna2 Palb2 Rpa3 Rpa2"
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",-1.55620622367526,0.00243875401840151,0.173573975044563,110,-0.502886980945067,36,"Cenpk Nuf2 Zwilch Sgo1 Cdca5 Cdk1 Cenpt Spc24 Cenpu Cenpl Cenph Cenpi Aurkb Kntc1 Sgo2a Ndc80 Ercc6l Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Spc25 Hdac8 Tuba1b Cenpm Ska2 Cdca8 Kif2c Dsn1 Ppp2r1b Rangap1 Mis12 Ppp2r5d Ska1"
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",1.92685370957352,0.00248257965306603,0.173573975044563,11,0.79238622375461,5,"Cyp7b1 Amacr Rxra Akr1c13 Hsd3b7"
"REACTOME_BASIGIN_INTERACTIONS",-1.71843264359738,0.00324203471144094,0.189890604527255,14,-0.773696094634058,2,"Itga3 Slc16a3"
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",1.87382799045337,0.00308738139482699,0.189890604527255,18,0.674071026330374,5,"Cyp7b1 Amacr Rxra Akr1c13 Hsd3b7"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",-1.67522404657435,0.00372920252438325,0.191121629374641,15,-0.741901834637101,2,"Igkv2-109 Iglc1"
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",1.8956133804352,0.00362639409411769,0.191121629374641,11,0.779539163123192,6,"Met Arhgap35 Arhgef12 Rras Rhob Arhgef11"
"REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES",-1.67172801841928,0.00400220811482197,0.193047685538472,21,-0.690809327674269,4,"S100a8 Noxo1 S100a9 Prkcz"
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",-1.65174823089909,0.00430049724499395,0.195911541160836,26,-0.657517134727354,3,"Igkv2-109 Iglc1 Lcp2"
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",-1.51650519516735,0.00489487150962287,0.200689731894538,106,-0.492136974289867,34,"Cenpk Nuf2 Zwilch Sgo1 Cenpt Spc24 Cenpu Cenpl Cenph Cenpi Aurkb Kntc1 Sgo2a Ndc80 Ercc6l Cenps Pmf1 Cenpe Incenp Cenpn Cenpp Spc25 Cenpm Ska2 Cdca8 Kif2c Ube2d1 Dsn1 Ppp2r1b Rangap1 Mis12 Cdc27 Ppp2r5d Ska1"
"REACTOME_S_PHASE",-1.49008313167464,0.00478156922408172,0.200689731894538,130,-0.473917575803226,54,"Orc1 Pole Esco2 Cdca5 Gins1 Ccne1 Pole2 Gins2 Cdt1 Cdc25b Prim1 Lig1 Prim2 Mcm5 Pola1 Orc6 Mcm3 Pcna Cdkn1a Pold3 Ccnh Mcm2 Cdk2 Gins4 Rfc4 Dna2 Cdc25a Rpa3 Ube2d1 Rpa2 Cdc27 Ccna2 Orc2 Cks1b Cdk4 Pds5b Pold1 Smc1a Mcm4 Wapl Adrm1 Rfc5 Orc3 Fen1 Cdc16 Anapc7 Mcm7 Cdc6 Gmnn Psmb7 Anapc2 Akt3 Psma5 Psmd12"
"REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE",-1.63931149945777,0.00537562155624244,0.209905222672324,26,-0.652566402000841,13,"Rad51c Rmi2 Brca1 Bard1 Exo1 Xrcc3 Xrcc2 Brip1 Rbbp8 Rad51 Rad51ap1 Dna2 Palb2"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",-1.61548459676897,0.00628930817610063,0.224227508887066,32,-0.620462901025075,18,"Orc1 Pole Pole2 Cdt1 Prim1 Cdc45 Prim2 Mcm5 Pola1 Mcm10 Orc6 Mcm3 Mcm2 Cdk2 Rpa3 Rpa2 Orc2 Cdc7"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",-1.50771309844524,0.00603369763205829,0.224227508887066,89,-0.498716116523285,7,"Igkv2-109 Rasgrp3 Rasgrp1 Cd79a Iglc1 Cd22 Cd19"
"REACTOME_COMPLEMENT_CASCADE",-1.63045294189419,0.00748799095789771,0.245606103419045,17,-0.70453320803721,10,"Igkv2-109 C1qb Iglc1 Cd81 C2 Cd19 C1qa Cd59b Cd55 Masp2"
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",-1.48234771651563,0.0074024969616617,0.245606103419045,115,-0.477256963902433,35,"Orc1 E2f2 Pole Ccne1 Lin9 Pole2 Cdt1 Lin52 Prim1 Cdc45 Prim2 Mcm5 Pola1 Mcm10 Orc6 Mcm3 Ccnd3 Cdkn1a E2f1 Ppp2r2a Ccnh Mcm2 Cdk2 Cdkn1c Ppp2r3d Cdc25a Rpa3 Ppp2r1b Rpa2 Ccna2 Orc2 Cdc7 Cks1b Tfdp1 Cdk4"
