"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",2.01894392702858,2.51728598336276e-17,1.06430851376577e-13,434,0.421880787180191,216,"Srpk3 Mrm1 Rpp40 Rpusd3 Utp25 Rcc1l Wdr12 Cdkn2a Spout1 Rrp15 Mdn1 Mybbp1a Wdr74 Rrp1b Gemin6 Isg20 Exosc8 Wdr77 Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Srpk1 Nat10 Pwp2 Ercc2 Gtpbp10 Rrp9 Gar1 Rpp38 Srpk2 Pa2g4 C1qbp Ddx28 Tsr2 Nob1 Celf4 Gemin5 Tbl3 Mrto4 Mrm3 Nop56 Ago2 LTO1 Rcl1 Npm3 Nip7 Atm Gemin4 Surf6 Pop7 Ddx51 Imp4 Snrpf Ppan Ddx10 Ddx21 Gtf3a Dis3 Exosc5 Noa1 Hsp90aa1 Npm1 Rpusd2 Nop58 Rpsa Riok2 Znhit6 Rpl14 Nop16 Gemin2 Nol8 Xrcc5 Wdr55 Cinp Nol11 Htatsf1 Isy1 Exosc9 Ran Setx Pelp1 Ncl Brix1 Abt1 Snrpg Luc7l3 Gtpbp6 Eri1 Rps6 Prpf31 Sf3a1 Mtif2 Srsf6 Rps5 Rps12 Rps19 Tma16 Lsm6 Gcfc2 Rplp0 Suv39h1 Prmt5 Bop1 Luc7l Atr Pdcd11 Nol6 Tsr3 Eif3b Rps8 Noc4l Eif6 Ptges3 Zfp593 Snrpd1 Wdr46 Ythdf2 Eif1ax Rps25 Wdr36 Nop14 Rps23 Sf3a3 Drosha Scaf11 Eif3a Pes1 Lsm4 Mcts1 Ago4 Ddx55 Ddx56 Eif3g Snrpd2 Ybey Smn1 Hsp90ab1 Rps28 Eif3i Bysl Usp39 Noc2l Utp3 Rpl7l1 Lyar Rpl35 Rps4x Exosc3 Nom1 Snu13 Riox2 Krr1 Rpl24 Exosc1 Rpl7a Rps17 Tfb2m Mrm2 Mcat Wdr43 U2af2 Yju2 Tssc4 Ddx18 Ak6 Rps7 Ddx31 Rrp7a Rrs1 Rps27a Eif2s3y Rpl26 Prpf19 Heatr3 Myg1 Rbmx Rsrp1 Rbfa Malsu1 Srsf1 Ndufab1 Eif3d Rps15a Nmd3 Rps21 Rps27l Wbp11 Riox1 Rbm34 Rps9 Pno1 Rpl5 Sart3 Sart1 Fastkd2 Znhit3 Rps15 Rps11 Rpl13a Rps3a1 Nop10 Rpl7 Coil Ddx49 Usp36 Nufip1 Utp14a Imp3"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION",2.46549253169713,4.94336828133186e-14,8.83605124306735e-11,146,0.567389400310857,58,"Cdc7 Tonsl Cdc6 Ccne1 Pole Timeless Cdt1 Xrcc3 Prim1 E2f8 Dna2 Pola1 Rtel1 Nbn Exo1 Polq Mcm2 Mcm5 Mcm3 Blm Bard1 Atad5 Mcm7 Brca2 Gins1 Lig1 Rad51 Cdc45 Mcm6 Endog Mms22l E2f7 Wdhd1 Topbp1 Rfc4 Prkdc Mcm4 Tipin Tk1 Parp1 Mcm10 Rfc5 Orc6 Brca1 Pola2 Orc5 Cenps Rrm1 Rfc3 Mus81 Gmnn Atm Pcna Wiz Rfc2 Mgme1 Fam111a Pole3"
"GOBP_RIBOSOME_BIOGENESIS",2.06179633142831,6.26966739101278e-14,8.83605124306735e-11,312,0.441750043587094,163,"Mrm1 Rpp40 Rpusd3 Utp25 Rcc1l Wdr12 Cdkn2a Spout1 Rrp15 Mdn1 Mybbp1a Wdr74 Rrp1b Isg20 Exosc8 Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Nat10 Pwp2 Ercc2 Gtpbp10 Rrp9 Gar1 Rpp38 Pa2g4 C1qbp Ddx28 Tsr2 Nob1 Tbl3 Mrto4 Mrm3 Nop56 LTO1 Rcl1 Npm3 Nip7 Gemin4 Surf6 Pop7 Ddx51 Imp4 Ppan Ddx10 Ddx21 Gtf3a Dis3 Exosc5 Noa1 Npm1 Rpusd2 Nop58 Rpsa Riok2 Znhit6 Rpl14 Nop16 Nol8 Xrcc5 Wdr55 Cinp Nol11 Exosc9 Ran Pelp1 Ncl Brix1 Abt1 Gtpbp6 Eri1 Rps6 Rps5 Rps12 Rps19 Tma16 Lsm6 Rplp0 Suv39h1 Bop1 Pdcd11 Nol6 Tsr3 Rps8 Noc4l Eif6 Zfp593 Wdr46 Ythdf2 Eif1ax Rps25 Wdr36 Nop14 Rps23 Drosha Pes1 Ddx55 Ddx56 Ybey Rps28 Bysl Noc2l Utp3 Rpl7l1 Lyar Rpl35 Rps4x Exosc3 Nom1 Snu13 Riox2 Krr1 Rpl24 Exosc1 Rpl7a Rps17 Tfb2m Mrm2 Mcat Wdr43 Ddx18 Ak6 Rps7 Ddx31 Rrp7a Rrs1 Rps27a Rpl26 Heatr3 Myg1 Rbfa Malsu1 Ndufab1 Rps15a Nmd3 Rps21 Rps27l Wbp11 Riox1 Rbm34 Rps9 Pno1 Rpl5 Sart1 Fastkd2 Znhit3 Rps15 Rps11 Rps3a1 Nop10 Rpl7 Ddx49 Usp36 Utp14a Imp3"
"GOBP_DNA_REPLICATION",2.13788027346678,2.13603430508323e-13,2.25778826047298e-10,262,0.459928963556914,90,"Cdc7 Tonsl Cdc6 Ccne1 Pole Timeless Chtf18 Cdt1 Xrcc3 Esco2 Prim1 E2f8 Dna2 Pola1 Rtel1 Mcm8 Nbn Dtl Exo1 Recql4 Stn1 Polq Mcm2 Pclaf Mcm5 Mcm3 Blm Bard1 Atad5 Mcm7 Rmi2 Brca2 Gins1 Rpa1 Lig1 Nasp Rad51 Cdc45 Mcm6 Endog Mms22l E2f7 Wdhd1 Topbp1 Rfc4 Prkdc Mcm4 Tipin Tk1 Parp1 Mcm10 Rfc5 Orc6 Usp37 Faap20 Rpa2 Brca1 Pola2 Orc5 Cenps Rrm1 Rfc3 Mus81 Chaf1a Gmnn Fen1 Atm Gins2 Pcna Poli Rad18 Fhit Wiz Rfc2 Mgme1 Fam111a Pole3 Npm1 Ctc1 Jade2 Jade1 Kctd13 Smc3 Pold1 Zmpste24 Mad2l2 Cinp Etaa1 Rpa3 Dscc1"
"GOBP_RRNA_PROCESSING",2.04434934135231,1.70412032611658e-10,1.44100414776418e-07,215,0.450254940767393,100,"Mrm1 Rpp40 Rpusd3 Utp25 Wdr12 Cdkn2a Spout1 Rrp15 Wdr74 Rrp1b Isg20 Exosc8 Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Nat10 Pwp2 Ercc2 Rrp9 Gar1 Rpp38 Pa2g4 Tsr2 Nob1 Tbl3 Mrto4 Mrm3 Rcl1 Npm3 Gemin4 Pop7 Ddx51 Imp4 Ppan Ddx10 Ddx21 Dis3 Exosc5 Npm1 Rpusd2 Riok2 Znhit6 Rpl14 Nol8 Wdr55 Nol11 Exosc9 Pelp1 Ncl Brix1 Abt1 Eri1 Rps6 Rps19 Lsm6 Suv39h1 Bop1 Pdcd11 Nol6 Tsr3 Rps8 Eif6 Wdr46 Ythdf2 Rps25 Wdr36 Nop14 Drosha Pes1 Ddx55 Ddx56 Ybey Rps28 Bysl Utp3 Rpl7l1 Lyar Rpl35 Exosc3 Snu13 Krr1 Exosc1 Rpl7a Rps17 Tfb2m Mrm2 Wdr43 Ddx18 Ak6 Rps7 Rrp7a Rrs1"
"GOBP_RRNA_METABOLIC_PROCESS",1.96747462220196,3.09260618859567e-10,2.17925649423041e-07,250,0.425300584626394,131,"Myc Mrm1 Rpp40 Rpusd3 Utp25 Ang Slfn9 Wdr12 Cdkn2a Spout1 Rrp15 Wdr74 Rrp1b Isg20 Exosc8 Polr1b Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Polr1a Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Nat10 Pwp2 Ercc2 Rrp9 Gar1 Rpp38 Pa2g4 Tsr2 Nob1 Tbl3 Mrto4 Mrm3 Rcl1 Npm3 Gemin4 Pop7 Ddx51 Imp4 Ppan Ddx10 Ddx21 Dis3 Exosc5 Npm1 Rpusd2 Riok2 Znhit6 Rpl14 Nol8 Wdr55 Nol11 Exosc9 Pelp1 Ncl Brix1 Abt1 Eri1 Rps6 Rps19 Taf1b Lsm6 Suv39h1 Bop1 Pdcd11 Nol6 Tsr3 Polr1e Rps8 Smarcb1 Eif6 Wdr46 Ythdf2 Rps25 Wdr36 Nop14 Drosha Pes1 Ddx55 Ddx56 Ybey Polr1c Rps28 Bysl Utp3 Rpl7l1 Lyar Rpl35 Exosc3 Snu13 Krr1 Exosc1 Rpl7a Rps17 Tfb2m Mrm2 Wdr43 Ddx18 Ak6 Rps7 Rrp7a Rrs1 Polr2e Myg1 Rbfa Polr2f Rps21 Wbp11 Polr2h Rbm34 Ercc6 Rpl5 Gtf3c1 Sart1 Znhit3 Rps15 Nop10 Slfn2 Rpl7 Polr2l Ddx49 Usp36 Utp14a Imp3"
"GOBP_DNA_REPLICATION_INITIATION",2.61586830798815,6.10134062866461e-10,3.68520973971343e-07,31,0.799573650495302,18,"Cdc6 Ccne1 Cdt1 Prim1 Pola1 Mcm2 Mcm5 Mcm3 Mcm7 Cdc45 Mcm6 Topbp1 Mcm4 Mcm10 Orc6 Pola2 Orc5 Gmnn"
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",2.11742541283547,2.90295095395489e-08,1.53420957916516e-05,110,0.507827728358914,65,"Rpp40 Utp25 Rcc1l Dimt1 Prkdc Utp20 Tsr1 Fbl Srfbp1 Nat10 Pwp2 Ercc2 Rrp9 Tsr2 Nob1 Tbl3 Nop56 Rcl1 Surf6 Imp4 Noa1 Npm1 Nop58 Rpsa Riok2 Xrcc5 Nol11 Abt1 Rps6 Rps5 Rps12 Rps19 Lsm6 Nol6 Tsr3 Rps8 Wdr46 Rps25 Wdr36 Nop14 Rps23 Rps28 Bysl Utp3 Rps4x Nom1 Snu13 Krr1 Rps17 Mcat Wdr43 Ak6 Rps7 Rrp7a Rrs1 Rps27a Rbfa Rps15a Rps21 Rps27l Rps9 Pno1 Rps15 Rps11 Rps3a1"
"GOBP_TRANSLATION_AT_SYNAPSE",2.32123844687614,3.0023247800656e-07,0.000141042546334637,48,0.641923324866805,42,"Rpl12 Rpl14 Rpl36a Rpl10a Rps26 Rps5 Rps12 Rpl37 Rpl10 Rplp2 Rpl32 Rpl4 Rpl28 Rpl23a Rps28 Rpl35 Rpl15 Rpl6 Rpl8 Rpl24 Rpl23 Rpl7a Rpl27a Rps27a Rpl26 Rpl29 Rpl13 Rps15a Rpl5 Rpl17 Rps11 Rpl13a Rpl7 Rpl22 Rpl36 Rps16 Rpl35a Rps14 Rps10 Rpl34 Rpl27 Rps24"
"GOBP_CELL_CYCLE_DNA_REPLICATION",2.34347824546186,4.92860844685333e-07,0.000208381565132959,39,0.679748284628735,23,"Cdc7 Cdt1 E2f8 Dna2 Pola1 Rtel1 Mcm2 Mcm5 Mcm3 Atad5 Mcm7 Brca2 Gins1 Lig1 Rad51 Cdc45 Mcm6 E2f7 Mcm4 Tk1 Gmnn Pcna Wiz"
