"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",2.00111741618827,6.79947697049984e-15,2.87005922924798e-11,393,0.417090705849517,169,"Srpk3 Mrm1 Rpp40 Rpusd3 Utp25 Rcc1l Wdr12 Cdkn2a Spout1 Rrp15 Mdn1 Mybbp1a Wdr74 Rrp1b Gemin6 Isg20 Exosc8 Wdr77 Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Srpk1 Nat10 Pwp2 Ercc2 Gtpbp10 Rrp9 Gar1 Rpp38 Srpk2 Pa2g4 C1qbp Ddx28 Tsr2 Nob1 Celf4 Gemin5 Tbl3 Mrto4 Mrm3 Nop56 Ago2 LTO1 Rcl1 Npm3 Nip7 Atm Gemin4 Surf6 Pop7 Ddx51 Imp4 Snrpf Ppan Ddx10 Ddx21 Gtf3a Dis3 Exosc5 Noa1 Hsp90aa1 Npm1 Rpusd2 Nop58 Riok2 Znhit6 Nop16 Gemin2 Nol8 Xrcc5 Wdr55 Cinp Nol11 Htatsf1 Isy1 Exosc9 Ran Setx Pelp1 Ncl Brix1 Abt1 Snrpg Luc7l3 Gtpbp6 Eri1 Prpf31 Sf3a1 Mtif2 Srsf6 Tma16 Lsm6 Gcfc2 Suv39h1 Prmt5 Bop1 Luc7l Atr Pdcd11 Nol6 Tsr3 Eif3b Noc4l Eif6 Ptges3 Zfp593 Snrpd1 Wdr46 Ythdf2 Eif1ax Wdr36 Nop14 Sf3a3 Drosha Scaf11 Eif3a Pes1 Lsm4 Mcts1 Ago4 Ddx55 Ddx56 Eif3g Snrpd2 Ybey Smn1 Hsp90ab1 Eif3i Bysl Usp39 Noc2l Utp3 Lyar Exosc3 Nom1 Snu13 Riox2 Krr1 Exosc1 Tfb2m Mrm2 Mcat Wdr43 U2af2 Yju2 Tssc4 Ddx18 Ak6 Ddx31 Rrp7a Rrs1 Eif2s3y Prpf19 Heatr3 Myg1 Rbmx Rsrp1 Rbfa Malsu1 Srsf1 Ndufab1"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION",2.46887100620369,8.59114464815656e-14,1.81316107799344e-10,146,0.5670301300418,61,"Cdc7 Tonsl Cdc6 Ccne1 Pole Timeless Cdt1 Xrcc3 Prim1 E2f8 Dna2 Pola1 Rtel1 Nbn Exo1 Polq Mcm2 Mcm5 Mcm3 Blm Bard1 Atad5 Mcm7 Brca2 Gins1 Lig1 Rad51 Cdc45 Mcm6 Endog Mms22l E2f7 Wdhd1 Topbp1 Rfc4 Prkdc Mcm4 Tipin Tk1 Parp1 Mcm10 Rfc5 Orc6 Brca1 Pola2 Orc5 Cenps Rrm1 Rfc3 Mus81 Gmnn Atm Pcna Wiz Rfc2 Mgme1 Fam111a Pole3 Pold1 Zmpste24 Etaa1"
"GOBP_DNA_REPLICATION",2.13583973887907,2.30256035620577e-13,3.23970242118152e-10,262,0.459787906071661,90,"Cdc7 Tonsl Cdc6 Ccne1 Pole Timeless Chtf18 Cdt1 Xrcc3 Esco2 Prim1 E2f8 Dna2 Pola1 Rtel1 Mcm8 Nbn Dtl Exo1 Recql4 Stn1 Polq Mcm2 Pclaf Mcm5 Mcm3 Blm Bard1 Atad5 Mcm7 Rmi2 Brca2 Gins1 Rpa1 Lig1 Nasp Rad51 Cdc45 Mcm6 Endog Mms22l E2f7 Wdhd1 Topbp1 Rfc4 Prkdc Mcm4 Tipin Tk1 Parp1 Mcm10 Rfc5 Orc6 Usp37 Faap20 Rpa2 Brca1 Pola2 Orc5 Cenps Rrm1 Rfc3 Mus81 Chaf1a Gmnn Fen1 Atm Gins2 Pcna Poli Rad18 Fhit Wiz Rfc2 Mgme1 Fam111a Pole3 Npm1 Ctc1 Jade2 Jade1 Kctd13 Smc3 Pold1 Zmpste24 Mad2l2 Cinp Etaa1 Rpa3 Dscc1"
"GOBP_RIBOSOME_BIOGENESIS",2.04064162486324,4.05491117797596e-12,4.27894502055913e-09,272,0.436822995709389,116,"Mrm1 Rpp40 Rpusd3 Utp25 Rcc1l Wdr12 Cdkn2a Spout1 Rrp15 Mdn1 Mybbp1a Wdr74 Rrp1b Isg20 Exosc8 Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Nat10 Pwp2 Ercc2 Gtpbp10 Rrp9 Gar1 Rpp38 Pa2g4 C1qbp Ddx28 Tsr2 Nob1 Tbl3 Mrto4 Mrm3 Nop56 LTO1 Rcl1 Npm3 Nip7 Gemin4 Surf6 Pop7 Ddx51 Imp4 Ppan Ddx10 Ddx21 Gtf3a Dis3 Exosc5 Noa1 Npm1 Rpusd2 Nop58 Riok2 Znhit6 Nop16 Nol8 Xrcc5 Wdr55 Cinp Nol11 Exosc9 Ran Pelp1 Ncl Brix1 Abt1 Gtpbp6 Eri1 Tma16 Lsm6 Suv39h1 Bop1 Pdcd11 Nol6 Tsr3 Noc4l Eif6 Zfp593 Wdr46 Ythdf2 Eif1ax Wdr36 Nop14 Drosha Pes1 Ddx55 Ddx56 Ybey Bysl Noc2l Utp3 Lyar Exosc3 Nom1 Snu13 Riox2 Krr1 Exosc1 Tfb2m Mrm2 Mcat Wdr43 Ddx18 Ak6 Ddx31 Rrp7a Rrs1"
"GOBP_DNA_REPLICATION_INITIATION",2.60916961312043,3.94320180297135e-10,3.32885096206841e-07,31,0.79907934414464,18,"Cdc6 Ccne1 Cdt1 Prim1 Pola1 Mcm2 Mcm5 Mcm3 Mcm7 Cdc45 Mcm6 Topbp1 Mcm4 Mcm10 Orc6 Pola2 Orc5 Gmnn"
"GOBP_RRNA_METABOLIC_PROCESS",1.96993075167081,5.37641829633043e-10,3.78231027146845e-07,228,0.428500672010274,84,"Myc Mrm1 Rpp40 Rpusd3 Utp25 Ang Slfn9 Wdr12 Cdkn2a Spout1 Rrp15 Wdr74 Rrp1b Isg20 Exosc8 Polr1b Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Polr1a Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Nat10 Pwp2 Ercc2 Rrp9 Gar1 Rpp38 Pa2g4 Tsr2 Nob1 Tbl3 Mrto4 Mrm3 Rcl1 Npm3 Gemin4 Pop7 Ddx51 Imp4 Ppan Ddx10 Ddx21 Dis3 Exosc5 Npm1 Rpusd2 Riok2 Znhit6 Nol8 Wdr55 Nol11 Exosc9 Pelp1 Ncl Brix1 Abt1 Eri1 Taf1b Lsm6 Suv39h1 Bop1 Pdcd11 Nol6 Tsr3 Polr1e Smarcb1 Eif6 Wdr46 Ythdf2 Wdr36 Nop14 Drosha Pes1 Ddx55 Ddx56 Ybey Polr1c"
"GOBP_RRNA_PROCESSING",2.03347052935458,1.42538286629002e-09,8.5950586837288e-07,193,0.452574827819685,89,"Mrm1 Rpp40 Rpusd3 Utp25 Wdr12 Cdkn2a Spout1 Rrp15 Wdr74 Rrp1b Isg20 Exosc8 Nhp2 Dimt1 Prkdc Utp20 Ftsj3 Tsr1 Fbl Exosc2 Dkc1 Nop2 Srfbp1 Nat10 Pwp2 Ercc2 Rrp9 Gar1 Rpp38 Pa2g4 Tsr2 Nob1 Tbl3 Mrto4 Mrm3 Rcl1 Npm3 Gemin4 Pop7 Ddx51 Imp4 Ppan Ddx10 Ddx21 Dis3 Exosc5 Npm1 Rpusd2 Riok2 Znhit6 Nol8 Wdr55 Nol11 Exosc9 Pelp1 Ncl Brix1 Abt1 Eri1 Lsm6 Suv39h1 Bop1 Pdcd11 Nol6 Tsr3 Eif6 Wdr46 Ythdf2 Wdr36 Nop14 Drosha Pes1 Ddx55 Ddx56 Ybey Bysl Utp3 Lyar Exosc3 Snu13 Krr1 Exosc1 Tfb2m Mrm2 Wdr43 Ddx18 Ak6 Rrp7a Rrs1"
"GOBP_CELL_CYCLE_DNA_REPLICATION",2.33609240897774,4.24248458991111e-07,0.000223844093175185,39,0.67921207368183,23,"Cdc7 Cdt1 E2f8 Dna2 Pola1 Rtel1 Mcm2 Mcm5 Mcm3 Atad5 Mcm7 Brca2 Gins1 Lig1 Rad51 Cdc45 Mcm6 E2f7 Mcm4 Tk1 Gmnn Pcna Wiz"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY",2.18623325967317,8.06097871147684e-07,0.000378059901568264,61,0.582910390139337,29,"Tonsl Pole Timeless Xrcc3 Dna2 Rtel1 Nbn Exo1 Polq Blm Bard1 Brca2 Rad51 Mms22l Prkdc Tipin Parp1 Brca1 Cenps Mus81 Atm Pcna Fam111a Pold1 Etaa1 Carm1 Recql Atr Donson"
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",2.06319752725931,2.33267567308459e-06,0.000984622401609006,83,0.514882212126447,43,"Rpp40 Utp25 Rcc1l Dimt1 Prkdc Utp20 Tsr1 Fbl Srfbp1 Nat10 Pwp2 Ercc2 Rrp9 Tsr2 Nob1 Tbl3 Nop56 Rcl1 Surf6 Imp4 Noa1 Npm1 Nop58 Riok2 Xrcc5 Nol11 Abt1 Lsm6 Nol6 Tsr3 Wdr46 Wdr36 Nop14 Bysl Utp3 Nom1 Snu13 Krr1 Mcat Wdr43 Ak6 Rrp7a Rrs1"
"GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION",1.71025333501139,6.4691242664828e-06,0.00248237941171126,179,0.383214989960474,77,"Srpk3 Rcc1l Mdn1 Gemin6 Wdr77 Prkdc Dkc1 Nop2 Srpk1 Pwp2 Gtpbp10 Srpk2 Ddx28 Celf4 Gemin5 Mrto4 Mrm3 Ago2 Atm Gemin4 Snrpf Noa1 Hsp90aa1 Znhit6 Gemin2 Xrcc5 Htatsf1 Dyrk3 Isy1 Setx Brix1 Abt1 Snrpg Luc7l3 Gtpbp6 Prpf31 Sf3a1 Mtif2 Srsf6 Gcfc2 Prmt5 Bop1 Luc7l Atr Eif3b Eif6 Ptges3 Snrpd1 Sf3a3 Scaf11 Eif3a Lsm4 Mcts1 Ago4 Eif3g Snrpd2 Smn1 Hsp90ab1 Eif3i Usp39 Snu13 Mrm2 Mcat U2af2 Yju2 Tssc4 Rrp7a Rrs1 Eif2s3y Prpf19 Rbmx Rsrp1 Rbfa Malsu1 Srsf1 Ndufab1 Eif3d"
"GOBP_DNA_RECOMBINATION",1.52190050921991,8.16767515206685e-06,0.00267268554757446,296,0.325038933149253,61,"Zcwpw1 Cdc7 Icosl Brip1 Zgrf1 Tonsl Timeless Chtf18 Ung Shld3 Aunip Rad51b Xrcc3 Trip13 Tcf7 Chek1 Hells Hfm1 Rtel1 Mcm8 Ncaph Apex1 Nbn Exo1 Recql4 Polq Mcm2 Mcm5 Mcm3 Tep1 Blm Bard1 Atad5 Mcm7 Rmi2 Brca2 Rpa1 Lig1 Nabp1 Psmc3ip Rad51 Cdc45 Mcm6 Mms22l Topbp1 Prkdc Mcm4 Parp1 Ercc2 Batf C1qbp Rpa2 Helq Brca1 Tfrc Cenps Rnf168 Nsmce1 Rad54b Mus81 Fignl1"
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",2.07599727434211,8.23144091885049e-06,0.00267268554757446,60,0.55536827661446,37,"Rcc1l Wdr12 Rrp15 Mdn1 Wdr74 Ftsj3 Nop2 Gtpbp10 Ddx28 Mrto4 Mrm3 LTO1 Nip7 Surf6 Ppan Gtf3a Npm1 Znhit6 Nop16 Cinp Brix1 Gtpbp6 Tma16 Bop1 Eif6 Pes1 Ddx55 Noc2l Mrm2 Ddx18 Rrs1 Heatr3 Malsu1 Ndufab1 Rbm34 Fastkd2 Znhit3"
"GOBP_RECOMBINATIONAL_REPAIR",1.73061174968285,1.3900533787879e-05,0.00419101093704551,177,0.387544508676561,51,"Cdc7 Zgrf1 Tonsl Timeless Shld3 Aunip Rad51b Xrcc3 Chek1 Hells Rtel1 Mcm8 Nbn Recql4 Polq Mcm2 Mcm5 Mcm3 Blm Mcm7 Rmi2 Brca2 Rpa1 Nabp1 Rad51 Cdc45 Mcm6 Mms22l Topbp1 Prkdc Mcm4 Parp1 C1qbp Rpa2 Helq Brca1 Nsmce1 Rad54b Mus81 Fignl1 Atm Gins2 Epc2 Prmt1 Ubqln4 Rad54l Xrcc5 Ercc4 Mad2l2 Htatsf1 Rpa3"
"GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION",2.18991670165001,1.66678410328305e-05,0.00469033046663851,14,0.822713280754469,11,"Pole Dna2 Pola1 Mcm3 Mcm7 Gins1 Lig1 Mcm4 Rfc3 Pcna Pole3"
"GOBP_WOUND_HEALING",-1.63198103547301,3.3764075771246e-05,0.00890738523940185,231,-0.457098376282499,59,"Cldn4 Src Hmox1 Igf1 Axl Ccm2l Ppl F5 Enpp4 Cd44 Cd34 F2rl2 Dst F11r Rhoc Apoe Plek Ajuba Gas6 Fzd6 Pear1 Fcer1g F13a1 Cd9 Slc12a2 Prkcq S100a9 Il6ra Arhgap24 F2rl3 Prrg4 Plec Plaur Mmrn1 Kdr Pak1 Rab27a Srf Ccdc92 Prf1 Sytl4 Ano6 Slc7a11 Selp Tnfrsf12a Ptprj Mtor Gp9 Ptger4 Jaml Pik3cb Itgb5 Arhgap35 Thbd Entpd1 Vps33b Ctsg Abcg2 Adgrg1"
"GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY",-1.92895321972259,4.40091110743767e-05,0.0104264336811754,40,-0.671809205918039,9,"Dnase1l3 Dnase1 Cd300a Hmox1 Ighg2b Pld2 Tyrobp Fcer1g Fgr"
"GOBP_RESPONSE_TO_INTERFERON_BETA",1.98398900599327,4.44624037576775e-05,0.0104264336811754,61,0.52898646583054,32,"Ifi208 Gm5431 Ifitm1 Tgtp1 Oas1g F830016B08Rik Iigp1 Capn2 Gbp6 9930111J21Rik1 Gbp2 Ifit3 Aim2 Htra2 Ifi204 Gm4841 Gbp7 Tgtp2 Ikbke Shfl Irgm2 Ifi211 Gm12185 Gbp3 Ifitm2 Ifitm3 Ifi206 Pnpt1 Irgm1 Camk2a Ddx41 Ifi203"
