"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HALLMARK_E2F_TARGETS",2.42720163848246,1.15526409107139e-16,5.77632045535696e-15,195,0.543049439618356,99,"Myc Ccne1 Pole Timeless Wdr90 Ung Shmt1 Cit Trip13 Diaph3 E2f8 Chek1 Cdkn2a Hells Stmn1 Nbn Mcm2 Mcm5 Mcm3 Bard1 Mcm7 Brca2 Gins1 Dnmt1 Nme1 Rpa1 Lig1 Psmc3ip Nasp Exosc8 Mcm6 Tbrg4 Mms22l Dut Ccp110 Dctpp1 Prkdc Mcm4 Tipin Tk1 Ncapd2 Atad2 Orc6 Tcf19 Pa2g4 Cenpm Plk4 Rpa2 Brca1 Pola2 Cbx5 Tfrc Cdk4 Ube2t Rfc3 Cdc25a Nop56 Mthfd2 Nap1l1 Hmgb3 Pcna Espl1 Pop7 Cks1b Ranbp1 Slbp Rfc2 Tubg1 Ak2 Nup205 Usp1 Smc3 Trp53 Cdkn2c Cks2 Pold1 Rpa3 Dscc1 Ran Mybl2 Luc7l3 Lmnb1 Msh2 Spc24 Pole4 Suv39h1 Paics Donson Tra2b Syncrip Spag5 Rad51ap1 Rfc1 Hnrnpd Pnn Nudt21 Bub1b Asf1b Ppm1d"
"HALLMARK_MYC_TARGETS_V1",2.4460124262478,5.19801691618842e-16,1.2995042290471e-14,185,0.549816089048961,100,"Myc Cad Hddc2 Apex1 Mcm2 Mcm5 Mcm7 Nme1 Nhp2 Cdc45 Mcm6 Dut Srm Rfc4 Mcm4 Fbl Gnl3 Tyms Impdh2 Srpk1 Rrp9 Pa2g4 Trim28 C1qbp Cdk4 Rps2 Mrpl23 Rrm1 Nop56 Nap1l1 Pcna Tfdp1 Ranbp1 Ddx21 Pole3 Npm1 Kpnb1 Rpl14 Nop16 Usp1 Eef1b2 Srsf7 Ran Sf3b3 Hdgf Snrpg Rps6 Prpf31 Sf3a1 Rps5 Cct3 Eif4a1 Ilf2 Rplp0 G3bp1 Ncbp2 Psmc6 Rack1 Tra2b Syncrip Rps3 Eif3b Hnrnpd Ppia Snrpd1 Pabpc1 Cct5 Snrpa Rnps1 Snrpd2 Hspe1 Rsl1d1 Hsp90ab1 Cnbp Nolc1 Acp1 Cops5 Cct2 Smarcc1 Hdac2 Phb2 Eif2s1 Rpl6 Hnrnpu Gspt1 Tardbp Srsf2 Ldha Ddx18 Ube2e1 Eif4e Psmb3 Hspd1 Mrps18b Pabpc4 Cul1 Srsf1 Ndufab1 Odc1 Eif3d"
"HALLMARK_MYC_TARGETS_V2",2.54942325528134,2.06444519989029e-10,3.44074199981716e-09,57,0.684354127576316,33,"Myc Tmem97 Rrp12 Ung Pprc1 Hk2 Slc19a1 Mybbp1a Mcm5 Wdr74 Tbrg4 Srm Dctpp1 Mcm4 Utp20 Gnl3 Nop2 Rrp9 Pus1 Pa2g4 Plk4 Prmt3 Cdk4 Mrto4 Nop56 Rcl1 Nip7 Ndufaf4 Imp4 Ppan Exosc5 Npm1 Nop16"
"HALLMARK_APICAL_JUNCTION",-1.8982308609325,2.49404999211662e-06,3.11756249014578e-05,114,-0.568216102250139,31,"Grb7 Cldn4 Src Lima1 Atp1a3 Bmp1 Sdc3 Layn Cd34 Inppl1 Nrtn Sgce Nrxn2 Nexn Itgb4 Cd274 Itga10 Rhof Crat Nectin3 Mvd Mdk Rras Vcl Ldlrap1 Sirpa Mapk14 Cdh15 Adam9 Tmem8b Actn1"
"HALLMARK_COMPLEMENT",-1.55357662381079,0.00205315387247633,0.0205315387247633,129,-0.459142104529869,25,"Src Lgals3 Ccl5 C1qa F5 Cr2 C1qc Timp2 Lcp2 Gca Ctsl Plek Prep Ctsh Gata3 Fcer1g Casp4 S100a9 Rbsn Plaur Hspa1a Cpm Itgam Cpq Tnfaip3"
"HALLMARK_DNA_REPAIR",1.40348094197151,0.00510637939919173,0.0364741385656552,139,0.324685897130451,47,"Nme4 Pnp Prim1 Pola1 Snapc4 Nme1 Lig1 Rad51 Dut Rfc4 Tyms Impdh2 Rfc5 Ercc2 Zfp707 Aaas Rpa2 Umps Pola2 Aprt Rfc3 Fen1 Pcna Ddb2 Sac3d1 Alyref Rfc2 Trp53 Pold1 Ercc4 Rpa3 Guk1 Srsf6 Usp11 Pole4 Xpc Gtf2f1 Ncbp2 Gmpr2 Ada Nudt21 Polr2j Nt5c3 Sf3a3 Ago4 Polr1c Itpa"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.58973137687246,0.00479940930347034,0.0364741385656552,73,-0.504064987666404,33,"Bmp1 Lrrc15 Basp1 Cd44 Nid2 Dst Fstl3 Fas Serpinh1 Sntb1 Plaur Glipr1 Plod2 Rhob Magee1 Tnfaip3 Gadd45b Tnfrsf12a Tgfbr3 Capg Ecm1 Itgb5 Col7a1 Col1a1 Qsox1 Thy1 Cdh11 Sgcb Gadd45a Plod1 Il15 Gem Sdc4"
"HALLMARK_XENOBIOTIC_METABOLISM",-1.46640425989403,0.00987824488858259,0.0617390305536412,122,-0.435230857309343,36,"Hmox1 Igf1 Enpep Tdo2 Abcd2 Smox Gsr Ttpa Fas Abcc3 Apoe Bcat1 Ephx1 Upb1 Ninj1 Abhd6 Slc1a5 Irf8 Acox1 Gclc Spint2 Tnfrsf1a Ptgr1 Slc35d1 Gss Gstt2 Acox3 Sertad1 Idh1 Ech1 Papss2 Epha2 Cat Alas1 Lpin2 Retsat"
"HALLMARK_ALLOGRAFT_REJECTION",-1.43880593229897,0.0116727107887579,0.0648483932708774,135,-0.423474189621235,36,"Ccr5 Cd7 Ccl5 Cd3d Tlr3 Lcp2 Cd40 Ache H2-Aa Fas Bcat1 Fcgr2b Cd2 Tlr1 Tpd52 Rpl3l Cd28 Apbb1 Cfp Acvr2a Fgr Cd74 Prkcg Cd96 H2-DMb2 Irf8 Prf1 Irf4 H2-Ob H2-Oa Capg Cd8b1 H2-DMa Stat1 Gcnt1 Thy1"
"HALLMARK_BILE_ACID_METABOLISM",-1.47448595212738,0.0213474827245805,0.0970340123844566,71,-0.468894555810506,21,"Abca5 Abcd2 Bcar3 Atxn1 Cyp39a1 Pipox Sult2b1 Abca6 Efhc1 Pex11g Nedd4 Nudt12 Phyh Pex26 Rbp1 Hsd3b7 Idh1 Slc23a2 Cat Retsat Hsd17b4"
