"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",2.67387501345736,2.93959942559579e-11,2.4428071226701e-08,36,0.791144336249379,26,"Cdc7 Cdc6 Chek1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Clspn Rpa1 Cdc45 Mcm6 Rfc4 Mcm4 Mcm10 Rfc5 Orc6 Rpa2 Orc5 Rfc3 Cdc25a Rad9b Rfc2 Rad9a Cdc25c Rpa3"
"REACTOME_G2_M_CHECKPOINTS",2.35931464920556,7.55153508029079e-11,3.13766282586082e-08,118,0.560704340411225,41,"Cdc7 Brip1 Cdc6 Dna2 Chek1 Mcm8 Nbn Exo1 Mcm2 Mcm5 Mcm3 Blm Bard1 Mcm7 Rmi2 Clspn Rpa1 Cdc45 Mcm6 Topbp1 Rfc4 Mcm4 Mcm10 Rfc5 Orc6 Rpa2 Brca1 Orc5 Rnf168 Rfc3 Cdc25a Rad9b Atm Rfc2 Gtse1 Rad9a Cdc25c Brcc3 Trp53 Pkmyt1 Rpa3"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",2.6271355436898,2.76574355671695e-10,7.66110965210595e-08,32,0.798942225387198,21,"Cdc7 Cdc6 Pole Cdt1 Prim1 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Rpa1 Cdc45 Mcm6 Mcm4 Mcm10 Orc6 Rpa2 Pola2 Orc5 Gmnn"
"REACTOME_DNA_REPLICATION",2.29932632571237,5.52359298311784e-10,1.14752644224273e-07,115,0.54744798522027,37,"Cdc7 Cdc6 Ccne1 Pole Cdt1 Prim1 Dna2 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Gins1 Rpa1 Lig1 Cdc45 Mcm6 Rfc4 Mcm4 Mcm10 Rfc5 Orc6 Rpa2 Pola2 Orc5 Rfc3 Gmnn Fen1 Gins2 Pcna Rfc2 Pole3 Kpnb1 Pold1 Rpa3 Anapc15"
"REACTOME_HOMOLOGY_DIRECTED_REPAIR",2.14426585482135,1.01389231837313e-07,1.68508903313614e-05,99,0.522905520565953,40,"Brip1 Pole Timeless Rad51b Xrcc3 Dna2 Chek1 Nbn Exo1 Polq Blm Bard1 Rmi2 Clspn Brca2 Rpa1 Rad51 Topbp1 Rfc4 Tipin Parp1 Rfc5 Rpa2 Brca1 Rnf168 Rfc3 Mus81 Fignl1 Fen1 Parp2 Rad9b Atm Pcna Rfc2 Pole3 Rad9a Brcc3 Pold1 Ercc4 Rpa3"
"REACTOME_G1_S_TRANSITION",2.14455641428427,2.67133951048622e-07,3.69980522202341e-05,91,0.528986111643263,25,"Cdc7 Cdc6 Ccne1 Pole Cdt1 Prim1 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Rpa1 Cdc45 Mcm6 Mcm4 Mcm10 Orc6 Rpa2 Pola2 Orc5 Cdk4 Cdc25a Gmnn Cks1b"
"REACTOME_DNA_REPLICATION_PRE_INITIATION",2.11702351549314,4.23260890504453e-07,4.8682271017221e-05,87,0.526002047111299,28,"Cdc7 Cdc6 Pole Cdt1 Prim1 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Rpa1 Cdc45 Mcm6 Mcm4 Mcm10 Orc6 Rpa2 Pola2 Orc5 Gmnn Pole3 Kpnb1 Rpa3 Anapc15 Pole4 Anapc11 Psmc6"
"REACTOME_DNA_STRAND_ELONGATION",2.34814645690461,4.6866205552078e-07,4.8682271017221e-05,24,0.763582996840899,17,"Prim1 Dna2 Pola1 Gins1 Rpa1 Lig1 Rfc4 Rfc5 Rpa2 Pola2 Rfc3 Fen1 Gins2 Pcna Rfc2 Pold1 Rpa3"
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS",2.31603910809954,1.36741611344113e-06,0.000126258087807731,33,0.699448616974025,20,"Chtf18 Prim1 Dna2 Pola1 Stn1 Blm Rpa1 Lig1 Rfc4 Rfc5 Rpa2 Pola2 Rfc3 Fen1 Pcna Rfc2 Ctc1 Pold1 Rpa3 Dscc1"
"REACTOME_CELL_CYCLE_CHECKPOINTS",1.67507513197168,2.61072850457005e-06,0.000216951538729771,242,0.36442332467232,63,"Cdc7 Brip1 Cdc6 Ccne1 Cenpk Dna2 Chek1 Mcm8 Nbn Exo1 Spdl1 Mcm2 Cenph Mcm5 Mcm3 Blm Bard1 Mcm7 Rmi2 Clspn Kntc1 Rpa1 Cdc45 Mcm6 Topbp1 Rfc4 Mcm4 Nup133 Mcm10 Rfc5 Rcc2 Orc6 Cenpm Rpa2 Brca1 Cenpp Orc5 Cenps Rnf168 Rfc3 Cdc25a Rad9b Atm Rfc2 Gtse1 Clasp1 Rad9a Cenpn Cdc25c Brcc3 Trp53 Kif2a Pkmyt1 Rpa3 Anapc15 Cenpt Nudc Zwilch Nup85 Ahctf1 Spc24 Ppp2r5d Nup43"
"REACTOME_CHROMOSOME_MAINTENANCE",2.0347064714464,3.03057671147053e-06,0.00022894629520291,78,0.514920814494409,32,"Cenpk Chtf18 Prim1 Dna2 Pola1 Rtel1 Stn1 Cenph Blm Rpa1 Lig1 Nhp2 Rfc4 Dkc1 Rfc5 Gar1 Cenpm Rpa2 Pola2 Cenpp Cenps Rfc3 Fen1 Pcna Rfc2 Npm1 Ctc1 Cenpn Pold1 Rpa3 Dscc1 Cenpt"
