"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"HOXC10_TARGET_GENES",-1.50867216054684,0.00620390963361817,0.713878627968338,106,-0.455687044821997,20,"Pde9a Hoxa7 Hmox1 Gm16141 Meis1 Hoxa9 Msrb3 Gm14401 Plpp3 Msh5 Rnf122 Rbpms Gm26839 Fry A930015D03Rik Rhob Mamdc4 Gm15478 Gm13421 Ttc28"
"NFATC1_TARGET_GENES",-1.28398084082291,0.017318663406683,0.713878627968338,424,-0.349501126295859,110,"Ccdc33 Spsb4 S100a4 Cr2 Adgrl4 Tnfrsf8 Nsun7 Sytl2 Erc1 Eps8l2 Trpm4 Gm26907 Zbtb7b Ctsl Plek Tiam2 Arhgap19 Tpd52 Bbs7 Gm14401 Cdkn1c Ttc8 Gm28809 Tmtc2 Sesn2 Cd9 Sult2b1 Spaca1 Zfp658 Kdm1b Apbb2 Plxna4os1 Prrg4 Ica1 Dnhd1 Tmem63b Carmil1 Ltbp4 Abcb9 Plec Inpp5a Iglc2 Pde4d Acox1 Eya1 Cenpl Fchsd1 Adcy6 Rwdd2a Nr1i3 Slc39a13 Fbxo30 Tnfaip3 Acsl4 Mob4 Fnbp1l H2-Ob Mapk14 Kbtbd7 Vps25 Slc2a9 4930555A03Rik Esco1 Srl Capn5 Cd72 Ginm1 Rad52 Polg2 Stxbp4 Zc2hc1a Snx33 Heg1 Arhgap35 Cd82 Zfp949 Rabgap1l Sec14l1 Gm15743 Evi2 Ttc39d Nptn Gm9929 Frg2f1 Cerk Ech1 Pomt1 Gas7 Ap5m1 Gem Hmmr Retsat Shc1 Eid2b Dstyk Hk1 Zfyve27 Gabarapl2 Cep250 Avl9 Dclre1c Gls Plekhn1 Cast Trim16 Toe1 Slc2a1 Dynlt3 Hint3 Pcgf3"
"SMAD6_TARGET_GENES",-1.53218815445542,0.0175215845606907,0.713878627968338,52,-0.508591761019052,10,"Grb7 Zbtb7b Cyp39a1 Tle6 Myo10 Slc25a27 Sik1 Vps37b Fbxl12 Fbxl19"
"SMARCC2_TARGET_GENES",-1.34023353841823,0.0187862796833773,0.713878627968338,247,-0.374693485468745,56,"Dnase1l3 Igf1 Shcbp1l Gsr Cacna1e Trpm4 Ccdc122 Slc11a2 Tmcc3 Arhgap19 Tlr1 Best1 D030055H07Rik Nynrin Gm7967 Ephx1 Nexn Spaca1 Fbxo36 Fxyd4 Cldnd2 Zan Carmil1 Gm15326 Myo1h Psen2 Hvcn1 Gm35202 Fam234b Zfp248 Add3 Pptc7 Islr2 Atp6v0a1 Trim32 Bach2 Gbp9 Stau2 Kctd10 Atxn7l1 Gbp4 Il10rb Tfeb Spink10 Gm9951 Papolg Ttll11 Slco2a1 Gask1b Selplg Akap7 Ptpn14 Sh3tc1 Cd22 Cacnb4 Ccdc141"
"PHC1_TARGET_GENES",-1.54637986810205,0.0291125371732666,0.885021130067303,11,-0.700530423075275,5,"Klhl14 Tmem132e Tal1 Sgpl1 Hnf1b"
"AHCY_AHCYL_TARGET_GENES",0.749270801798428,0.970159151193634,1,97,0.184528784559059,17,"Zscan12 Rad51b Cdca7 Grb10 Lrp12 Rmi2 Rbks Rad54b Snx5 Hmg20a 1110019D14Rik Mgme1 Nop58 Lins1 Srsf6 Mrpl44 Samd9l"
"BAZ1A_TARGET_GENES",0.800295067327397,1,1,377,0.166725326298253,58,"Ccdc142os Timeless Als2 Pigw AI506816 Rnf24 Tigd3 Sh3gl3 Hfm1 E2f3 Ypel2 Snhg15 Cers6 Hspb6 Rbks Psmc3ip Cox18 Socs2 Prkca Kat14 Dimt1 Fanci Tbc1d32 Rfc4 Tdrkh Acad10 Rfc5 1810062O18Rik Gar1 Rbm48 Adk Mtln Pemt Cercam Nob1 Eif2b2 Clcn7 A630052C17Rik Nsun2 Fbxl20 Ydjc Mvk Fntb Ubtd2 mt-Nd5 Specc1 Bod1 Nmt2 Cyp51 Hars2 Lcmt2 Mrps22 Ogg1 Hsp90aa1 Llph mt-Nd1 Fam76b Kctd13"
"BRD3_TARGET_GENES",-0.531239980613805,1,1,445,-0.144288152834376,133,"Dmwd Cdnf Capn3 Mturn Tent5a Sesn2 A430072P03Rik Pafah2 Ccpg1 Rrm2b Spint2 Napepld Nme3 2010110K18Rik Lss Lmbr1 Kbtbd3 Ccdc17 Zfp318 Rell1 1700120C14Rik Kctd10 Gse1 Gen1 Heatr5b Tmem87a Fbxl19 6030443J06Rik Col1a1 Sap30bp Zfp457 Papolg Crybg2 Wdtc1 Snx8 Ttc39d Ppp1r15b Adam8 Gm10614 Gm10501 Fam8a1 Med6 Aars2 Neil3 Cggbp1 Mcur1 Chmp7 Gfod2 Hk1 Flnb Arhgap21 Abhd4 Med22 Amn1 Rbpj Mtmr3 Tmem230 Hjurp A930006K02Rik Ptgr2 1110059G10Rik Tmem135 Cmtm6 Shoc2 Grb2 Itpkc Snx14 Cage1 Scarb1 Mettl15 M6pr Pop4 Prr14l Scamp2 Adrb2 Zfp719 Aak1 Malat1 Gskip Polr2k Tmem183a Usp47 Ccdc47 Pitpnb Mff Cog8 Pxn Asb1 Dcp1a Commd9 Atp13a1 Cox15 Arf2 Chd2 Vps52 Vrk3 Diaph1 Mcoln1 Slc39a1 Abtb1 Taf13 Cpt2 Max Itpr3 Cdk20 Wipf2 4930532G15Rik Snx4 Recql5 Rock1 Eapp Taf5 Fam136a Ube3b Cnot8 Bckdha Arl5b Lactb2 Arf4 Ints8 Sft2d1 Ccdc12 Cab39l Fam114a2 Nfe2 Wdfy4 Ltn1 Fuca1 Myl6 Nsa2 Slx4 Med28 Lnpk"
"BRWD1_TARGET_GENES",-0.816387223136804,0.865738758029979,1,214,-0.23067120110136,57,"Meis1 Gpam Gata3 Fcmr Gm13920 Bcl2 Lyrm4 Gfra1 Eif2ak3 2510009E07Rik Pde4d Nuf2 Eaf2 G6pdx Phykpl Igkc Lrrc57 Cyp4f16 Dpp7 Polg2 Jaml Tmem87a Entpd1 Sharpin Aff3 Ankfy1 Ppp1r15a Gpr19 Irak3 Ncoa2 Tnip2 Tigd5 Dnmt3b Brox Irak4 Hace1 Arhgap21 Cdkal1 Wbp2 Nek7 Ube2h Rita1 Cnot4 Rnf20 Syvn1 Slc12a6 Elof1 Ehd1 Fam210a H2-T24 Anapc16 Smim7 0610039K10Rik Ankrd9 Cyba Ripor2 Smpdl3b"
"CARM1_TARGET_GENES",-0.939638483389646,0.585464493874152,1,89,-0.289263018512954,10,"Erc1 Tns1 2900052L18Rik Fcmr Pipox Dab2ip Angel1 Rnf122 Nfatc2 Arhgef4"
"CBX6_TARGET_GENES",-1.24949314531822,0.118564005668399,1,95,-0.381725930427262,20,"Hmox1 Igf1 Ccr9 Meis1 Hoxa9 Kctd21 Tmem38a Trp53inp2 Pipox Prodh Pde4d Hoxaas3 Lig4 Idh1 Wdtc1 Mfsd2a Ap2a1 Trim2 Trip4 Mynn"
"CEBPG_TARGET_GENES",-0.953411249876004,0.596859190556492,1,248,-0.266378801631152,64,"Hmox1 Sbf2 Cdnf Bcat1 Trp53cor1 Il1rl2 Cox6a2 Il6ra Arhgap24 Slc1a5 Psen2 Creld1 Cenpl Rpia Ccdc186 Trim46 Ptpn12 P2rx3 Slc7a11 Arl14ep Pacsin2 Naaa Usp2 Snx33 Nnt Itgb5 Oxsm Col1a1 Large2 Apobec1 Capn10 Ppp1r15b Gm9929 BC065397 Mindy3 Ppp1r15a Gys1 Pfkp Lmbrd1 4930568A12Rik Zbtb18 Gm11520 5930430L01Rik Cass4 Plk3 Eps15 Dclre1c Zfp672 Ogfod1 Pycr1 Gdf9 Spty2d1 Gne Hjurp Cacul1 Tnks1bp1 Dhrs7 Rgs12 Rnf11 Enc1 Mbnl2 Ormdl3 Pbld2 Mfsd11"
"CGAS_TARGET_GENES",-1.06396060881121,0.367590361445783,1,79,-0.332198770091232,13,"Ppl Dst Xlr4c Gm15867 Fgd1 Nrxn2 Sult2b1 Nhs Taf9b 4732440D04Rik Gse1 Fbxl19 Idh1"
"CTNNB1_TARGET_GENES",-1.04246742058273,0.404520838238757,1,97,-0.317436357702384,20,"Boll Hoxa9 Axin2 Ctsl 2900052L18Rik Fgfr1 Lifr Atrnl1 Gm15889 Glis3 Lef1 T2 Appl2 Gm16701 Btla Rnf41 Zfp142 Fbxo11 Gpld1 Eps8"
"CUX2_TARGET_GENES",-1.01523759936092,0.450551828608526,1,188,-0.289843357336797,29,"Sqor Meis1 Dtx1 Gstm7 Gm16754 Hdac5 Gm17597 4930502E09Rik Man2a1 Slc37a1 Plekhg1 Mgst1 4930519P11Rik Gfra1 Gm16573 Dusp16 Usp18 Nostrin Bach2 Fcsk Gm14403 Pign Map2k6 Abcb4 Tle1 Ttll11 Nfia Smarca4 Asph"
