"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",2.67539689735514,1.36637906907608e-11,1.14365928081668e-08,36,0.791362191444425,26,"Cdc7 Cdc6 Chek1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Clspn Rpa1 Cdc45 Mcm6 Rfc4 Mcm4 Mcm10 Rfc5 Orc6 Rpa2 Orc5 Rfc3 Cdc25a Rad9b Rfc2 Rad9a Cdc25c Rpa3"
"REACTOME_G2_M_CHECKPOINTS",2.36053622905965,1.09946086772166e-10,4.60124373141514e-08,119,0.557865884622235,41,"Cdc7 Brip1 Cdc6 Dna2 Chek1 Mcm8 Nbn Exo1 Mcm2 Mcm5 Mcm3 Blm Bard1 Mcm7 Rmi2 Clspn Rpa1 Cdc45 Mcm6 Topbp1 Rfc4 Mcm4 Mcm10 Rfc5 Orc6 Rpa2 Brca1 Orc5 Rnf168 Rfc3 Cdc25a Rad9b Atm Rfc2 Gtse1 Rad9a Cdc25c Brcc3 Trp53 Pkmyt1 Rpa3"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",2.6366283507242,4.34730907625628e-10,9.93945250741518e-08,32,0.799434995976169,21,"Cdc7 Cdc6 Pole Cdt1 Prim1 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Rpa1 Cdc45 Mcm6 Mcm4 Mcm10 Orc6 Rpa2 Pola2 Orc5 Gmnn"
"REACTOME_DNA_REPLICATION",2.30243311066586,4.75003704058073e-10,9.93945250741518e-08,116,0.544490487540786,37,"Cdc7 Cdc6 Ccne1 Pole Cdt1 Prim1 Dna2 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Gins1 Rpa1 Lig1 Cdc45 Mcm6 Rfc4 Mcm4 Mcm10 Rfc5 Orc6 Rpa2 Pola2 Orc5 Rfc3 Gmnn Fen1 Gins2 Pcna Rfc2 Pole3 Kpnb1 Pold1 Rpa3 Anapc15"
"REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL",2.06647714686796,2.75371542158826e-09,4.60971961573875e-07,174,0.463826006750803,123,"Rpp40 Utp25 Gm6525 Wdr12 Rpl10-ps3 Exosc8 Utp20 Ftsj3 Tsr1 Fbl Gnl3 Exosc2 Pwp2 Rrp9 Rpp38 Nob1 Rps2 Tbl3 Nop56 Rcl1 Nip7 Imp4 Rpl36a-ps1 Ddx21 Dis3 Exosc5 Rpl12 Rpl22l1 Nop58 Rpsa Riok2 Rps27rt Rpl14 Rpl36a Nol11 Exosc9 Pelp1 Ncl Eri1 Rps6 Rps26 Rps5 Rps12 Rps19 Rplp0 Rpl37 Rpl39 Bop1 Pdcd11 Nol6 Rps18 Rpl10 Rps20 Rps3 Rplp2 Rpl3 Rpl32 Rps8 Noc4l Wdr46 Rpl4 Rps25 Wdr36 Nop14 Rps23 Pes1 Rpl28 Rpl23a Rplp1 Rps28 Bysl Utp3 Rpl35 Rps4x Exosc3 Rpl15 Rpl19 Snu13 Rpl6 Rpl8 Krr1 Rpl24 Rpl23 Exosc1 Rps17 Wdr43 Rps7 Rpl27a Rrp7a Rps29 Rpl26 Rpl29 Rpl13 Rps15a Rps21 Rps27l Rpl18a Rps9 Pno1 Rpl5 Rps15 Rpl18 Rps11 Rpl13a Rps3a1 Rpl7 Ddx49 Utp14a Imp3 Mphosph10 Rpl22 Rpl21 Rps16 Rpl35a Exosc7 Wdr75 Rpl31 Rps14 Rps10 Ebna1bp2 Rpl34 Rpp14 Rpl27"
"REACTOME_HOMOLOGY_DIRECTED_REPAIR",2.13932066044073,1.62690757498651e-07,2.26953606710618e-05,100,0.520254775577316,40,"Brip1 Pole Timeless Rad51b Xrcc3 Dna2 Chek1 Nbn Exo1 Polq Blm Bard1 Rmi2 Clspn Brca2 Rpa1 Rad51 Topbp1 Rfc4 Tipin Parp1 Rfc5 Rpa2 Brca1 Rnf168 Rfc3 Mus81 Fignl1 Fen1 Parp2 Rad9b Atm Pcna Rfc2 Pole3 Rad9a Brcc3 Pold1 Ercc4 Rpa3"
"REACTOME_G1_S_TRANSITION",2.13423820715187,3.90994216395227e-07,4.67517370175436e-05,92,0.526033487548007,25,"Cdc7 Cdc6 Ccne1 Pole Cdt1 Prim1 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Rpa1 Cdc45 Mcm6 Mcm4 Mcm10 Orc6 Rpa2 Pola2 Orc5 Cdk4 Cdc25a Gmnn Cks1b"
"REACTOME_DNA_STRAND_ELONGATION",2.34799293084905,8.00053566937497e-07,8.37056044408356e-05,24,0.763804491424163,17,"Prim1 Dna2 Pola1 Gins1 Rpa1 Lig1 Rfc4 Rfc5 Rpa2 Pola2 Rfc3 Fen1 Gins2 Pcna Rfc2 Pold1 Rpa3"
"REACTOME_DNA_REPLICATION_PRE_INITIATION",2.10447595902336,1.45958725481923e-06,0.000134904745136143,88,0.522034166935456,25,"Cdc7 Cdc6 Pole Cdt1 Prim1 Pola1 Mcm8 Mcm2 Mcm5 Mcm3 Mcm7 Rpa1 Cdc45 Mcm6 Mcm4 Mcm10 Orc6 Rpa2 Pola2 Orc5 Gmnn Pole3 Kpnb1 Rpa3 Anapc15"
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS",2.32241317044513,1.61176517486431e-06,0.000134904745136143,33,0.699605046514715,20,"Chtf18 Prim1 Dna2 Pola1 Stn1 Blm Rpa1 Lig1 Rfc4 Rfc5 Rpa2 Pola2 Rfc3 Fen1 Pcna Rfc2 Ctc1 Pold1 Rpa3 Dscc1"
