"cell_type","gene","avg_log2FC","p_val","p_val_adj","pct.1","pct.2"
"ProB","Plac8",1.61158211636563,5.45299834761068e-72,1.76050051652611e-67,0.971,0.598
"ProB","Myl10",3.31834922973068,4.08073437950855e-63,1.31746509442434e-58,0.802,0.22
"ProB","H2afy",1.17702002838699,4.30082284228009e-56,1.38852065463013e-51,0.984,0.864
"ProB","Gimap4",2.33529763942004,2.59247634042948e-53,8.36980986507659e-49,0.9,0.235
"ProB","Pnp",2.07808648315722,3.27599964129726e-53,1.05765648419282e-48,0.92,0.455
"ProB","Il7r",1.26342363622358,5.23511940110218e-50,1.69015829864584e-45,0.976,0.644
"ProB","Gpx1",0.931944953348698,2.13093440313971e-48,6.87972172053657e-44,0.979,0.826
"ProB","Sell",1.84209278997571,3.00707357393477e-46,9.70833703344841e-42,0.894,0.288
"ProB","Cdc25b",-2.77071276626582,4.19553724310901e-45,1.35452919893775e-40,0.321,0.689
"ProB","Gpam",-3.50583351591421,1.74707749673215e-43,5.64043969819974e-39,0.109,0.538
"ProB","Cd52",0.880004662801384,3.43147225953269e-43,1.10785081899013e-38,0.937,0.644
"ProB","Gm43305",1.15139016081163,4.94486999509877e-43,1.59645127791764e-38,0.961,0.591
"ProB","Fth1",0.42532200196209,8.442421415538e-43,2.72563575400644e-38,0.994,0.955
"ProB","Tpd52",-2.32900148678929,2.11375842419065e-40,6.82426907249952e-36,0.359,0.742
"ProB","Ramp1",1.86322607411127,1.69541390806814e-39,5.47364380219798e-35,0.875,0.326
"ProB","Myl12b",0.702031257888772,1.27562765663679e-38,4.11836388945188e-34,0.962,0.75
"ProB","Ly6d",0.991145813538841,3.3153384024588e-36,1.07035700323382e-31,0.911,0.341
"ProB","Lcp1",0.987201139657522,7.37023517046686e-36,2.37948042478523e-31,0.939,0.5
"ProB","Selenom",-3.65111235657154,9.47793074587721e-36,3.05994994130646e-31,0.135,0.477
"ProB","Parp1",0.960243751210123,2.98552519201032e-35,9.63876808240532e-31,0.95,0.765
"ProB","Gm525",4.2100055719003,3.59318866794416e-35,1.16006096144577e-30,0.492,0.121
"ProB","Heyl",-5.59919089543338,3.87142347477375e-35,1.24988906883071e-30,0.011,0.394
"ProB","Cdk6",1.5488425813085,5.27241903435392e-35,1.70220048524116e-30,0.869,0.402
"ProB","Adgrg3",3.7333270591622,2.81752321976352e-34,9.09637371500654e-30,0.828,0.114
"ProB","Atp1b3",0.845854649762416,2.14287247655889e-32,6.91826379057038e-28,0.967,0.78
"ProB","Prep",-2.38582357466066,7.98128487872847e-31,2.57675782309749e-26,0.479,0.765
"ProB","Rnase12",4.03274915863602,9.66561416210029e-31,3.12054353223408e-26,0.689,0.068
"ProB","Grb7",-7.58449308700309,1.65031135839904e-30,5.32803022059131e-26,0.006,0.417
"ProB","Slc12a3",-3.16255151476767,3.78249568519765e-30,1.22117873196606e-25,0.109,0.462
"ProB","Cd47",0.786153533353045,4.24395266946561e-30,1.37016011933697e-25,0.96,0.758
"ProB","Eef1b2",0.53793469239006,8.11453863516903e-30,2.61977879836432e-25,0.981,0.917
"ProB","Fxyd6",-4.47472607773481,6.57543462878305e-28,2.12287906990261e-23,0.029,0.303
"ProB","Gimap3",2.67060907637632,7.56627118952307e-28,2.44277065353752e-23,0.766,0.114
"ProB","Ly6a",2.96513125068286,9.820696900826e-28,3.17061199443167e-23,0.613,0.083
"ProB","Tmsb4x",-0.00243902566587195,1.31679351100125e-26,4.25126785026753e-22,0.996,0.985
"ProB","Lsp1",0.531800072326155,3.24072340529965e-26,1.04626755140099e-21,0.928,0.697
"ProB","Igfbp4",1.44735222645598,1.06352464596948e-25,3.43358931951247e-21,0.792,0.311
"ProB","Tagln2",1.15031233778713,2.78367993062162e-25,8.9871106560119e-21,0.884,0.455
"ProB","Kdm5b",-2.52261189266654,6.96011977106615e-25,2.24707466808871e-20,0.13,0.561
"ProB","Parvb",-4.36826972616215,2.38437475551382e-24,7.69795389817636e-20,0.026,0.273
"ProB","Car2",1.27687821768461,3.23388489347559e-24,1.0440597378586e-19,0.809,0.432
"ProB","Plxdc1",-2.40034955612314,3.98633381265518e-24,1.28698787141573e-19,0.174,0.462
"ProB","Tmsb10",0.254484979163506,5.62587000915614e-24,1.81631213245606e-19,0.995,0.977
"ProB","mt-Nd1",0.571439865154843,1.84540776085706e-23,5.957898955927e-19,0.95,0.795
"ProB","Coro1a",0.261453659374819,2.53902255457228e-23,8.1972343174366e-19,0.99,0.955
"ProB","Npm1",0.603131754086974,2.61505592730459e-23,8.44270806130286e-19,0.962,0.856
"ProB","Rack1",0.438940751147622,4.20879803180296e-23,1.35881044456759e-18,0.982,0.932
"ProB","mt-Atp8",0.981955963792322,5.67178143659942e-23,1.83113463680612e-18,0.847,0.508
"ProB","Gas5",0.538817562817081,5.9329441518992e-23,1.91545101944066e-18,0.961,0.833
"ProB","S100a10",0.985271790530541,7.28772647314142e-23,2.35284249185371e-18,0.883,0.583
