"chain","gene_type","gene","exclusive"
"IGH","v_gene","IGHV1-12","WT-only"
"IGH","v_gene","IGHV1-2","WT-only"
"IGH","v_gene","IGHV1-43","MUT-only"
"IGH","v_gene","IGHV1-47","WT-only"
"IGH","v_gene","IGHV1-54","WT-only"
"IGH","v_gene","IGHV1-56","MUT-only"
"IGH","v_gene","IGHV1-77","WT-only"
"IGH","v_gene","IGHV11-1","MUT-only"
"IGH","v_gene","IGHV12-3","WT-only"
"IGH","v_gene","IGHV15-2","WT-only"
"IGH","v_gene","IGHV2-7","MUT-only"
"IGH","v_gene","IGHV3-3","WT-only"
"IGH","v_gene","IGHV7-4","MUT-only"
"IGH","v_gene","IGHV8-4","WT-only"
"IGH","c_gene","IGHA","WT-only"
"IGH","c_gene","IGHD","WT-only"
"IGH","c_gene","IGHG2B","WT-only"
"IGH","c_gene","IGHG2C","WT-only"
"IGK","v_gene","IGKV1-122","WT-only"
"IGK","v_gene","IGKV1-35","WT-only"
"IGK","v_gene","IGKV1-99","WT-only"
"IGK","v_gene","IGKV14-126","WT-only"
"IGK","v_gene","IGKV18-36","WT-only"
"IGK","v_gene","IGKV20-101-2","MUT-only"
"IGK","v_gene","IGKV3-9","WT-only"
"IGK","v_gene","IGKV4-51","MUT-only"
"IGK","v_gene","IGKV4-56","MUT-only"
"IGK","v_gene","IGKV4-62","WT-only"
"IGK","v_gene","IGKV4-71","WT-only"
"IGK","v_gene","IGKV4-78","WT-only"
"IGK","v_gene","IGKV4-81","WT-only"
"IGK","v_gene","IGKV5-37","WT-only"
"IGK","v_gene","IGKV6-13","WT-only"
"IGK","v_gene","IGKV6-29","WT-only"
"IGK","v_gene","IGKV9-129","WT-only"
