"contrast","gene","estimate","SE","df","t.ratio","p.value","gene_type","padj","chain"
"MUT - WT","IGHV5-4",2.41695536087565,0.35017111725115,553,6.90221220941577,1.40798900970952e-11,"v_gene",2.67517911844809e-09,"IGH"
"MUT - WT","IGLJ3",0.814329632857106,0.0979829922135701,44,8.31092840155504,1.44921414896907e-10,"j_gene",1.37675344152062e-08,"IGL"
"MUT - WT","IGHV2-9",2.20887396528996,0.35017111725115,553,6.3079844580834,5.79356965132199e-10,"v_gene",3.66926077917059e-08,"IGH"
"MUT - WT","IGHV5-2",2.16012656141451,0.35017111725115,553,6.16877422207618,1.33020701086988e-09,"v_gene",6.31848330163194e-08,"IGH"
"MUT - WT","IGHV2-2",1.90093759097389,0.350171117251151,553,5.42859618433492,8.51422731770223e-08,"v_gene",3.23540638072685e-06,"IGH"
"MUT - WT","IGHV5-12",1.88404542535365,0.350171117251151,553,5.38035643871328,1.09936986511174e-07,"v_gene",3.48133790618717e-06,"IGH"
"MUT - WT","IGHV5-6",1.83191116710688,0.350171117251151,553,5.23147420463289,2.39029219752574e-07,"v_gene",6.48793596471272e-06,"IGH"
"MUT - WT","IGHV6-3",-1.79192358405282,0.350171117251151,553,-5.11727979771561,4.28302833866454e-07,"v_gene",1.01721923043283e-05,"IGH"
"MUT - WT","IGHV1-50",-1.96980956527644,0.391503210965315,553,-5.0314007908634,6.59367596637605e-07,"v_gene",1.39199825956828e-05,"IGH"
"MUT - WT","IGHV5-9-1",1.68432614820612,0.35017111725115,553,4.81000877921662,1.94878948946328e-06,"v_gene",3.70270002998024e-05,"IGH"
"MUT - WT","IGHV1-52",-1.62444934546259,0.350171117251149,553,-4.63901579951698,4.37463950789775e-06,"v_gene",6.92651255417144e-05,"IGH"
"MUT - WT","IGHV8-12",-1.628270108095,0.350171117251152,553,-4.64992692965926,4.15772597242892e-06,"v_gene",6.92651255417144e-05,"IGH"
"MUT - WT","IGLJ1",-0.504772397913977,0.0979829922135701,44,-5.15163281412903,5.83440525404981e-06,"j_gene",8.52720767899588e-05,"IGL"
"MUT - WT","IGHV2-5",1.54767500253604,0.350171117251151,553,4.41976772580593,1.18956647230006e-05,"v_gene",0.000161441164097865,"IGH"
"MUT - WT","IGHV1-64",-1.4229371282199,0.350171117251153,553,-4.06354795732433,5.53333404112943e-05,"v_gene",0.000700888978543061,"IGH"
"MUT - WT","IGHV1-84",1.58263634422167,0.391503210965311,553,4.04246069992488,6.03966489929133e-05,"v_gene",0.000717210206790845,"IGH"
"MUT - WT","IGKV4-53",1.35568896968403,0.350171117251151,553,3.87150425290986,0.000121087026097297,"v_gene",0.00135332558579332,"IGK"
"MUT - WT","IGHV2-4",1.49632771776002,0.391503210965311,553,3.82200624631047,0.000147400475332487,"v_gene",0.00155589390628736,"IGH"
"MUT - WT","IGHV1-78",-1.45439836887342,0.391503210965311,553,-3.7149078938264,0.000223924896338428,"v_gene",0.00217962939896401,"IGH"
"MUT - WT","IGKV3-10",-1.2942038037319,0.350171117251151,553,-3.69591819534239,0.000240906407253917,"v_gene",0.00217962939896401,"IGK"
"MUT - WT","IGKV4-90",1.83279203636395,0.495216743167916,553,3.70098964069655,0.000236256399344637,"v_gene",0.00217962939896401,"IGK"
"MUT - WT","IGHV1-75",-1.39537088081632,0.391503210965311,553,-3.56413649169268,0.000396623335607843,"v_gene",0.00301433735061961,"IGH"
"MUT - WT","IGHV1-81",-1.25665869962874,0.35017111725115,553,-3.58869888954159,0.000361843450270858,"v_gene",0.00301433735061961,"IGH"
"MUT - WT","IGKV4-63",1.39730670514129,0.391503210965311,553,3.5690810854297,0.000389379515531388,"v_gene",0.00301433735061961,"IGK"
"MUT - WT","IGHD4-1",-1.00773821818475,0.253278658244636,32,-3.97877272869711,0.000371745420745574,"d_gene",0.00301433735061961,"IGH"
"MUT - WT","IGHJ4",0.366197519027302,0.0979829922135701,44,3.73735799197798,0.000532904358502318,"j_gene",0.00389430108136309,"IGH"
"MUT - WT","IGHD1-1",0.960513871706577,0.253278658244636,32,3.79232059409774,0.000625329449221164,"d_gene",0.00429261492178457,"IGH"
"MUT - WT","IGLC3",0.777657717112895,0.197999217707681,24,3.92757974559778,0.000632595883210358,"c_gene",0.00429261492178457,"IGL"
