"Mouse","Genotype","FinalLab3","n_prod","n_total","frac"
"WT1","WT","Prepro B",1,8,0.125
"WT1","WT","ProB",4,9,0.444444444444444
"WT1","WT","PreB",5,7,0.714285714285714
"WT1","WT","Immature B",116,120,0.966666666666667
"WT1","WT","FoB",546,572,0.954545454545455
"WT1","WT","MzB",84,90,0.933333333333333
"WT2","WT","Prepro B",1,88,0.0113636363636364
"WT2","WT","ProB",5,58,0.0862068965517241
"WT2","WT","PreB",100,135,0.740740740740741
"WT2","WT","Immature B",110,114,0.964912280701754
"WT2","WT","FoB",341,357,0.955182072829132
"WT2","WT","MzB",33,36,0.916666666666667
"WT3","WT","Prepro B",2,72,0.0277777777777778
"WT3","WT","ProB",7,65,0.107692307692308
"WT3","WT","PreB",204,242,0.84297520661157
"WT3","WT","Immature B",220,227,0.969162995594714
"WT3","WT","FoB",676,709,0.95345557122708
"WT3","WT","MzB",47,52,0.903846153846154
"Mut1","MUT","Prepro B",1,142,0.00704225352112676
"Mut1","MUT","ProB",11,507,0.0216962524654832
"Mut1","MUT","PreB",15,37,0.405405405405405
"Mut1","MUT","Immature B",15,16,0.9375
"Mut1","MUT","FoB",26,29,0.896551724137931
"Mut1","MUT","MzB",207,227,0.911894273127753
"Mut2","MUT","Prepro B",1,155,0.00645161290322581
"Mut2","MUT","ProB",16,176,0.0909090909090909
"Mut2","MUT","PreB",23,30,0.766666666666667
"Mut2","MUT","Immature B",23,24,0.958333333333333
"Mut2","MUT","FoB",21,23,0.91304347826087
"Mut2","MUT","MzB",375,403,0.930521091811414
"Mut3","MUT","Prepro B",2,237,0.00843881856540084
"Mut3","MUT","ProB",23,258,0.0891472868217054
"Mut3","MUT","PreB",46,60,0.766666666666667
"Mut3","MUT","Immature B",18,18,1
"Mut3","MUT","FoB",13,15,0.866666666666667
"Mut3","MUT","MzB",138,148,0.932432432432432
